id_fuente,fuente_reporte,medio_obtencion,tipo_documentado,restriccion_uso,anios_documentados,anios_permitidos,pais_documentado,observaciones,clase_trazabilidad,score_directitud,score_trazabilidad
1,FCPF - Malla MRV-REDD+ Belize,Base de datos del Programa REDD+ CCAD/GIZ,Interpretación Visual,Uso interno CCAD/GIZ,2000 a 2018,2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018,Belice,Malla sistemática de Collect Earth utilizada en Belize para el MRV del mecanismo REDD+.,base_institucional_identificada,85,85
2,FCPF - Malla MRV-REDD+ Guatemala,Base de datos del Programa REDD+ CCAD/GIZ,Interpretación Visual,Uso interno CCAD/GIZ,2006 y 2016,2006|2016,Guatemala,Malla sistemática de Collect Earth utilizada en Guatemala para el MRV del mecanismo REDD+.,base_institucional_identificada,85,85
3,FCPF - Malla MRV-REDD+ Honduras,Página Web FCPF/UNFCCC: Biennial update report with submission of REDD+ results (BUR 2),Interpretación Visual,Dominio Público,2005 a 2022,2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022,Honduras,Malla sistemática de Collect Earth utilizada en Honduras para el MRV del mecanismo REDD+.,repositorio_o_enlace_publico,85,100
4,CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,Base de datos del Programa REDD+ CCAD/GIZ,Interpretación Visual,Uso interno CCAD,"2005, 2012, 2016-2018",2005|2012|2016|2017|2018,Costa Rica,"Malla sistemática de monitoreo de la zona piloto Puriscal, Acosta y Turrubares.",base_institucional_identificada,85,85
5,CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,Base de datos del Programa REDD+ CCAD/GIZ,Interpretación Visual,Uso interno CCAD,"2001, 2012, 2018",2001|2012|2018,El Salvador,Malla sistemática de monitoreo de la zona piloto Imposible-Barra de Santiago.,base_institucional_identificada,85,85
6,CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,Base de datos del Programa REDD+ CCAD/GIZ,Interpretación Visual,Uso interno CCAD,2019,2019,Guatemala,Malla sistemática de monitoreo de la zona piloto Pacífico Sur.,base_institucional_identificada,85,85
7,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto El Salvador,Base de datos del Programa REDD+ CCAD/GIZ,Verificación de Campo,Uso interno CCAD,2019,2019,El Salvador,Datos de verificación en campo levantados en Imposible-Barra de Santiago.,base_institucional_identificada,100,85
8,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,Base de datos del Programa REDD+ CCAD/GIZ,Verificación de Campo,Uso interno CCAD,2019,2019,Guatemala,Datos de verificación en campo levantados en la zona piloto Pacífico Sur.,base_institucional_identificada,100,85
9,"Muestras de Entrenamiento de Jimenez, 2020 - Guatemala",Facilitados por Abner Jiménez,Extracción de mapa nacional,Dominio Público,2017,2017,Guatemala,"Datos de entrenamiento usados en la investigación doctoral de Jiménez, 2020.",investigador_y_estudio_identificados,65,75
10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",Carpeta del mapa y malla sistemática disponible mediante el nodo SINAC del SNIT,Interpretación Visual,Dominio Público,2021,2021,Costa Rica,Malla sistemática de entrenamiento del Mapa de Bosques 2021.,repositorio_o_enlace_publico,85,100
11,CENAT/PRIAS - Cultivos - Costa Rica,Mapas obtenidos del repositorio PRIAS en el SNIT,Extracción de mapa nacional,Dominio Público,2019,2019,Costa Rica,Extracción de valores de mapas de cultivos hacia una malla sistemática.,repositorio_o_enlace_publico,65,100
12,FOREST DEPARTMENT - Cultivos - Mapa Belize,Mapa obtenido de la base de datos del Programa REDD+ CCAD/GIZ,Extracción de mapa nacional,Uso interno CCAD,2018,2018,Belice,Extracción de clases de cultivos del mapa 2018 hacia una malla sistemática.,base_institucional_identificada,65,85
13,ICF - Cultivos - Mapa Honduras,Mapa obtenido del geoportal del ICF,Extracción de mapa nacional,Dominio Público,2018,2018,Honduras,Extracción de clases de cultivos del mapa ICF 2018 hacia una malla sistemática.,repositorio_o_enlace_publico,65,100
14,MAGA - Cultivos - Mapa Guatemala,Geoservicio ArcGIS accesible mediante el portal documentado en el informe,Extracción de mapa nacional,Dominio Público,2020,2020,Guatemala,Extracción de clases de cultivos del mapa MAGA 2020 hacia una malla sistemática.,repositorio_o_enlace_publico,65,100
15,MIAMBIENTE - Cultivos Mapa Panamá,Mapa obtenido del SINIA,Extracción de mapa nacional,Dominio Público,2021,2021,Panamá,Extracción de clases de cultivos del mapa MiAmbiente 2021 hacia una malla sistemática.,repositorio_o_enlace_publico,65,100
16,FCPF - Malla MRV-REDD+ El Salvador,Base de datos del Programa REDD+ CCAD/GIZ,Interpretación Visual,Uso interno CCAD/GIZ,2000 y 2018,2000|2018,El Salvador,Malla sistemática de Collect Earth utilizada para MRV REDD+.,base_institucional_identificada,85,85
17,SINAC-CCAD/GIZ - Inventario Forestal Costa Rica,Base de datos del Programa REDD+ CCAD/GIZ,Inventario Forestal,Uso interno CCAD/GIZ,2014,2014,Costa Rica,Parcelas del Inventario Nacional Forestal Costa Rica 2014.,base_institucional_identificada,100,85
18,FAO - Evaluación Nacional Forestal Costa Rica,Base de datos del Programa REDD+ CCAD/GIZ,Inventario Forestal,Uso interno CCAD/GIZ,2001,2001,Costa Rica,Parcelas de la Primera Evaluación Nacional Forestal de FAO.,base_institucional_identificada,100,85
19,SINA-CCAD/GIZ - Inventario Forestal Piloto Terraba-Sierpe Costa Rica,Base de datos del Programa REDD+ CCAD/GIZ,Inventario Forestal,Uso interno CCAD/GIZ,2016,2016,Costa Rica,Parcelas del inventario forestal del proyecto piloto Térraba-Sierpe.,base_institucional_identificada,100,85
20,MARN-MAG/FCPF - Inventario Forestal El Salvador,Base de datos del Programa REDD+ CCAD/GIZ,Inventario Forestal,Uso interno CCAD/GIZ,2018,2018,El Salvador,Parcelas del Inventario Nacional Forestal El Salvador 2018.,base_institucional_identificada,100,85
21,MAG - Inventario Forestal Preliminar Piloto El Salvador,Base de datos del Programa REDD+ CCAD/GIZ,Inventario Forestal,Uso interno CCAD/GIZ,2003-2004,2003|2004,El Salvador,Parcelas del inventario preliminar piloto realizado entre 2003 y 2004.,base_institucional_identificada,100,85
22,INAB-CCAD/GIZ- Inventario Bosque Municipal Olintepeque,Base de datos del Programa REDD+ CCAD/GIZ,Inventario Forestal,Uso interno CCAD/GIZ,2014-2015,2014|2015,Guatemala,Parcelas del inventario forestal del Bosque Municipal de Olintepeque.,base_institucional_identificada,100,85
23,FAO - Evaluación Nacional Forestal Guatemala,Base de datos del Programa REDD+ CCAD/GIZ,Inventario Forestal,Uso interno CCAD/GIZ,2002-2003,2002|2003,Guatemala,Parcelas de la Primera Evaluación Nacional Forestal de FAO.,base_institucional_identificada,100,85
24,FAO - Evaluación Nacional Forestal Honduras,Base de datos del Programa REDD+ CCAD/GIZ,Inventario Forestal,Uso interno CCAD/GIZ,2005,2005,Honduras,Parcelas de la Primera Evaluación Nacional Forestal de FAO.,base_institucional_identificada,100,85
25,FAO - Evaluación Nacional Forestal Nicaragua,Base de datos del Programa REDD+ CCAD/GIZ,Inventario Forestal,Uso interno CCAD/GIZ,2007,2007,Nicaragua,Parcelas de la Primera Evaluación Nacional Forestal de FAO.,base_institucional_identificada,100,85
26,MIAMBIENTE/ONUREDD - Inventario Forestal Panamá,Base de datos del Programa REDD+ CCAD/GIZ,Inventario Forestal,Uso interno CCAD/GIZ,2015,2015,Panamá,Parcelas del primer levantamiento del Inventario Nacional Forestal Panamá.,base_institucional_identificada,100,85
27,ACP-CCAD/GIZ - Inventario de Matorrales Piloto Panamá,Base de datos del Programa REDD+ CCAD/GIZ,Inventario Forestal,Uso interno CCAD/GIZ,2016,2016,Panamá,Parcelas del inventario de matorrales de la Cuenca del Canal de Panamá.,base_institucional_identificada,100,85
28,ACP-CCAD/GIZ - Inventario de Bosque Natural Piloto Panamá,Base de datos del Programa REDD+ CCAD/GIZ,Inventario Forestal,Uso interno CCAD/GIZ,2015,2015,Panamá,Parcelas del inventario de bosque natural de la Cuenca del Canal de Panamá.,base_institucional_identificada,100,85
29,ACP-CCAD/GIZ - Inventario Forestal Complemento Piloto Panamá,Base de datos del Programa REDD+ CCAD/GIZ,Inventario Forestal,Uso interno CCAD/GIZ,2016,2016,Panamá,Parcelas complementarias del proyecto de incentivos de la Cuenca del Canal.,base_institucional_identificada,100,85
30,ACP-CCAD/GIZ - Inventario Forestal Piloto Panamá,Base de datos del Programa REDD+ CCAD/GIZ,Inventario Forestal,Uso interno CCAD/GIZ,2014,2014,Panamá,Parcelas del inventario del proyecto de incentivos de la Cuenca del Canal.,base_institucional_identificada,100,85
31,"CONAFOR -Inventario Forestal Estado Campeche, México",Página web del Inventario Nacional Forestal y Suelos (INFyS) de México,Inventario Forestal,Dominio Público,2015 a 2019,2015|2016|2017|2018|2019,México,Parcelas del Inventario Forestal del Estado de Campeche.,repositorio_o_enlace_publico,100,100
32,"CONAFOR -Inventario Forestal Estado Chiapas, , México",Página web del Inventario Nacional Forestal y Suelos (INFyS) de México,Inventario Forestal,Dominio Público,2015 a 2019,2015|2016|2017|2018|2019,México,Parcelas del Inventario Forestal del Estado de Chiapas.,repositorio_o_enlace_publico,100,100
33,"CONAFOR -Inventario Forestal Estado Quintana Roo, México",Página web del Inventario Nacional Forestal y Suelos (INFyS) de México,Inventario Forestal,Dominio Público,2015 a 2019,2015|2016|2017|2018|2019,México,Parcelas del Inventario Forestal del Estado de Quintana Roo.,repositorio_o_enlace_publico,100,100
34,"CONAFOR -Inventario Forestal Estado Tabasco, México",Página web del Inventario Nacional Forestal y Suelos (INFyS) de México,Inventario Forestal,Dominio Público,2015 a 2019,2015|2016|2017|2018|2019,México,Parcelas del Inventario Forestal del Estado de Tabasco.,repositorio_o_enlace_publico,100,100
35,"CONAFOR -Inventario Forestal Estado Yucatán, México",Página web del Inventario Nacional Forestal y Suelos (INFyS) de México,Inventario Forestal,Dominio Público,2015 a 2019,2015|2016|2017|2018|2019,México,Parcelas del Inventario Forestal del Estado de Yucatán.,repositorio_o_enlace_publico,100,100
36,ICAFE - Poligono de zonasdel cultivo de café de Costa Rica,Mapa obtenido del nodo de ICAFE dentro del SNIT,Extracción de mapa nacional,Dominio Público,2012 y 2018,2012|2018,Costa Rica,Extracción de valores de mapas de ICAFE hacia una malla sistemática.,repositorio_o_enlace_publico,65,100
37,MIAMBIENTE - Mapa de bosques y otras tierras boscosas de Panamá,Mapa obtenido del SINIA,Extracción de mapa nacional,Dominio Público,2021,2021,Panamá,Extracción de clases del mapa 2021 hacia una malla sistemática nacional.,repositorio_o_enlace_publico,65,100
38,"Muestras de Entrenamiento de Jimenez, 2020 - Belice",Facilitados por el investigador Dr. Abner Jiménez,Extracción de mapa nacional,Dominio Público,2017,2017,Belice,"Datos de entrenamiento utilizados en la investigación doctoral de Jiménez, 2020.",investigador_y_estudio_identificados,65,75
39,"Muestras de Entrenamiento de Jimenez, 2020 - El Salvador",Facilitados por el investigador Dr. Abner Jiménez,Extracción de mapa nacional,Dominio Público,2017,2017,El Salvador,"Datos de entrenamiento utilizados en la investigación doctoral de Jiménez, 2020.",investigador_y_estudio_identificados,65,75
40,"Muestras de Entrenamiento de Jimenez, 2020 - Honduras",Facilitados por el investigador Dr. Abner Jiménez,Extracción de mapa nacional,Dominio Público,2017,2017,Honduras,"Datos de entrenamiento utilizados en la investigación doctoral de Jiménez, 2020.",investigador_y_estudio_identificados,65,75
41,"Muestras de Entrenamiento de Jimenez, 2020 - Nicaragua",Facilitados por el investigador Dr. Abner Jiménez,Extracción de mapa nacional,Dominio Público,2017,2017,Nicaragua,"Datos de entrenamiento utilizados en la investigación doctoral de Jiménez, 2020.",investigador_y_estudio_identificados,65,75
42,"Muestras de Entrenamiento de Jimenez, 2020 - Costa Rica",Facilitados por el investigador Dr. Abner Jiménez,Extracción de mapa nacional,Dominio Público,2017,2017,Costa Rica,"Datos de entrenamiento utilizados en la investigación doctoral de Jiménez, 2020.",investigador_y_estudio_identificados,65,75
43,"Muestras de Entrenamiento de Jimenez, 2020 - Panamá",Facilitados por el investigador Dr. Abner Jiménez,Extracción de mapa nacional,Dominio Público,2017,2017,Panamá,"Datos de entrenamiento utilizados en la investigación doctoral de Jiménez, 2020.",investigador_y_estudio_identificados,65,75
