pais,id_1_propuesta,nivel_1_propuesta
belice,14,bosques secos
belice,21,cultivos arbóreos
costa rica,12,bosques de coníferas
costa rica,13,bosques de mangle
costa rica,14,bosques secos
guatemala,14,bosques secos
multipais_o_inconsistente,15,plantaciones forestales
multipais_o_inconsistente,23,construido
méxico,21,cultivos arbóreos
méxico,24,cuerpos de agua
nicaragua,11,bosques latifoliados y mixtos
nicaragua,12,bosques de coníferas
nicaragua,13,bosques de mangle
nicaragua,14,bosques secos
nicaragua,15,plantaciones forestales
nicaragua,23,construido
panamá,12,bosques de coníferas
panamá,14,bosques secos
