fuente,n_xy,pct_xy,n_registros,n_paises,score_promedio,pct_entrenamiento,pct_bosques
fcpf - malla mrv-redd+ el salvador,513740,46.20587309439223,514236,3,89.58449422470511,85.78989372055904,33.928640946782416
maga - cultivos - mapa guatemala,206836,18.602869092053783,206950,3,96.55876339225281,98.99872362644801,0.0
icf - cultivos - mapa honduras,106397,9.569366371363044,106416,3,83.96852854873727,44.59712209930731,0.0
"sinac - malla de entrenamientos del mapa de bosques 2021, costa rica",90629,8.151189459009759,99803,3,92.91402402100873,90.09588542298823,59.62991978285096
ccad/giz-redd+landscape - malla piloto el salvador,65688,5.907991185861402,65792,2,89.56458541895019,88.35860431128974,18.446291560102303
miambiente - cultivos mapa panamá,24469,2.2007465035751226,24475,2,94.53532171318811,99.33793779884752,0.0
cenat/prias - cultivos - costa rica,22219,1.9983810765840715,22224,1,93.34495796390476,98.07822134209461,0.0
fcpf - malla mrv-redd+ belize,21731,1.954490263974457,21738,3,82.66816018590953,31.218075560259535,66.12212967649901
fcpf - malla mrv-redd+ honduras,18524,1.666052075369879,92640,2,87.91975966313971,80.0043187216584,54.47527531850572
icafe - poligono de zonasdel cultivo de café de costa rica,15567,1.400098934208751,15575,1,83.69314460075802,44.20247960429113,0.0
forest department - cultivos - mapa belize,11585,1.041957098529478,11585,1,84.21780086318515,42.38239102287441,0.0
miambiente - mapa de bosques y otras tierras boscosas de panamá,4716,0.4241579349732428,4716,1,94.11878668363019,95.568278201866,61.32315521628499
ccad/giz-redd+landscape - malla piloto costa rica,4655,0.41867158339704097,4655,1,75.46540988184748,24.46831364124597,32.7389903329753
ccad/giz-redd+landscape - malla piloto guatemala,2267,0.20389441021720556,2267,1,87.36419629466255,77.19453021614468,16.36524040582267
"conafor -inventario forestal estado quintana roo, méxico",705,0.06340783379052929,711,1,92.86672624113476,83.54609929078015,81.27659574468085
"conafor -inventario forestal estado chiapas, , méxico",506,0.045509736025543014,507,1,88.13538537549407,63.04347826086956,55.73122529644269
"conafor -inventario forestal estado campeche, méxico",447,0.040203264828888786,447,1,93.51388590604027,90.1565995525727,77.62863534675616
"conafor -inventario forestal estado yucatán, méxico",426,0.03831452084363898,431,1,92.24308920187792,84.27230046948357,67.37089201877934
marn-mag/fcpf - inventario forestal el salvador,318,0.028600980348068534,318,1,92.85580503144654,95.9119496855346,87.42138364779875
ccad/giz-redd+landscape - datos de campo piloto guatemala,250,0.022485047443450104,250,1,93.203552,95.2,15.2
ccad/giz-redd+landscape - datos de campo piloto el salvador,112,0.010073301254665648,112,1,94.61125892857142,95.53571428571429,8.035714285714286
"conafor -inventario forestal estado tabasco, méxico",63,0.0056662319557494265,63,1,89.70673015873017,73.01587301587301,36.507936507936506
