pais,id_1_propuesta,nivel_1_propuesta,n_registros,presente
belice,11,bosques latifoliados y mixtos,12175,True
belice,12,bosques de coníferas,1661,True
belice,13,bosques de mangle,627,True
belice,14,bosques secos,0,False
belice,15,plantaciones forestales,10,True
belice,21,cultivos arbóreos,0,False
belice,22,zonas agrícolas no arbóreas,17214,True
belice,23,construido,296,True
belice,24,cuerpos de agua,235,True
belice,25,otras tierras,1093,True
costa rica,11,bosques latifoliados y mixtos,55933,True
costa rica,12,bosques de coníferas,0,False
costa rica,13,bosques de mangle,0,False
costa rica,14,bosques secos,0,False
costa rica,15,plantaciones forestales,897,True
costa rica,21,cultivos arbóreos,27550,True
costa rica,22,zonas agrícolas no arbóreas,39533,True
costa rica,23,construido,438,True
costa rica,24,cuerpos de agua,5,True
costa rica,25,otras tierras,8658,True
el salvador,11,bosques latifoliados y mixtos,164907,True
el salvador,12,bosques de coníferas,6014,True
el salvador,13,bosques de mangle,9875,True
el salvador,14,bosques secos,14,True
el salvador,15,plantaciones forestales,2249,True
el salvador,21,cultivos arbóreos,79154,True
el salvador,22,zonas agrícolas no arbóreas,274741,True
el salvador,23,construido,30882,True
el salvador,24,cuerpos de agua,1833,True
el salvador,25,otras tierras,1859,True
guatemala,11,bosques latifoliados y mixtos,415,True
guatemala,12,bosques de coníferas,5,True
guatemala,13,bosques de mangle,84,True
guatemala,14,bosques secos,0,False
guatemala,15,plantaciones forestales,1,True
guatemala,21,cultivos arbóreos,138624,True
guatemala,22,zonas agrícolas no arbóreas,69979,True
guatemala,23,construido,125,True
guatemala,24,cuerpos de agua,44,True
guatemala,25,otras tierras,244,True
honduras,11,bosques latifoliados y mixtos,6416,True
honduras,12,bosques de coníferas,5672,True
honduras,13,bosques de mangle,1208,True
honduras,14,bosques secos,1665,True
honduras,15,plantaciones forestales,24,True
honduras,21,cultivos arbóreos,99826,True
honduras,22,zonas agrícolas no arbóreas,16368,True
honduras,23,construido,370,True
honduras,24,cuerpos de agua,267,True
honduras,25,otras tierras,568,True
multipais_o_inconsistente,11,bosques latifoliados y mixtos,277,True
multipais_o_inconsistente,12,bosques de coníferas,46,True
multipais_o_inconsistente,13,bosques de mangle,1,True
multipais_o_inconsistente,14,bosques secos,1,True
multipais_o_inconsistente,15,plantaciones forestales,0,False
multipais_o_inconsistente,21,cultivos arbóreos,83,True
multipais_o_inconsistente,22,zonas agrícolas no arbóreas,306,True
multipais_o_inconsistente,23,construido,0,False
multipais_o_inconsistente,24,cuerpos de agua,26,True
multipais_o_inconsistente,25,otras tierras,9,True
méxico,11,bosques latifoliados y mixtos,1337,True
méxico,12,bosques de coníferas,44,True
méxico,13,bosques de mangle,16,True
méxico,14,bosques secos,112,True
méxico,15,plantaciones forestales,4,True
méxico,21,cultivos arbóreos,0,False
méxico,22,zonas agrícolas no arbóreas,595,True
méxico,23,construido,5,True
méxico,24,cuerpos de agua,0,False
méxico,25,otras tierras,36,True
nicaragua,11,bosques latifoliados y mixtos,0,False
nicaragua,12,bosques de coníferas,0,False
nicaragua,13,bosques de mangle,0,False
nicaragua,14,bosques secos,0,False
nicaragua,15,plantaciones forestales,0,False
nicaragua,21,cultivos arbóreos,1,True
nicaragua,22,zonas agrícolas no arbóreas,2,True
nicaragua,23,construido,0,False
nicaragua,24,cuerpos de agua,3,True
nicaragua,25,otras tierras,1,True
panamá,11,bosques latifoliados y mixtos,2733,True
panamá,12,bosques de coníferas,0,False
panamá,13,bosques de mangle,109,True
panamá,14,bosques secos,0,False
panamá,15,plantaciones forestales,53,True
panamá,21,cultivos arbóreos,3502,True
panamá,22,zonas agrícolas no arbóreas,22587,True
panamá,23,construido,103,True
panamá,24,cuerpos de agua,78,True
panamá,25,otras tierras,22,True
