layer_name,field_name,dtype
Puntos_control_mesoamerica,Id,int32
Puntos_control_mesoamerica,Id_Origen,int32
Puntos_control_mesoamerica,Longitud,float
Puntos_control_mesoamerica,Latitud,float
Puntos_control_mesoamerica,id_fuente,int32
Puntos_control_mesoamerica,Fuente,str:8000
Puntos_control_mesoamerica,Tipo,str:8000
Puntos_control_mesoamerica,Detalle_Tipo,str:8000
Puntos_control_mesoamerica,Año,int32
Puntos_control_mesoamerica,Uso_Origen,str:8000
Puntos_control_mesoamerica,Subuso_Origen,str:8000
Puntos_control_mesoamerica,Clave,str:8000
Puntos_control_mesoamerica,id_0,int32
Puntos_control_mesoamerica,Nivel_0,str:8000
Puntos_control_mesoamerica,id_cob_niv1,int32
Puntos_control_mesoamerica,Nivel_1,str:8000
Puntos_control_mesoamerica,id_cob_niv2,int32
Puntos_control_mesoamerica,Nivel_2,str:8000
Puntos_control_mesoamerica,IDRegMunic,str:8000
Puntos_control_mesoamerica,Pais_cod3,str:8000
Puntos_control_mesoamerica,Pais_es,str:8000
Puntos_control_mesoamerica,Admin1_id,int32
Puntos_control_mesoamerica,Admin1name,str:8000
Puntos_control_mesoamerica,Adm1tipo,str:8000
Puntos_control_mesoamerica,Admin2_id,int32
Puntos_control_mesoamerica,Admin2name,str:8000
Puntos_control_mesoamerica,Adm2tipo,str:8000
Puntos_control_mesoamerica,CodigoNiv1,int32
Puntos_control_mesoamerica,CodigoNiv2,int32
Puntos_control_mesoamerica,GBM_Nivel1,str:8000
Puntos_control_mesoamerica,GBM_Nivel2,str:8000
Puntos_control_mesoamerica,Cobertura,int32
Puntos_control_mesoamerica,Altura,int32
Puntos_control_mesoamerica,NDVI,float
Puntos_control_mesoamerica,Deforesta,int32
Puntos_control_mesoamerica,conf_ndvi,float
Puntos_control_mesoamerica,conf_cobertura,float
Puntos_control_mesoamerica,conf_altura,float
Puntos_control_mesoamerica,conf_integrada,float
Puntos_control_mesoamerica,Forest20,int32
Puntos_control_mesoamerica,WorldCov21,int32
