field_name,valor,n
id_fuente,16,1028472
id_fuente,1,413022
id_fuente,3,333504
id_fuente,4,316785
id_fuente,14,206950
id_fuente,5,197376
id_fuente,13,106416
id_fuente,10,99803
id_fuente,36,31176
id_fuente,15,24475
id_fuente,2,22766
id_fuente,11,22224
id_fuente,40,12500
id_fuente,12,11585
id_fuente,43,10433
id_fuente,42,7856
id_fuente,9,6786
id_fuente,39,6221
id_fuente,37,4716
id_fuente,33,3150
id_fuente,31,2693
id_fuente,38,2408
id_fuente,6,2267
id_fuente,35,1974
id_fuente,32,1818
id_fuente,41,1490
id_fuente,34,334
id_fuente,25,320
id_fuente,20,318
id_fuente,17,276
id_fuente,8,250
id_fuente,24,153
id_fuente,7,112
id_fuente,23,100
id_fuente,29,73
id_fuente,21,70
id_fuente,22,54
id_fuente,28,49
id_fuente,30,37
id_fuente,26,36
id_fuente,18,35
id_fuente,19,30
id_fuente,27,10
Fuente,FCPF - Malla MRV-REDD+ El Salvador,1028472
Fuente,FCPF - Malla MRV-REDD+ Belize ,413022
Fuente,FCPF - Malla MRV-REDD+ Honduras,333504
Fuente,CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,316785
Fuente,MAGA - Cultivos - Mapa Guatemala,206950
Fuente,CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,197376
Fuente,ICF - Cultivos - Mapa Honduras,106416
Fuente,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",99803
Fuente,ICAFE - Poligono de zonasdel cultivo de café de Costa Rica,31176
Fuente,MIAMBIENTE - Cultivos Mapa Panamá,24475
Fuente,FCPF - Malla MRV-REDD+ Guatemala,22766
Fuente,CENAT/PRIAS - Cultivos - Costa Rica,22224
Fuente,"Muestras de Entrenamiento de Jimenez, 2020 - Honduras",12500
Fuente,FOREST DEPARTMENT - Cultivos - Mapa Belize,11585
Fuente,"Muestras de Entrenamiento de Jimenez, 2020 - Panamá",10433
Fuente,"Muestras de Entrenamiento de Jimenez, 2020 - Costa Rica",7856
Fuente,"Muestras de Entrenamiento de Jimenez, 2020 - Guatemala",6786
Fuente,"Muestras de Entrenamiento de Jimenez, 2020 - El Salvador",6221
Fuente,MIAMBIENTE - Mapa de bosques y otras tierras boscosas de Panamá,4716
Fuente,"CONAFOR -Inventario Forestal Estado Quintana Roo, México",3150
Fuente,"CONAFOR -Inventario Forestal Estado Campeche, México",2693
Fuente,"Muestras de Entrenamiento de Jimenez, 2020 - Belice",2408
Fuente,CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,2267
Fuente,"CONAFOR -Inventario Forestal Estado Yucatán, México",1974
