field_name,valor,n
Id,1762909,4
Id,1762859,4
Id,1762819,4
Id,1762731,4
Id,1762727,4
Id,1762679,4
Id,1761968,4
Id,1761967,4
Id,1761002,4
Id,1760923,4
Id,1760590,4
Id,1759433,4
Id,1759101,4
Id,1759034,4
Id,1758575,4
Id,1757883,4
Id,1755093,4
Id,1754983,4
Id,1753535,4
Id,1753431,4
Id,1752889,4
Id,439986,4
Id,436239,4
Id,435480,4
Id,428617,4
Id,424870,4
Id,424111,4
Id,8038275,2
Id,8035957,2
Id,8030548,2
Id,8026251,2
Id,8016731,2
Id,8016227,2
Id,8015419,2
Id,8015333,2
Id,8010560,2
Id,6000842,2
Id,6000841,2
Id,6000840,2
Id,6000358,2
Id,3524248,2
Id,3521740,2
Id,3521739,2
Id,3521735,2
Id,3521734,2
Id,3521733,2
Id,3521732,2
Id,3521730,2
Id,3521729,2
Id,3521728,2
Id,3521727,2
Id,3521726,2
Id,3514425,2
Id,3514424,2
Id,3514423,2
Id,3514420,2
Id,3514419,2
Id,3514415,2
Id,3465850,2
Id,3465849,2
Id,3465848,2
Id,3465847,2
Id,3465846,2
Id,3465845,2
Id,3465844,2
Id,3465843,2
Id,3465842,2
Id,3465841,2
Id,3465839,2
Id,3465838,2
Id,3465837,2
Id,3465836,2
Id,3439760,2
Id,3439755,2
Id,3338869,2
Id,3338868,2
Id,3338867,2
Id,3338866,2
Id,3338865,2
Id,3338864,2
Id,3338863,2
Id,3338862,2
Id,3338861,2
Id,3338860,2
Id,3338859,2
Id,3337750,2
Id,3337749,2
Id,3337748,2
Id,3337747,2
Id,3337746,2
Id,3337745,2
Id,3337744,2
Id,3337743,2
Id,3337742,2
Id,3337741,2
Id,3337740,2
Id,3337739,2
Id,3337738,2
Id,3337737,2
Id,3337736,2
Id,3337735,2
Id,3337734,2
Id,3337733,2
Id,3337732,2
Id,3337731,2
Id,3337730,2
Id,3337729,2
Id,3337728,2
Id,3337727,2
Id,3337726,2
Id,3337586,2
Id,3337582,2
Id,3337581,2
Id,3337578,2
Id,3337577,2
Id,3337576,2
Id,3337575,2
Id,3337574,2
Id,3337573,2
Id,3337572,2
Id,3337571,2
Id,3337570,2
Id,3337569,2
Id,3337568,2
Id,3337567,2
Id,3337566,2
Id,3337565,2
Id,3337564,2
Id,3337563,2
Id,3337562,2
Id,3337561,2
Id,3337559,2
Id,3337558,2
Id,3337557,2
Id,3337556,2
Id,3337554,2
Id,3337553,2
Id,3337552,2
Id,3337551,2
Id,3336575,2
Id,3336574,2
Id,3336573,2
Id,3336572,2
Id,3336571,2
Id,3336569,2
Id,3336568,2
Id,3336567,2
Id,3336566,2
Id,3334848,2
Id,3334847,2
Id,3334844,2
Id,3334843,2
Id,3334840,2
Id,3334839,2
Id,3334838,2
Id,3334835,2
Id,3334834,2
Id,3334830,2
Id,3334425,2
Id,3334424,2
Id,3334423,2
Id,3334422,2
Id,3334421,2
Id,3334420,2
Id,3334419,2
Id,3334418,2
Id,3334417,2
Id,3334416,2
Id,3334415,2
Id,3334414,2
Id,3334413,2
Id,3334412,2
Id,3334411,2
Id,3334410,2
Id,3334409,2
Id,3334408,2
Id,3334407,2
Id,3334406,2
Id,3334405,2
Id,3334404,2
Id,3334403,2
Id,3334402,2
Id,3334401,2
Id,3334400,2
Id,3334399,2
Id,3334398,2
Id,3334397,2
Id,3334396,2
Id,3334395,2
Id,3334394,2
Id,3334393,2
Id,3334392,2
Id,3334391,2
Id,3334390,2
Id,3334389,2
Id,3334388,2
Id,3334387,2
Id,3334386,2
Id,3334385,2
Id,3334384,2
Id,3334383,2
Id,3334382,2
Id,3334381,2
Id,3334380,2
Id,3334379,2
Id,3334378,2
Id,3334377,2
Id,3334376,2
Id,3334375,2
Id,3334374,2
Id,3334373,2
Id,3334372,2
Id,3334371,2
Id,3334370,2
Id,3334369,2
Id,3334368,2
Id,3334367,2
Id,3334366,2
Id,3334365,2
Id,3334364,2
Id,3334363,2
Id,3334362,2
Id,3334361,2
Id,3334360,2
Id,3334359,2
Id,3334358,2
Id,3334357,2
Id,3334356,2
Id,3334355,2
Id,3334354,2
Id,3334353,2
Id,3334352,2
Id,3334351,2
Id,3333925,2
Id,3333924,2
Id,3333923,2
Id,3333922,2
Id,3333921,2
Id,3333920,2
Id,3333919,2
Id,3333918,2
Id,3333917,2
Id,3333916,2
Id,3333915,2
Id,3333914,2
Id,3333913,2
Id,3333912,2
Id,3333911,2
Id,3333910,2
Id,3333909,2
Id,3333908,2
Id,3333907,2
Id,3333906,2
Id,3333905,2
Id,3333904,2
Id,3333903,2
Id,3333902,2
Id,3333901,2
Id,3264600,2
Id,3264599,2
Id,3264598,2
Id,3264597,2
Id,3264596,2
Id,3264595,2
Id,3264594,2
Id,3264593,2
Id,3264592,2
Id,3264591,2
Id,3264590,2
Id,3264589,2
Id,3264588,2
Id,3264587,2
Id,3264586,2
Id,3264585,2
Id,3264584,2
Id,3264583,2
Id,3264582,2
Id,3264581,2
Id,3264580,2
Id,3264579,2
Id,3264578,2
Id,3264577,2
Id,3264576,2
Id,3264575,2
Id,3264570,2
Id,3264135,2
Id,3264134,2
Id,3264133,2
Id,3264132,2
Id,3264131,2
Id,3264130,2
Id,3264129,2
Id,3264128,2
Id,3264127,2
Id,3264126,2
Id,3263575,2
Id,3263574,2
Id,3263573,2
Id,3263572,2
Id,3263571,2
Id,3263570,2
Id,3263569,2
Id,3263568,2
Id,3263567,2
Id,3263566,2
Id,3263565,2
Id,3263564,2
Id,3263563,2
Id,3263562,2
Id,3263561,2
Id,3263560,2
Id,3263559,2
Id,3263558,2
Id,3263557,2
Id,3263556,2
Id,3263555,2
Id,3263554,2
Id,3263553,2
Id,3263552,2
Id,3263551,2
Id,3254097,2
Id,3254096,2
Id,3254092,2
Id,3254091,2
Id,3254088,2
Id,3254087,2
Id,3254083,2
Id,3254082,2
Id,3254079,2
Id,3254078,2
Id,3132475,2
Id,3132474,2
Id,3132473,2
Id,3132472,2
Id,3132471,2
Id,3132470,2
Id,3132469,2
Id,3132468,2
Id,3132467,2
Id,3132466,2
Id,3132465,2
Id,3132464,2
Id,3132463,2
Id,3132462,2
Id,3132461,2
Id,3132458,2
Id,3132457,2
Id,3132456,2
Id,3132148,2
Id,3132147,2
Id,3132143,2
Id,3132142,2
Id,3132138,2
Id,3132137,2
Id,3132133,2
Id,3132132,2
Id,3132128,2
Id,3132127,2
Id,3132126,2
Id,3129974,2
Id,3129973,2
Id,3129972,2
Id,3129971,2
Id,3129970,2
Id,3129969,2
Id,3129968,2
Id,3129967,2
Id,3129966,2
Id,3129965,2
Id,3129964,2
Id,3129963,2
Id,3129962,2
Id,3129961,2
Id,3129960,2
Id,3129959,2
Id,3129958,2
Id,3129957,2
Id,3129956,2
Id,3129955,2
Id,3129954,2
Id,3129953,2
Id,3129952,2
Id,3129951,2
Id,3129350,2
Id,3129349,2
Id,3129348,2
Id,3129347,2
Id,3129346,2
Id,3129345,2
Id,3129344,2
Id,3129343,2
Id,3129342,2
Id,3129341,2
Id,3129340,2
Id,3129339,2
Id,3129338,2
Id,3129337,2
Id,3129336,2
Id,3129335,2
Id,3129334,2
Id,3129333,2
Id,3129332,2
Id,3129331,2
Id,3129329,2
Id,3129328,2
Id,3129327,2
Id,3129326,2
Id,3120025,2
Id,3120024,2
Id,3120023,2
Id,3120022,2
