field_name,n_total,n_nulos,pct_nulos,n_vacios_texto,pct_vacios_texto
GBM_Nivel1,2881123,2131439,73.9795,0,0.0
GBM_Nivel2,2881123,2131439,73.9795,0,0.0
Id_Origen,2881123,1750203,60.7473,0,0.0
OBJECTID,2881123,0,0.0,0,0.0
Id,2881123,0,0.0,0,0.0
Longitud,2881123,0,0.0,0,0.0
Latitud,2881123,0,0.0,0,0.0
id_fuente,2881123,0,0.0,0,0.0
Fuente,2881123,0,0.0,0,0.0
Tipo,2881123,0,0.0,0,0.0
Detalle_Tipo,2881123,0,0.0,0,0.0
Año,2881123,0,0.0,0,0.0
Uso_Origen,2881123,0,0.0,0,0.0
Subuso_Origen,2881123,0,0.0,0,0.0
Clave,2881123,0,0.0,0,0.0
id_0,2881123,0,0.0,0,0.0
Nivel_0,2881123,0,0.0,0,0.0
id_cob_niv1,2881123,0,0.0,0,0.0
Nivel_1,2881123,0,0.0,0,0.0
id_cob_niv2,2881123,0,0.0,0,0.0
Nivel_2,2881123,0,0.0,0,0.0
IDRegMunic,2881123,0,0.0,0,0.0
Pais_cod3,2881123,0,0.0,0,0.0
Pais_es,2881123,0,0.0,0,0.0
Admin1_id,2881123,0,0.0,0,0.0
Admin1name,2881123,0,0.0,0,0.0
Adm1tipo,2881123,0,0.0,0,0.0
Admin2_id,2881123,0,0.0,0,0.0
Admin2name,2881123,0,0.0,0,0.0
Adm2tipo,2881123,0,0.0,0,0.0
CodigoNiv1,2881123,0,0.0,0,0.0
CodigoNiv2,2881123,0,0.0,0,0.0
Cobertura,2881123,0,0.0,0,0.0
Altura,2881123,0,0.0,0,0.0
NDVI,2881123,0,0.0,0,0.0
Deforesta,2881123,0,0.0,0,0.0
conf_ndvi,2881123,0,0.0,0,0.0
conf_cobertura,2881123,0,0.0,0,0.0
conf_altura,2881123,0,0.0,0,0.0
conf_integrada,2881123,0,0.0,0,0.0
Forest20,2881123,0,0.0,0,0.0
WorldCov21,2881123,0,0.0,0,0.0
