field_name,n_total,n_unicos_no_nulos,pct_unicos_sobre_total
OBJECTID,2881123,2881123,100.0
Id,2881123,2879481,99.943
conf_integrada,2881123,1405623,48.7873
conf_ndvi,2881123,1089935,37.8302
NDVI,2881123,583395,20.2489
Longitud,2881123,291022,10.101
Latitud,2881123,284952,9.8903
Id_Origen,2881123,219814,7.6295
IDRegMunic,2881123,1417,0.0492
Admin2name,2881123,1323,0.0459
conf_cobertura,2881123,1092,0.0379
CodigoNiv2,2881123,790,0.0274
Clave,2881123,717,0.0249
Subuso_Origen,2881123,388,0.0135
conf_altura,2881123,372,0.0129
Uso_Origen,2881123,171,0.0059
Admin2_id,2881123,118,0.0041
Admin1name,2881123,102,0.0035
Cobertura,2881123,92,0.0032
id_fuente,2881123,43,0.0015
Fuente,2881123,43,0.0015
Nivel_2,2881123,40,0.0014
Altura,2881123,40,0.0014
id_cob_niv2,2881123,40,0.0014
Admin1_id,2881123,39,0.0014
CodigoNiv1,2881123,39,0.0014
Deforesta,2881123,24,0.0008
Año,2881123,23,0.0008
Nivel_1,2881123,12,0.0004
id_cob_niv1,2881123,12,0.0004
GBM_Nivel2,2881123,10,0.0003
WorldCov21,2881123,9,0.0003
Pais_cod3,2881123,8,0.0003
Pais_es,2881123,8,0.0003
GBM_Nivel1,2881123,6,0.0002
id_0,2881123,5,0.0002
Nivel_0,2881123,5,0.0002
Tipo,2881123,4,0.0001
Adm2tipo,2881123,4,0.0001
Adm1tipo,2881123,4,0.0001
Detalle_Tipo,2881123,2,0.0001
Forest20,2881123,2,0.0001
