tipo_duplicado,lon,lat,n
exacto,-89.21945599999998,16.01171,38
exacto,-89.203473,16.255809,38
exacto,-89.125195,15.931348,38
exacto,-89.062533,16.193982,38
exacto,-89.062346,16.175913,38
exacto,-89.05308999999998,16.185038,38
exacto,-87.78653,17.495108,38
exacto,-88.71986325,14.04740526,36
exacto,-87.23764303,12.9918848,36
exacto,-85.3960967,14.13723678,36
exacto,-83.17276637,14.9906363,36
exacto,-89.219357,16.002677,19
exacto,-89.219257,15.993643,19
exacto,-89.21915699999998,15.98461,19
exacto,-89.219058,15.975576,19
exacto,-89.218958,15.966542,19
exacto,-89.21885799999998,15.957509,19
exacto,-89.218759,15.948475,19
exacto,-89.21866,15.939441,19
exacto,-89.21855999999998,15.930408,19
exacto,-89.218461,15.921374,19
exacto,-89.218362,15.91234,19
exacto,-89.21826299999998,15.903307,19
exacto,-89.218164,15.894273,19
exacto,-89.211414,16.129243,19
exacto,-89.211314,16.12021,19
exacto,-89.211214,16.111176,19
exacto,-89.21111399999998,16.102143,19
exacto,-89.211014,16.093109,19
exacto,-89.210914,16.084076,19
exacto,-89.210814,16.075042,19
exacto,-89.21071399999998,16.066008,19
exacto,-89.210614,16.056975,19
exacto,-89.210515,16.047941,19
exacto,-89.210415,16.038908,19
exacto,-89.21031499999998,16.029874,19
exacto,-89.210216,16.02084,19
exacto,-89.210116,16.011807,19
exacto,-89.21001699999998,16.002773,19
exacto,-89.209918,15.993739,19
exacto,-89.209818,15.984706,19
exacto,-89.209719,15.975672,19
exacto,-89.20962,15.966638,19
exacto,-89.20952099999998,15.957605,19
exacto,-89.209422,15.948571,19
exacto,-89.209323,15.939537,19
exacto,-89.209224,15.930504,19
exacto,-89.209125,15.92147,19
exacto,-89.209027,15.912436,19
exacto,-89.208928,15.903402,19
exacto,-89.203372,16.246776,19
exacto,-89.203271,16.237742,19
exacto,-89.203171,16.228709,19
exacto,-89.20306999999998,16.219675,19
exacto,-89.20296999999998,16.210642,19
exacto,-89.202869,16.201608,19
exacto,-89.202769,16.192575,19
exacto,-89.202669,16.183541,19
exacto,-89.20256899999998,16.174508,19
exacto,-89.20246899999998,16.165474,19
exacto,-89.202369,16.156441,19
exacto,-89.202269,16.147407,19
exacto,-89.202169,16.138374,19
exacto,-89.20206899999998,16.12934,19
exacto,-89.201969,16.120306,19
exacto,-89.201869,16.111273,19
exacto,-89.20176999999998,16.102239,19
exacto,-89.20166999999998,16.093206,19
exacto,-89.20157,16.084172,19
exacto,-89.201471,16.075138,19
exacto,-89.20137099999998,16.066105,19
exacto,-89.201272,16.057071,19
exacto,-89.20117299999998,16.048037,19
exacto,-89.201074,16.039004,19
exacto,-89.200974,16.02997,19
exacto,-89.20087499999998,16.020936,19
exacto,-89.200776,16.011903,19
exacto,-89.200677,16.002869,19
exacto,-89.20057799999998,15.993835,19
exacto,-89.20048,15.984802,19
exacto,-89.20038099999998,15.975768,19
exacto,-89.200282,15.966734,19
exacto,-89.20018299999998,15.9577,19
exacto,-89.200085,15.948667,19
exacto,-89.19998599999998,15.939633,19
exacto,-89.199888,15.930599,19
exacto,-89.19978899999998,15.921565,19
exacto,-89.199691,15.912532,19
exacto,-89.19959299999998,15.903498,19
exacto,-89.19543,16.373342,19
exacto,-89.195329,16.364308,19
exacto,-89.195228,16.355275,19
exacto,-89.195127,16.346241,19
exacto,-89.195026,16.337208,19
exacto,-89.194925,16.328174,19
exacto,-89.19482499999998,16.319141,19
exacto,-89.19472399999998,16.310108,19
exacto,-89.194623,16.301074,19
exacto,-89.194523,16.292041,19
exacto,-89.194422,16.283007,19
exacto,-89.194322,16.273974,19
exacto,-89.194221,16.26494,19
exacto,-89.19412099999998,16.255907,19
exacto,-89.194021,16.246873,19
exacto,-89.193921,16.237839,19
exacto,-89.19382,16.228806,19
exacto,-89.19372,16.219772,19
exacto,-89.19361999999998,16.210739,19
exacto,-89.19352,16.201705,19
exacto,-89.193421,16.192672,19
exacto,-89.19332099999998,16.183638,19
exacto,-89.19322099999998,16.174604,19
exacto,-89.193121,16.165571,19
exacto,-89.193022,16.156537,19
exacto,-89.19292199999998,16.147504,19
exacto,-89.192823,16.13847,19
exacto,-89.192723,16.129436,19
exacto,-89.19262399999998,16.120403,19
exacto,-89.192524,16.111369,19
exacto,-89.192425,16.102335,19
exacto,-89.19232599999998,16.093302,19
exacto,-89.192227,16.084268,19
exacto,-89.19212799999998,16.075234,19
exacto,-89.192029,16.066201,19
exacto,-89.19193,16.057167,19
exacto,-89.19183099999998,16.048133,19
exacto,-89.191732,16.039099,19
exacto,-89.19163299999998,16.030066,19
exacto,-89.191535,16.021032,19
exacto,-89.19143599999998,16.011998,19
exacto,-89.191338,16.002964,19
exacto,-89.19123899999998,15.993931,19
exacto,-89.191141,15.984897,19
exacto,-89.19104199999998,15.975863,19
exacto,-89.190944,15.966829,19
exacto,-89.19084599999998,15.957796,19
exacto,-89.190748,15.948762,19
exacto,-89.19064899999998,15.939728,19
exacto,-89.190551,15.930694,19
exacto,-89.190453,15.92166,19
exacto,-89.19035499999998,15.912626,19
exacto,-89.190258,15.903593,19
exacto,-89.187387,16.490874,19
exacto,-89.187286,16.48184,19
exacto,-89.187184,16.472807,19
exacto,-89.187083,16.463773,19
exacto,-89.186982,16.45474,19
exacto,-89.186881,16.445707,19
exacto,-89.186779,16.436673,19
exacto,-89.186678,16.42764,19
exacto,-89.186577,16.418606,19
exacto,-89.186476,16.409573,19
exacto,-89.186375,16.40054,19
exacto,-89.18627499999998,16.391506,19
exacto,-89.18617399999998,16.382473,19
exacto,-89.18607299999998,16.373439,19
exacto,-89.185972,16.364406,19
exacto,-89.185872,16.355372,19
exacto,-89.185771,16.346339,19
exacto,-89.185671,16.337305,19
exacto,-89.18557,16.328272,19
exacto,-89.18546999999998,16.319238,19
exacto,-89.18537,16.310205,19
exacto,-89.18527,16.301171,19
exacto,-89.185169,16.292137,19
exacto,-89.185069,16.283104,19
exacto,-89.18496899999998,16.27407,19
exacto,-89.184869,16.265037,19
exacto,-89.184769,16.256003,19
exacto,-89.18466999999998,16.24697,19
exacto,-89.18456999999998,16.237936,19
exacto,-89.18447,16.228902,19
exacto,-89.18437,16.219869,19
exacto,-89.18427099999998,16.210835,19
exacto,-89.184171,16.201802,19
exacto,-89.184072,16.192768,19
exacto,-89.18397199999998,16.183734,19
exacto,-89.183873,16.174701,19
exacto,-89.183774,16.165667,19
exacto,-89.18367499999998,16.156633,19
exacto,-89.183575,16.1476,19
exacto,-89.183476,16.138566,19
exacto,-89.18337699999998,16.129532,19
exacto,-89.183278,16.120498,19
exacto,-89.18317999999998,16.111465,19
exacto,-89.183081,16.102431,19
exacto,-89.18298199999998,16.093397,19
exacto,-89.182883,16.084364,19
exacto,-89.18278499999998,16.07533,19
exacto,-89.182686,16.066296,19
exacto,-89.182587,16.057262,19
exacto,-89.182489,16.048229,19
exacto,-89.18239099999998,16.039195,19
exacto,-89.182292,16.030161,19
exacto,-89.18219399999998,16.021127,19
exacto,-89.182096,16.012093,19
exacto,-89.18199799999998,16.00306,19
exacto,-89.1819,15.994026,19
exacto,-89.181802,15.984992,19
exacto,-89.18170399999998,15.975958,19
exacto,-89.181606,15.966924,19
exacto,-89.18150799999998,15.95789,19
exacto,-89.18141,15.948857,19
exacto,-89.181312,15.939823,19
exacto,-89.18121499999998,15.930789,19
exacto,-89.181117,15.921755,19
exacto,-89.18102,15.912721,19
exacto,-89.179446,16.617439,19
exacto,-89.179344,16.608405,19
exacto,-89.179242,16.599372,19
exacto,-89.17914,16.590339,19
exacto,-89.179038,16.581305,19
exacto,-89.178937,16.572272,19
exacto,-89.178835,16.563239,19
exacto,-89.178734,16.554205,19
exacto,-89.17863199999998,16.545172,19
exacto,-89.178531,16.536138,19
exacto,-89.17842899999998,16.527105,19
exacto,-89.17832799999998,16.518072,19
exacto,-89.178227,16.509038,19
exacto,-89.178126,16.500005,19
exacto,-89.17802399999998,16.490971,19
exacto,-89.177923,16.481938,19
exacto,-89.177822,16.472905,19
exacto,-89.177722,16.463871,19
exacto,-89.177621,16.454838,19
exacto,-89.17752,16.445804,19
exacto,-89.177419,16.436771,19
exacto,-89.177318,16.427737,19
exacto,-89.17721799999998,16.418704,19
exacto,-89.17711699999998,16.40967,19
exacto,-89.177017,16.400637,19
exacto,-89.176916,16.391603,19
exacto,-89.176816,16.38257,19
exacto,-89.176716,16.373536,19
exacto,-89.176615,16.364503,19
exacto,-89.17651499999998,16.355469,19
exacto,-89.176415,16.346435,19
exacto,-89.176315,16.337402,19
exacto,-89.176215,16.328368,19
exacto,-89.17611499999998,16.319335,19
exacto,-89.176015,16.310301,19
exacto,-89.175916,16.301268,19
exacto,-89.175816,16.292234,19
exacto,-89.17571599999998,16.2832,19
exacto,-89.175617,16.274167,19
exacto,-89.175517,16.265133,19
exacto,-89.17541799999998,16.256099,19
exacto,-89.175318,16.247066,19
exacto,-89.175219,16.238032,19
exacto,-89.17512,16.228999,19
exacto,-89.17502,16.219965,19
exacto,-89.174921,16.210931,19
exacto,-89.174822,16.201897,19
exacto,-89.174723,16.192864,19
exacto,-89.17462399999998,16.18383,19
exacto,-89.174525,16.174796,19
exacto,-89.17442599999998,16.165763,19
exacto,-89.174328,16.156729,19
exacto,-89.17422899999998,16.147695,19
exacto,-89.17413,16.138661,19
exacto,-89.17403199999998,16.129628,19
exacto,-89.173933,16.120594,19
exacto,-89.17383499999998,16.11156,19
exacto,-89.173736,16.102526,19
exacto,-89.17363799999998,16.093493,19
exacto,-89.17354,16.084459,19
exacto,-89.17344099999998,16.075425,19
exacto,-89.173343,16.066391,19
exacto,-89.17324499999998,16.057357,19
exacto,-89.173147,16.048323,19
exacto,-89.173049,16.03929,19
exacto,-89.172951,16.030256,19
exacto,-89.172853,16.021222,19
exacto,-89.172756,16.012188,19
exacto,-89.172658,16.003154,19
exacto,-89.17256,15.99412,19
exacto,-89.17246299999998,15.985086,19
exacto,-89.172365,15.976053,19
exacto,-89.172268,15.967019,19
exacto,-89.17216999999998,15.957985,19
exacto,-89.17207299999998,15.948951,19
exacto,-89.171976,15.939917,19
exacto,-89.171878,15.930883,19
exacto,-89.17178099999998,15.921849,19
exacto,-89.171684,15.912815,19
exacto,-89.171402,16.73497,19
exacto,-89.1713,16.725936,19
exacto,-89.171197,16.716903,19
exacto,-89.17109499999998,16.70787,19
exacto,-89.17099299999998,16.698837,19
exacto,-89.17089099999998,16.689803,19
exacto,-89.170789,16.68077,19
exacto,-89.170687,16.671737,19
exacto,-89.170585,16.662703,19
exacto,-89.170483,16.65367,19
exacto,-89.170382,16.644637,19
exacto,-89.17028,16.635603,19
exacto,-89.170178,16.62657,19
exacto,-89.170077,16.617537,19
exacto,-89.16997499999998,16.608503,19
exacto,-89.16987399999998,16.59947,19
exacto,-89.16977199999998,16.590436,19
exacto,-89.16967099999998,16.581403,19
exacto,-89.16956999999998,16.57237,19
exacto,-89.169469,16.563336,19
exacto,-89.169368,16.554303,19
exacto,-89.169267,16.545269,19
exacto,-89.169166,16.536236,19
exacto,-89.169065,16.527203,19
exacto,-89.168964,16.518169,19
exacto,-89.168863,16.509136,19
exacto,-89.168762,16.500102,19
exacto,-89.168661,16.491069,19
exacto,-89.16856099999998,16.482035,19
exacto,-89.16845999999998,16.473002,19
exacto,-89.16836,16.463968,19
exacto,-89.168259,16.454935,19
exacto,-89.168159,16.445901,19
exacto,-89.168059,16.436868,19
exacto,-89.167958,16.427834,19
exacto,-89.16785799999998,16.418801,19
exacto,-89.167758,16.409767,19
exacto,-89.167658,16.400733,19
exacto,-89.167558,16.3917,19
exacto,-89.16745799999998,16.382666,19
exacto,-89.16735799999998,16.373633,19
exacto,-89.167259,16.364599,19
exacto,-89.167159,16.355566,19
exacto,-89.16705899999998,16.346532,19
exacto,-89.16696,16.337498,19
exacto,-89.16686,16.328465,19
exacto,-89.16676099999998,16.319431,19
exacto,-89.166661,16.310397,19
exacto,-89.166562,16.301364,19
exacto,-89.16646199999998,16.29233,19
exacto,-89.166363,16.283296,19
exacto,-89.166264,16.274263,19
exacto,-89.166165,16.265229,19
