xy_group_id,lon,lat,n_registros,n_paises,n_fuentes,n_anios,n_nivel1,n_nivel2,anio_min,anio_max,pais_grupo,conf_integrada_promedio,conf_integrada_min,conf_integrada_max,tipo_grupo_xy
XY_000000455074,-89.21945599999998,16.01171,38,2,1,19,1,1,2000,2018,multipais_o_inconsistente,96.54881200203548,96.54881200203548,96.54881200203548,multitemporal_xy
XY_000000460298,-89.203473,16.255809,38,2,1,19,1,1,2000,2018,multipais_o_inconsistente,83.61315777256601,83.61315777256601,83.61315777256601,multitemporal_xy
XY_000000487187,-89.125195,15.931348,38,1,1,19,1,1,2000,2018,Belice,93.3828016005927,93.3828016005927,93.3828016005927,multitemporal_xy
XY_000000510366,-89.062533,16.193982,38,1,1,19,1,1,2000,2018,Belice,87.30033111137459,87.30033111137459,87.30033111137459,multitemporal_xy
XY_000000510441,-89.062346,16.175913,38,1,1,19,1,1,2000,2018,Belice,92.22457726901047,92.22457726901047,92.22457726901047,multitemporal_xy
XY_000000513739,-89.05308999999998,16.185038,38,1,1,19,2,2,2000,2018,Belice,83.11751782898943,62.378760484498436,88.64785312085371,conflicto_tematico_xy
XY_000000907728,-87.78653,17.495108,38,1,1,19,1,1,2000,2018,Belice,86.80330850383366,86.80330850383366,86.80330850383366,multitemporal_xy
XY_000000632175,-88.71986325,14.04740526,36,2,1,18,1,1,2005,2022,multipais_o_inconsistente,79.77697282982732,79.77697282982732,79.77697282982732,multitemporal_xy
XY_000000943464,-87.23764303,12.9918848,36,2,1,18,1,1,2005,2022,multipais_o_inconsistente,92.79182654041182,92.79182654041182,92.79182654041182,multitemporal_xy
XY_000001003087,-85.3960967,14.13723678,36,2,1,18,1,1,2005,2022,multipais_o_inconsistente,94.23630310076194,94.23630310076194,94.23630310076194,multitemporal_xy
XY_000001223607,-83.17276637,14.9906363,36,2,1,18,1,1,2005,2022,multipais_o_inconsistente,86.78003864839502,86.78003864839502,86.78003864839502,multitemporal_xy
XY_000000455119,-89.219357,16.002677,19,1,1,19,1,1,2000,2018,Belice,81.39462135457566,81.39462135457566,81.39462135457566,multitemporal_xy
XY_000000455150,-89.219257,15.993643,19,1,1,19,1,1,2000,2018,Belice,80.71774289189341,80.71774289189341,80.71774289189341,multitemporal_xy
XY_000000455197,-89.21915699999998,15.98461,19,1,1,19,1,2,2000,2018,Belice,92.31748031327841,92.31748031327841,92.31748031327841,conflicto_tematico_xy
XY_000000455237,-89.219058,15.975576,19,1,1,19,2,2,2000,2018,Belice,71.3911910682065,69.52967895305514,87.214044046993,conflicto_tematico_xy
XY_000000455274,-89.218958,15.966542,19,1,1,19,1,1,2000,2018,Belice,90.1857202838709,90.1857202838709,90.1857202838709,multitemporal_xy
XY_000000455315,-89.21885799999998,15.957509,19,1,1,19,1,1,2000,2018,Belice,58.024676922850915,58.024676922850915,58.024676922850915,multitemporal_xy
XY_000000455335,-89.218759,15.948475,19,1,1,19,1,1,2000,2018,Belice,95.76517083534077,95.76517083534077,95.76517083534077,multitemporal_xy
XY_000000455351,-89.21866,15.939441,19,1,1,19,1,1,2000,2018,Belice,94.4222475369896,94.4222475369896,94.4222475369896,multitemporal_xy
XY_000000455376,-89.21855999999998,15.930408,19,1,1,19,1,1,2000,2018,Belice,95.55057081250266,95.55057081250266,95.55057081250266,multitemporal_xy
XY_000000455394,-89.218461,15.921374,19,1,1,19,1,1,2000,2018,Belice,70.74592532518086,70.74592532518086,70.74592532518086,multitemporal_xy
XY_000000455414,-89.218362,15.91234,19,1,1,19,1,1,2000,2018,Belice,51.88702093942383,51.88702093942383,51.88702093942383,multitemporal_xy
XY_000000455433,-89.21826299999998,15.903307,19,1,1,19,1,1,2000,2018,Belice,82.93169699966691,82.93169699966691,82.93169699966691,multitemporal_xy
XY_000000455449,-89.218164,15.894273,19,1,1,19,1,1,2000,2018,Belice,90.28911250271479,90.28911250271479,90.28911250271479,multitemporal_xy
XY_000000457715,-89.211414,16.129243,19,1,1,19,1,1,2000,2018,Belice,89.76160801480444,89.76160801480444,89.76160801480444,multitemporal_xy
XY_000000457743,-89.211314,16.12021,19,1,1,19,1,1,2000,2018,Belice,68.85041951511698,68.85041951511698,68.85041951511698,multitemporal_xy
XY_000000457779,-89.211214,16.111176,19,1,1,19,2,2,2000,2018,Belice,68.07509835918918,60.68058699406187,78.24255148623925,conflicto_tematico_xy
XY_000000457806,-89.21111399999998,16.102143,19,1,1,19,2,2,2000,2018,Belice,65.44910824015805,56.19482578109357,81.31359245569716,conflicto_tematico_xy
