group_field,grupo,anio,n
Nivel_1,11 Urbano,2000,21736
Nivel_1,11 Urbano,2001,2675
Nivel_1,11 Urbano,2002,199
Nivel_1,11 Urbano,2003,199
Nivel_1,11 Urbano,2004,205
Nivel_1,11 Urbano,2005,7835
Nivel_1,11 Urbano,2006,561
Nivel_1,11 Urbano,2007,427
Nivel_1,11 Urbano,2008,433
Nivel_1,11 Urbano,2009,439
Nivel_1,11 Urbano,2010,447
Nivel_1,11 Urbano,2011,455
Nivel_1,11 Urbano,2012,7447
Nivel_1,11 Urbano,2013,468
Nivel_1,11 Urbano,2014,477
Nivel_1,11 Urbano,2015,510
Nivel_1,11 Urbano,2016,7523
Nivel_1,11 Urbano,2017,4040
Nivel_1,11 Urbano,2018,29161
Nivel_1,11 Urbano,2019,321
Nivel_1,11 Urbano,2020,271
Nivel_1,11 Urbano,2021,366
Nivel_1,11 Urbano,2022,275
Nivel_1,12 Otras tierras,2000,4110
Nivel_1,12 Otras tierras,2001,917
Nivel_1,12 Otras tierras,2002,48
Nivel_1,12 Otras tierras,2003,48
Nivel_1,12 Otras tierras,2004,49
Nivel_1,12 Otras tierras,2005,469
Nivel_1,12 Otras tierras,2006,116
Nivel_1,12 Otras tierras,2007,67
Nivel_1,12 Otras tierras,2008,67
Nivel_1,12 Otras tierras,2009,69
Nivel_1,12 Otras tierras,2010,71
Nivel_1,12 Otras tierras,2011,72
Nivel_1,12 Otras tierras,2012,1115
Nivel_1,12 Otras tierras,2013,73
Nivel_1,12 Otras tierras,2014,74
Nivel_1,12 Otras tierras,2015,88
Nivel_1,12 Otras tierras,2016,483
Nivel_1,12 Otras tierras,2017,132
Nivel_1,12 Otras tierras,2018,5032
Nivel_1,12 Otras tierras,2019,13
Nivel_1,12 Otras tierras,2020,8
Nivel_1,12 Otras tierras,2021,22
Nivel_1,12 Otras tierras,2022,8
Nivel_1,21 Cuerpos de Agua,2000,1972
Nivel_1,21 Cuerpos de Agua,2001,420
Nivel_1,21 Cuerpos de Agua,2002,228
Nivel_1,21 Cuerpos de Agua,2003,231
Nivel_1,21 Cuerpos de Agua,2004,232
Nivel_1,21 Cuerpos de Agua,2005,883
Nivel_1,21 Cuerpos de Agua,2006,548
Nivel_1,21 Cuerpos de Agua,2007,382
Nivel_1,21 Cuerpos de Agua,2008,375
Nivel_1,21 Cuerpos de Agua,2009,375
Nivel_1,21 Cuerpos de Agua,2010,375
Nivel_1,21 Cuerpos de Agua,2011,374
Nivel_1,21 Cuerpos de Agua,2012,947
Nivel_1,21 Cuerpos de Agua,2013,380
Nivel_1,21 Cuerpos de Agua,2014,381
Nivel_1,21 Cuerpos de Agua,2015,400
Nivel_1,21 Cuerpos de Agua,2016,1102
Nivel_1,21 Cuerpos de Agua,2017,827
Nivel_1,21 Cuerpos de Agua,2018,2409
Nivel_1,21 Cuerpos de Agua,2019,167
Nivel_1,21 Cuerpos de Agua,2020,165
Nivel_1,21 Cuerpos de Agua,2021,247
Nivel_1,21 Cuerpos de Agua,2022,169
Nivel_1,22 Humedales,2000,1079
Nivel_1,22 Humedales,2001,1080
Nivel_1,22 Humedales,2002,1080
Nivel_1,22 Humedales,2003,1079
Nivel_1,22 Humedales,2004,1077
Nivel_1,22 Humedales,2005,1840
Nivel_1,22 Humedales,2006,1649
Nivel_1,22 Humedales,2007,1559
Nivel_1,22 Humedales,2008,1554
Nivel_1,22 Humedales,2009,1554
Nivel_1,22 Humedales,2010,1550
Nivel_1,22 Humedales,2011,1549
Nivel_1,22 Humedales,2012,1805
Nivel_1,22 Humedales,2013,1549
Nivel_1,22 Humedales,2014,1548
Nivel_1,22 Humedales,2015,1767
Nivel_1,22 Humedales,2016,2003
Nivel_1,22 Humedales,2017,2089
Nivel_1,22 Humedales,2018,1643
Nivel_1,22 Humedales,2019,500
Nivel_1,22 Humedales,2020,474
Nivel_1,22 Humedales,2021,4380
Nivel_1,22 Humedales,2022,474
Nivel_1,31 Cultivos intensivos No-Arbóreos,2000,131654
Nivel_1,31 Cultivos intensivos No-Arbóreos,2001,3988
Nivel_1,31 Cultivos intensivos No-Arbóreos,2002,1016
Nivel_1,31 Cultivos intensivos No-Arbóreos,2003,1032
Nivel_1,31 Cultivos intensivos No-Arbóreos,2004,1046
Nivel_1,31 Cultivos intensivos No-Arbóreos,2005,2750
Nivel_1,31 Cultivos intensivos No-Arbóreos,2006,1718
Nivel_1,31 Cultivos intensivos No-Arbóreos,2007,1371
Nivel_1,31 Cultivos intensivos No-Arbóreos,2008,1394
Nivel_1,31 Cultivos intensivos No-Arbóreos,2009,1424
Nivel_1,31 Cultivos intensivos No-Arbóreos,2010,1455
Nivel_1,31 Cultivos intensivos No-Arbóreos,2011,1522
Nivel_1,31 Cultivos intensivos No-Arbóreos,2012,6679
Nivel_1,31 Cultivos intensivos No-Arbóreos,2013,1665
Nivel_1,31 Cultivos intensivos No-Arbóreos,2014,1719
Nivel_1,31 Cultivos intensivos No-Arbóreos,2015,2100
Nivel_1,31 Cultivos intensivos No-Arbóreos,2016,4141
Nivel_1,31 Cultivos intensivos No-Arbóreos,2017,2660
Nivel_1,31 Cultivos intensivos No-Arbóreos,2018,184550
Nivel_1,31 Cultivos intensivos No-Arbóreos,2019,22769
Nivel_1,31 Cultivos intensivos No-Arbóreos,2020,98308
Nivel_1,31 Cultivos intensivos No-Arbóreos,2021,24913
Nivel_1,31 Cultivos intensivos No-Arbóreos,2022,389
Nivel_1,32 Cultivos Arbóreos,2000,61772
Nivel_1,32 Cultivos Arbóreos,2001,20039
Nivel_1,32 Cultivos Arbóreos,2005,2569
Nivel_1,32 Cultivos Arbóreos,2006,1294
Nivel_1,32 Cultivos Arbóreos,2007,654
Nivel_1,32 Cultivos Arbóreos,2008,663
Nivel_1,32 Cultivos Arbóreos,2009,669
Nivel_1,32 Cultivos Arbóreos,2010,673
Nivel_1,32 Cultivos Arbóreos,2011,689
Nivel_1,32 Cultivos Arbóreos,2012,34890
Nivel_1,32 Cultivos Arbóreos,2013,739
Nivel_1,32 Cultivos Arbóreos,2014,792
Nivel_1,32 Cultivos Arbóreos,2015,802
Nivel_1,32 Cultivos Arbóreos,2016,2842
Nivel_1,32 Cultivos Arbóreos,2017,3371
Nivel_1,32 Cultivos Arbóreos,2018,162218
Nivel_1,32 Cultivos Arbóreos,2019,927
Nivel_1,32 Cultivos Arbóreos,2020,109903
Nivel_1,32 Cultivos Arbóreos,2021,888
Nivel_1,32 Cultivos Arbóreos,2022,876
Nivel_1,"33 Cultivos extensivos, Pastizales y matorrales",2000,124487
Nivel_1,"33 Cultivos extensivos, Pastizales y matorrales",2001,26129
Nivel_1,"33 Cultivos extensivos, Pastizales y matorrales",2002,3360
Nivel_1,"33 Cultivos extensivos, Pastizales y matorrales",2003,3415
Nivel_1,"33 Cultivos extensivos, Pastizales y matorrales",2004,3443
Nivel_1,"33 Cultivos extensivos, Pastizales y matorrales",2005,44468
Nivel_1,"33 Cultivos extensivos, Pastizales y matorrales",2006,15165
Nivel_1,"33 Cultivos extensivos, Pastizales y matorrales",2007,9463
Nivel_1,"33 Cultivos extensivos, Pastizales y matorrales",2008,9380
Nivel_1,"33 Cultivos extensivos, Pastizales y matorrales",2009,9448
Nivel_1,"33 Cultivos extensivos, Pastizales y matorrales",2010,9494
Nivel_1,"33 Cultivos extensivos, Pastizales y matorrales",2011,9628
Nivel_1,"33 Cultivos extensivos, Pastizales y matorrales",2012,46618
Nivel_1,"33 Cultivos extensivos, Pastizales y matorrales",2013,9736
Nivel_1,"33 Cultivos extensivos, Pastizales y matorrales",2014,9746
Nivel_1,"33 Cultivos extensivos, Pastizales y matorrales",2015,10780
Nivel_1,"33 Cultivos extensivos, Pastizales y matorrales",2016,39039
Nivel_1,"33 Cultivos extensivos, Pastizales y matorrales",2017,32630
Nivel_1,"33 Cultivos extensivos, Pastizales y matorrales",2018,159245
Nivel_1,"33 Cultivos extensivos, Pastizales y matorrales",2019,6610
Nivel_1,"33 Cultivos extensivos, Pastizales y matorrales",2020,6256
Nivel_1,"33 Cultivos extensivos, Pastizales y matorrales",2021,39212
Nivel_1,"33 Cultivos extensivos, Pastizales y matorrales",2022,6423
Nivel_1,41 Bosque latifoliado y mixto ,2000,165280
Nivel_1,41 Bosque latifoliado y mixto ,2001,26987
Nivel_1,41 Bosque latifoliado y mixto ,2002,12900
Nivel_1,41 Bosque latifoliado y mixto ,2003,12848
Nivel_1,41 Bosque latifoliado y mixto ,2004,12744
Nivel_1,41 Bosque latifoliado y mixto ,2005,43958
Nivel_1,41 Bosque latifoliado y mixto ,2006,24305
Nivel_1,41 Bosque latifoliado y mixto ,2007,20383
Nivel_1,41 Bosque latifoliado y mixto ,2008,20189
Nivel_1,41 Bosque latifoliado y mixto ,2009,20076
Nivel_1,41 Bosque latifoliado y mixto ,2010,19976
Nivel_1,41 Bosque latifoliado y mixto ,2011,19734
Nivel_1,41 Bosque latifoliado y mixto ,2012,40980
Nivel_1,41 Bosque latifoliado y mixto ,2013,19429
Nivel_1,41 Bosque latifoliado y mixto ,2014,19523
Nivel_1,41 Bosque latifoliado y mixto ,2015,21343
Nivel_1,41 Bosque latifoliado y mixto ,2016,52246
Nivel_1,41 Bosque latifoliado y mixto ,2017,39232
Nivel_1,41 Bosque latifoliado y mixto ,2018,185494
Nivel_1,41 Bosque latifoliado y mixto ,2019,8158
Nivel_1,41 Bosque latifoliado y mixto ,2020,7009
Nivel_1,41 Bosque latifoliado y mixto ,2021,67614
Nivel_1,41 Bosque latifoliado y mixto ,2022,6856
Nivel_1,42 Bosque de coníferas,2000,10261
Nivel_1,42 Bosque de coníferas,2001,1859
Nivel_1,42 Bosque de coníferas,2002,1710
Nivel_1,42 Bosque de coníferas,2003,1743
Nivel_1,42 Bosque de coníferas,2004,1719
Nivel_1,42 Bosque de coníferas,2005,4933
Nivel_1,42 Bosque de coníferas,2006,4928
Nivel_1,42 Bosque de coníferas,2007,4897
Nivel_1,42 Bosque de coníferas,2008,4876
Nivel_1,42 Bosque de coníferas,2009,4876
Nivel_1,42 Bosque de coníferas,2010,4870
Nivel_1,42 Bosque de coníferas,2011,4863
Nivel_1,42 Bosque de coníferas,2012,5028
Nivel_1,42 Bosque de coníferas,2013,4842
Nivel_1,42 Bosque de coníferas,2014,4827
Nivel_1,42 Bosque de coníferas,2015,4826
Nivel_1,42 Bosque de coníferas,2016,4843
Nivel_1,42 Bosque de coníferas,2017,8875
Nivel_1,42 Bosque de coníferas,2018,13512
Nivel_1,42 Bosque de coníferas,2019,3014
Nivel_1,42 Bosque de coníferas,2020,2986
Nivel_1,42 Bosque de coníferas,2021,2973
Nivel_1,42 Bosque de coníferas,2022,2960
Nivel_1,43 Manglares,2000,10883
Nivel_1,43 Manglares,2001,1421
Nivel_1,43 Manglares,2002,627
Nivel_1,43 Manglares,2003,627
Nivel_1,43 Manglares,2004,629
Nivel_1,43 Manglares,2005,728
Nivel_1,43 Manglares,2006,755
Nivel_1,43 Manglares,2007,727
Nivel_1,43 Manglares,2008,728
Nivel_1,43 Manglares,2009,728
Nivel_1,43 Manglares,2010,728
Nivel_1,43 Manglares,2011,729
Nivel_1,43 Manglares,2012,1468
Nivel_1,43 Manglares,2013,726
Nivel_1,43 Manglares,2014,740
Nivel_1,43 Manglares,2015,1062
Nivel_1,43 Manglares,2016,816
Nivel_1,43 Manglares,2017,3110
Nivel_1,43 Manglares,2018,11782
Nivel_1,43 Manglares,2019,129
Nivel_1,43 Manglares,2020,98
Nivel_1,43 Manglares,2021,207
Nivel_1,43 Manglares,2022,98
Nivel_1,44 Otros arbóreo en tierras no agrícola,2000,2730
Nivel_1,44 Otros arbóreo en tierras no agrícola,2001,2041
Nivel_1,44 Otros arbóreo en tierras no agrícola,2002,612
Nivel_1,44 Otros arbóreo en tierras no agrícola,2003,620
Nivel_1,44 Otros arbóreo en tierras no agrícola,2004,618
Nivel_1,44 Otros arbóreo en tierras no agrícola,2005,33672
Nivel_1,44 Otros arbóreo en tierras no agrícola,2006,610
Nivel_1,44 Otros arbóreo en tierras no agrícola,2007,656
Nivel_1,44 Otros arbóreo en tierras no agrícola,2008,607
Nivel_1,44 Otros arbóreo en tierras no agrícola,2009,608
Nivel_1,44 Otros arbóreo en tierras no agrícola,2010,627
Nivel_1,44 Otros arbóreo en tierras no agrícola,2011,651
Nivel_1,44 Otros arbóreo en tierras no agrícola,2012,20637
Nivel_1,44 Otros arbóreo en tierras no agrícola,2013,659
Nivel_1,44 Otros arbóreo en tierras no agrícola,2014,789
Nivel_1,44 Otros arbóreo en tierras no agrícola,2015,675
Nivel_1,44 Otros arbóreo en tierras no agrícola,2016,20185
Nivel_1,44 Otros arbóreo en tierras no agrícola,2017,7008
Nivel_1,44 Otros arbóreo en tierras no agrícola,2018,6306
Nivel_1,44 Otros arbóreo en tierras no agrícola,2019,24
Nivel_1,44 Otros arbóreo en tierras no agrícola,2021,947
Nivel_1,91 Otras,2000,10
Nivel_1,91 Otras,2001,9
Nivel_1,91 Otras,2005,1909
Nivel_1,91 Otras,2012,59640
Nivel_1,91 Otras,2015,1
Nivel_1,91 Otras,2016,4617
Nivel_1,91 Otras,2017,672
Nivel_1,91 Otras,2018,394
Nivel_1,91 Otras,2019,5
Nivel_1,91 Otras,2021,5753
