group_field,grupo,anio,n
Fuente,ACP-CCAD/GIZ - Inventario Forestal Complemento Piloto Panamá,2016,73
Fuente,ACP-CCAD/GIZ - Inventario Forestal Piloto Panamá,2014,37
Fuente,ACP-CCAD/GIZ - Inventario de Bosque Natural Piloto Panamá,2015,49
Fuente,ACP-CCAD/GIZ - Inventario de Matorrales Piloto Panamá,2016,10
Fuente,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto El Salvador,2019,112
Fuente,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,2019,250
Fuente,CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,2005,105595
Fuente,CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,2012,105595
Fuente,CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,2016,85260
Fuente,CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,2017,15680
Fuente,CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,2018,4655
Fuente,CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,2001,65792
Fuente,CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,2012,65792
Fuente,CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,2018,65792
Fuente,CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,2018,2145
Fuente,CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,2019,122
Fuente,CENAT/PRIAS - Cultivos - Costa Rica,2019,22224
Fuente,"CONAFOR -Inventario Forestal Estado Campeche, México",2015,1163
Fuente,"CONAFOR -Inventario Forestal Estado Campeche, México",2016,735
Fuente,"CONAFOR -Inventario Forestal Estado Campeche, México",2017,348
Fuente,"CONAFOR -Inventario Forestal Estado Campeche, México",2018,128
Fuente,"CONAFOR -Inventario Forestal Estado Campeche, México",2019,319
Fuente,"CONAFOR -Inventario Forestal Estado Chiapas, , México",2015,822
Fuente,"CONAFOR -Inventario Forestal Estado Chiapas, , México",2016,485
Fuente,"CONAFOR -Inventario Forestal Estado Chiapas, , México",2017,4
Fuente,"CONAFOR -Inventario Forestal Estado Chiapas, , México",2018,337
Fuente,"CONAFOR -Inventario Forestal Estado Chiapas, , México",2019,170
Fuente,"CONAFOR -Inventario Forestal Estado Quintana Roo, México",2015,1047
Fuente,"CONAFOR -Inventario Forestal Estado Quintana Roo, México",2016,979
Fuente,"CONAFOR -Inventario Forestal Estado Quintana Roo, México",2017,414
Fuente,"CONAFOR -Inventario Forestal Estado Quintana Roo, México",2018,158
Fuente,"CONAFOR -Inventario Forestal Estado Quintana Roo, México",2019,552
Fuente,"CONAFOR -Inventario Forestal Estado Tabasco, México",2015,220
Fuente,"CONAFOR -Inventario Forestal Estado Tabasco, México",2016,51
Fuente,"CONAFOR -Inventario Forestal Estado Tabasco, México",2018,51
Fuente,"CONAFOR -Inventario Forestal Estado Tabasco, México",2019,12
Fuente,"CONAFOR -Inventario Forestal Estado Yucatán, México",2015,734
Fuente,"CONAFOR -Inventario Forestal Estado Yucatán, México",2016,568
Fuente,"CONAFOR -Inventario Forestal Estado Yucatán, México",2017,240
Fuente,"CONAFOR -Inventario Forestal Estado Yucatán, México",2018,84
Fuente,"CONAFOR -Inventario Forestal Estado Yucatán, México",2019,348
Fuente,FAO - Evaluación Nacional Forestal  Nicaragua,2007,320
Fuente,FAO - Evaluación Nacional Forestal Costa Rica,2001,35
Fuente,FAO - Evaluación Nacional Forestal Guatemala,2002,42
Fuente,FAO - Evaluación Nacional Forestal Guatemala,2003,58
Fuente,FAO - Evaluación Nacional Forestal Honduras,2005,153
Fuente,FCPF - Malla MRV-REDD+ Belize ,2000,21738
Fuente,FCPF - Malla MRV-REDD+ Belize ,2001,21738
Fuente,FCPF - Malla MRV-REDD+ Belize ,2002,21738
Fuente,FCPF - Malla MRV-REDD+ Belize ,2003,21738
Fuente,FCPF - Malla MRV-REDD+ Belize ,2004,21738
Fuente,FCPF - Malla MRV-REDD+ Belize ,2005,21738
Fuente,FCPF - Malla MRV-REDD+ Belize ,2006,21738
Fuente,FCPF - Malla MRV-REDD+ Belize ,2007,21738
Fuente,FCPF - Malla MRV-REDD+ Belize ,2008,21738
Fuente,FCPF - Malla MRV-REDD+ Belize ,2009,21738
Fuente,FCPF - Malla MRV-REDD+ Belize ,2010,21738
Fuente,FCPF - Malla MRV-REDD+ Belize ,2011,21738
Fuente,FCPF - Malla MRV-REDD+ Belize ,2012,21738
Fuente,FCPF - Malla MRV-REDD+ Belize ,2013,21738
Fuente,FCPF - Malla MRV-REDD+ Belize ,2014,21738
Fuente,FCPF - Malla MRV-REDD+ Belize ,2015,21738
Fuente,FCPF - Malla MRV-REDD+ Belize ,2016,21738
