grupo,clase,n
ACP-CCAD/GIZ - Inventario Forestal Complemento Piloto Panamá,32 Cultivos Arbóreos,49
ACP-CCAD/GIZ - Inventario Forestal Complemento Piloto Panamá,44 Otros arbóreo en tierras no agrícola,16
ACP-CCAD/GIZ - Inventario Forestal Complemento Piloto Panamá,41 Bosque latifoliado y mixto,8
ACP-CCAD/GIZ - Inventario Forestal Piloto Panamá,32 Cultivos Arbóreos,17
ACP-CCAD/GIZ - Inventario Forestal Piloto Panamá,44 Otros arbóreo en tierras no agrícola,10
ACP-CCAD/GIZ - Inventario Forestal Piloto Panamá,41 Bosque latifoliado y mixto,10
ACP-CCAD/GIZ - Inventario de Bosque Natural Piloto Panamá,41 Bosque latifoliado y mixto,49
ACP-CCAD/GIZ - Inventario de Matorrales Piloto Panamá,"33 Cultivos extensivos, Pastizales y matorrales",10
CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto El Salvador,"33 Cultivos extensivos, Pastizales y matorrales",40
CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto El Salvador,32 Cultivos Arbóreos,25
CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto El Salvador,11 Urbano,19
CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto El Salvador,44 Otros arbóreo en tierras no agrícola,8
CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto El Salvador,31 Cultivos intensivos No-Arbóreos,8
CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto El Salvador,41 Bosque latifoliado y mixto,7
CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto El Salvador,91 Otras,5
CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,"33 Cultivos extensivos, Pastizales y matorrales",72
CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,31 Cultivos intensivos No-Arbóreos,60
CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,43 Manglares,25
CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,11 Urbano,25
CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,32 Cultivos Arbóreos,22
