anio,clase,n
2000,410 Bosque latifoliado y mixto,152254
2000,315 Otros cultivos intensivos no arbóreos,108209
2000,332 Pastizales naturales y cultivados,79742
2000,333 Matorrales (barbecho o en descanso),44638
2000,321 Café,36394
2000,313 Caña de azúcar,23445
2000,325 Otros sistemas agroforestales o silvopastoriles,20820
2000,112 Urbano discontinuo,13439
2000,430 Manglares,10883
2000,411 Latifoliado maduro húmedo,9929
2000,420 Bosque de coníferas,8754
2000,111 Urbano continuo,8104
2000,323 Frutales,4558
2000,412 Latifoliado secundario húmedo,3097
2000,121 Otros artificializado,2572
2000,442 Plantaciones forestales,2226
2000,210 Cuerpos de Agua,1939
2000,"122 Suelo desnudo, arena, rocoso, lava, otros",1538
2000,423 Sabanas de pino,1507
2000,220 Humedales,1079
2000,444 Regeneración forestal,429
2000,110 Urbano,193
2000,331 Granos básicos y hortalizas  y otros,107
2000,443  Árboles fuera de bosque y otras áreas naturales,75
2000,212 Cuerpos de agua artificial,33
2000,910 Otras,10
2001,321 Café,19178
2001,410 Bosque latifoliado y mixto,13991
2001,332 Pastizales naturales y cultivados,11156
2001,411 Latifoliado maduro húmedo,9911
2001,331 Granos básicos y hortalizas  y otros,7663
2001,333 Matorrales (barbecho o en descanso),7310
2001,412 Latifoliado secundario húmedo,3083
2001,313 Caña de azúcar,2985
2001,423 Sabanas de pino,1501
2001,111 Urbano continuo,1446
2001,430 Manglares,1421
2001,443  Árboles fuera de bosque y otras áreas naturales,1325
2001,220 Humedales,1080
2001,112 Urbano discontinuo,1034
2001,315 Otros cultivos intensivos no arbóreos,1003
2001,"122 Suelo desnudo, arena, rocoso, lava, otros",885
2001,444 Regeneración forestal,434
2001,323 Frutales,433
2001,325 Otros sistemas agroforestales o silvopastoriles,428
2001,210 Cuerpos de Agua,371
2001,420 Bosque de coníferas,358
2001,441 Masa arbórea ribereña,272
2001,110 Urbano,195
2001,212 Cuerpos de agua artificial,49
2001,121 Otros artificializado,32
2001,442 Plantaciones forestales,10
2001,910 Otras,9
2001,414 Bosque seco o deciduo,2
2002,411 Latifoliado maduro húmedo,9811
2002,412 Latifoliado secundario húmedo,3054
2002,333 Matorrales (barbecho o en descanso),2257
2002,423 Sabanas de pino,1499
2002,220 Humedales,1080
2002,315 Otros cultivos intensivos no arbóreos,1016
2002,332 Pastizales naturales y cultivados,988
2002,430 Manglares,627
2002,444 Regeneración forestal,496
2002,420 Bosque de coníferas,208
2002,110 Urbano,199
2002,210 Cuerpos de Agua,185
2002,331 Granos básicos y hortalizas  y otros,115
2002,443  Árboles fuera de bosque y otras áreas naturales,106
2002,212 Cuerpos de agua artificial,43
2002,410 Bosque latifoliado y mixto,35
2002,121 Otros artificializado,33
2002,"122 Suelo desnudo, arena, rocoso, lava, otros",15
2002,442 Plantaciones forestales,10
2002,422 Coníferas ralo,3
2003,411 Latifoliado maduro húmedo,9781
2003,412 Latifoliado secundario húmedo,3013
2003,333 Matorrales (barbecho o en descanso),2284
2003,423 Sabanas de pino,1498
2003,220 Humedales,1079
2003,315 Otros cultivos intensivos no arbóreos,1032
2003,332 Pastizales naturales y cultivados,1017
2003,430 Manglares,627
2003,444 Regeneración forestal,497
2003,420 Bosque de coníferas,242
2003,110 Urbano,199
2003,210 Cuerpos de Agua,186
2003,331 Granos básicos y hortalizas  y otros,114
2003,443  Árboles fuera de bosque y otras áreas naturales,102
2003,410 Bosque latifoliado y mixto,54
2003,212 Cuerpos de agua artificial,45
2003,121 Otros artificializado,33
2003,442 Plantaciones forestales,21
2003,"122 Suelo desnudo, arena, rocoso, lava, otros",15
2003,422 Coníferas ralo,3
2004,411 Latifoliado maduro húmedo,9755
2004,412 Latifoliado secundario húmedo,2989
2004,333 Matorrales (barbecho o en descanso),2297
2004,423 Sabanas de pino,1498
2004,220 Humedales,1077
2004,315 Otros cultivos intensivos no arbóreos,1046
2004,332 Pastizales naturales y cultivados,1033
2004,430 Manglares,629
2004,444 Regeneración forestal,497
2004,420 Bosque de coníferas,221
2004,110 Urbano,205
2004,210 Cuerpos de Agua,186
2004,331 Granos básicos y hortalizas  y otros,113
2004,443  Árboles fuera de bosque y otras áreas naturales,102
2004,212 Cuerpos de agua artificial,46
2004,121 Otros artificializado,34
2004,442 Plantaciones forestales,19
2004,"122 Suelo desnudo, arena, rocoso, lava, otros",15
2005,411 Latifoliado maduro húmedo,33207
2005,443  Árboles fuera de bosque y otras áreas naturales,32761
2005,332 Pastizales naturales y cultivados,31440
2005,331 Granos básicos y hortalizas  y otros,8233
2005,110 Urbano,7835
2005,410 Bosque latifoliado y mixto,5202
2005,333 Matorrales (barbecho o en descanso),4795
2005,420 Bosque de coníferas,3396
2005,412 Latifoliado secundario húmedo,2973
2005,321 Café,1995
2005,910 Otras,1909
2005,220 Humedales,1840
2005,311 Palma aceitera,1694
2005,414 Bosque seco o deciduo,1673
2005,423 Sabanas de pino,1498
2005,315 Otros cultivos intensivos no arbóreos,1056
2005,413 Bosque Mixto (Lat-Coniferas),903
2005,210 Cuerpos de Agua,837
2005,430 Manglares,728
2005,444 Regeneración forestal,496
2005,"122 Suelo desnudo, arena, rocoso, lava, otros",433
2005,442 Plantaciones forestales,415
2005,325 Otros sistemas agroforestales o silvopastoriles,317
2005,323 Frutales,255
2005,212 Cuerpos de agua artificial,46
2005,422 Coníferas ralo,39
2005,121 Otros artificializado,36
2005,322 Cacao,2
2006,411 Latifoliado maduro húmedo,9709
2006,410 Bosque latifoliado y mixto,8649
2006,333 Matorrales (barbecho o en descanso),7525
2006,332 Pastizales naturales y cultivados,5367
2006,420 Bosque de coníferas,3437
2006,412 Latifoliado secundario húmedo,2932
2006,331 Granos básicos y hortalizas  y otros,2273
2006,414 Bosque seco o deciduo,1670
2006,220 Humedales,1649
2006,423 Sabanas de pino,1491
2006,413 Bosque Mixto (Lat-Coniferas),1345
2006,315 Otros cultivos intensivos no arbóreos,1081
2006,325 Otros sistemas agroforestales o silvopastoriles,847
2006,430 Manglares,755
2006,444 Regeneración forestal,494
2006,110 Urbano,418
2006,210 Cuerpos de Agua,339
2006,321 Café,337
2006,311 Palma aceitera,313
2006,313 Caña de azúcar,282
2006,211 Cuerpos de agua natural,161
2006,443  Árboles fuera de bosque y otras áreas naturales,106
2006,"122 Suelo desnudo, arena, rocoso, lava, otros",79
2006,112 Urbano discontinuo,78
2006,324 Hule,76
2006,111 Urbano continuo,65
2006,212 Cuerpos de agua artificial,48
2006,312 Bananeras,42
2006,121 Otros artificializado,37
2006,323 Frutales,31
2006,442 Plantaciones forestales,10
2006,322 Cacao,3
2007,411 Latifoliado maduro húmedo,9673
2007,410 Bosque latifoliado y mixto,5238
2007,333 Matorrales (barbecho o en descanso),4859
2007,420 Bosque de coníferas,3390
2007,332 Pastizales naturales y cultivados,3390
2007,412 Latifoliado secundario húmedo,2902
2007,414 Bosque seco o deciduo,1666
2007,220 Humedales,1559
2007,423 Sabanas de pino,1500
2007,331 Granos básicos y hortalizas  y otros,1214
2007,315 Otros cultivos intensivos no arbóreos,1105
2007,413 Bosque Mixto (Lat-Coniferas),904
2007,430 Manglares,727
2007,444 Regeneración forestal,493
2007,110 Urbano,427
2007,210 Cuerpos de Agua,343
2007,325 Otros sistemas agroforestales o silvopastoriles,321
2007,321 Café,300
2007,311 Palma aceitera,266
2007,443  Árboles fuera de bosque y otras áreas naturales,151
2007,212 Cuerpos de agua artificial,39
2007,121 Otros artificializado,39
2007,323 Frutales,30
2007,"122 Suelo desnudo, arena, rocoso, lava, otros",28
2007,442 Plantaciones forestales,10
2007,422 Coníferas ralo,7
2007,322 Cacao,3
2007,445 Bosque de Palmas,2
2008,411 Latifoliado maduro húmedo,9648
2008,410 Bosque latifoliado y mixto,5115
2008,333 Matorrales (barbecho o en descanso),4841
2008,420 Bosque de coníferas,3384
2008,332 Pastizales naturales y cultivados,3315
2008,412 Latifoliado secundario húmedo,2865
2008,414 Bosque seco o deciduo,1662
2008,220 Humedales,1554
2008,423 Sabanas de pino,1492
2008,331 Granos básicos y hortalizas  y otros,1224
2008,315 Otros cultivos intensivos no arbóreos,1120
2008,413 Bosque Mixto (Lat-Coniferas),899
2008,430 Manglares,728
2008,444 Regeneración forestal,494
2008,110 Urbano,433
2008,210 Cuerpos de Agua,342
2008,325 Otros sistemas agroforestales o silvopastoriles,324
2008,321 Café,306
2008,311 Palma aceitera,274
2008,443  Árboles fuera de bosque y otras áreas naturales,103
2008,121 Otros artificializado,40
2008,212 Cuerpos de agua artificial,33
2008,323 Frutales,30
2008,"122 Suelo desnudo, arena, rocoso, lava, otros",27
2008,442 Plantaciones forestales,10
2008,322 Cacao,3
2009,411 Latifoliado maduro húmedo,9607
2009,410 Bosque latifoliado y mixto,5089
2009,333 Matorrales (barbecho o en descanso),4865
2009,420 Bosque de coníferas,3385
2009,332 Pastizales naturales y cultivados,3354
2009,412 Latifoliado secundario húmedo,2825
2009,414 Bosque seco o deciduo,1659
2009,220 Humedales,1554
2009,423 Sabanas de pino,1491
2009,331 Granos básicos y hortalizas  y otros,1229
2009,315 Otros cultivos intensivos no arbóreos,1146
2009,413 Bosque Mixto (Lat-Coniferas),896
2009,430 Manglares,728
2009,444 Regeneración forestal,494
2009,110 Urbano,439
2009,210 Cuerpos de Agua,342
2009,325 Otros sistemas agroforestales o silvopastoriles,325
2009,321 Café,311
2009,311 Palma aceitera,278
2009,443  Árboles fuera de bosque y otras áreas naturales,103
2009,121 Otros artificializado,41
2009,212 Cuerpos de agua artificial,33
2009,323 Frutales,30
2009,"122 Suelo desnudo, arena, rocoso, lava, otros",28
2009,442 Plantaciones forestales,11
2009,322 Cacao,3
2010,411 Latifoliado maduro húmedo,9560
2010,410 Bosque latifoliado y mixto,5051
2010,333 Matorrales (barbecho o en descanso),4885
2010,420 Bosque de coníferas,3381
2010,332 Pastizales naturales y cultivados,3376
2010,412 Latifoliado secundario húmedo,2805
2010,414 Bosque seco o deciduo,1666
2010,220 Humedales,1550
2010,423 Sabanas de pino,1489
2010,331 Granos básicos y hortalizas  y otros,1233
2010,315 Otros cultivos intensivos no arbóreos,1165
2010,413 Bosque Mixto (Lat-Coniferas),894
2010,430 Manglares,728
2010,444 Regeneración forestal,513
2010,110 Urbano,447
2010,210 Cuerpos de Agua,343
2010,325 Otros sistemas agroforestales o silvopastoriles,328
2010,321 Café,310
2010,311 Palma aceitera,290
2010,443  Árboles fuera de bosque y otras áreas naturales,104
2010,121 Otros artificializado,42
2010,323 Frutales,32
2010,212 Cuerpos de agua artificial,32
2010,"122 Suelo desnudo, arena, rocoso, lava, otros",29
2010,442 Plantaciones forestales,10
2010,322 Cacao,3
2011,411 Latifoliado maduro húmedo,9393
2011,410 Bosque latifoliado y mixto,5021
2011,333 Matorrales (barbecho o en descanso),4952
2011,332 Pastizales naturales y cultivados,3433
2011,420 Bosque de coníferas,3374
2011,412 Latifoliado secundario húmedo,2756
2011,414 Bosque seco o deciduo,1668
2011,220 Humedales,1549
2011,423 Sabanas de pino,1489
2011,331 Granos básicos y hortalizas  y otros,1243
2011,315 Otros cultivos intensivos no arbóreos,1227
2011,413 Bosque Mixto (Lat-Coniferas),896
2011,430 Manglares,729
2011,444 Regeneración forestal,537
2011,110 Urbano,455
2011,210 Cuerpos de Agua,343
2011,325 Otros sistemas agroforestales o silvopastoriles,330
2011,321 Café,321
2011,311 Palma aceitera,295
2011,443  Árboles fuera de bosque y otras áreas naturales,104
2011,121 Otros artificializado,43
2011,323 Frutales,34
2011,212 Cuerpos de agua artificial,31
2011,"122 Suelo desnudo, arena, rocoso, lava, otros",29
2011,442 Plantaciones forestales,10
2011,322 Cacao,4
2012,910 Otras,59640
2012,321 Café,32716
2012,332 Pastizales naturales y cultivados,22017
2012,443  Árboles fuera de bosque y otras áreas naturales,19538
2012,411 Latifoliado maduro húmedo,19525
2012,331 Granos básicos y hortalizas  y otros,17426
2012,410 Bosque latifoliado y mixto,16187
2012,333 Matorrales (barbecho o en descanso),7175
2012,313 Caña de azúcar,4337
2012,110 Urbano,3838
2012,420 Bosque de coníferas,3541
2012,412 Latifoliado secundario húmedo,2714
2012,111 Urbano continuo,2004
2012,220 Humedales,1805
2012,414 Bosque seco o deciduo,1662
2012,112 Urbano discontinuo,1605
2012,423 Sabanas de pino,1487
2012,430 Manglares,1468
2012,323 Frutales,1296
2012,315 Otros cultivos intensivos no arbóreos,1274
2012,"122 Suelo desnudo, arena, rocoso, lava, otros",1071
2012,311 Palma aceitera,1068
2012,413 Bosque Mixto (Lat-Coniferas),892
2012,325 Otros sistemas agroforestales o silvopastoriles,874
2012,210 Cuerpos de Agua,867
2012,444 Regeneración forestal,544
2012,441 Masa arbórea ribereña,306
2012,442 Plantaciones forestales,249
2012,212 Cuerpos de agua artificial,80
2012,121 Otros artificializado,44
2012,322 Cacao,4
2013,411 Latifoliado maduro húmedo,9264
2013,333 Matorrales (barbecho o en descanso),4955
2013,410 Bosque latifoliado y mixto,4954
2013,332 Pastizales naturales y cultivados,3510
2013,420 Bosque de coníferas,3364
2013,412 Latifoliado secundario húmedo,2648
2013,414 Bosque seco o deciduo,1675
2013,220 Humedales,1549
2013,423 Sabanas de pino,1478
2013,315 Otros cultivos intensivos no arbóreos,1348
2013,331 Granos básicos y hortalizas  y otros,1271
2013,413 Bosque Mixto (Lat-Coniferas),888
2013,430 Manglares,726
2013,444 Regeneración forestal,543
2013,110 Urbano,468
2013,321 Café,353
2013,325 Otros sistemas agroforestales o silvopastoriles,349
2013,210 Cuerpos de Agua,344
2013,311 Palma aceitera,317
2013,443  Árboles fuera de bosque y otras áreas naturales,106
2013,121 Otros artificializado,46
2013,212 Cuerpos de agua artificial,36
2013,323 Frutales,33
2013,"122 Suelo desnudo, arena, rocoso, lava, otros",27
2013,442 Plantaciones forestales,10
2013,322 Cacao,4
2014,411 Latifoliado maduro húmedo,9288
2014,410 Bosque latifoliado y mixto,4993
2014,333 Matorrales (barbecho o en descanso),4934
2014,332 Pastizales naturales y cultivados,3540
2014,420 Bosque de coníferas,3356
2014,412 Latifoliado secundario húmedo,2671
2014,414 Bosque seco o deciduo,1684
2014,220 Humedales,1548
2014,423 Sabanas de pino,1471
2014,315 Otros cultivos intensivos no arbóreos,1380
2014,331 Granos básicos y hortalizas  y otros,1272
2014,413 Bosque Mixto (Lat-Coniferas),887
2014,430 Manglares,740
2014,444 Regeneración forestal,544
2014,110 Urbano,477
2014,325 Otros sistemas agroforestales o silvopastoriles,385
2014,321 Café,369
2014,210 Cuerpos de Agua,344
2014,311 Palma aceitera,339
2014,443  Árboles fuera de bosque y otras áreas naturales,185
2014,121 Otros artificializado,46
2014,442 Plantaciones forestales,42
2014,212 Cuerpos de agua artificial,37
2014,323 Frutales,34
2014,"122 Suelo desnudo, arena, rocoso, lava, otros",28
2014,445 Bosque de Palmas,18
2014,322 Cacao,4
2015,411 Latifoliado maduro húmedo,9189
2015,410 Bosque latifoliado y mixto,6676
2015,333 Matorrales (barbecho o en descanso),5431
2015,332 Pastizales naturales y cultivados,4080
2015,420 Bosque de coníferas,3359
2015,412 Latifoliado secundario húmedo,2665
2015,414 Bosque seco o deciduo,1854
2015,220 Humedales,1767
2015,315 Otros cultivos intensivos no arbóreos,1744
2015,423 Sabanas de pino,1466
2015,331 Granos básicos y hortalizas  y otros,1269
2015,430 Manglares,1062
2015,413 Bosque Mixto (Lat-Coniferas),959
2015,444 Regeneración forestal,543
2015,110 Urbano,510
2015,325 Otros sistemas agroforestales o silvopastoriles,386
2015,321 Café,378
2015,210 Cuerpos de Agua,361
2015,311 Palma aceitera,356
2015,443  Árboles fuera de bosque y otras áreas naturales,108
2015,121 Otros artificializado,47
2015,"122 Suelo desnudo, arena, rocoso, lava, otros",41
2015,212 Cuerpos de agua artificial,39
2015,323 Frutales,34
2015,442 Plantaciones forestales,15
2015,445 Bosque de Palmas,9
2015,322 Cacao,4
2015,910 Otras,1
2015,422 Coníferas ralo,1
2016,411 Latifoliado maduro húmedo,28230
2016,332 Pastizales naturales y cultivados,22258
2016,443  Árboles fuera de bosque y otras áreas naturales,19488
2016,412 Latifoliado secundario húmedo,10947
2016,410 Bosque latifoliado y mixto,9802
2016,331 Granos básicos y hortalizas  y otros,9065
2016,333 Matorrales (barbecho o en descanso),7716
2016,110 Urbano,7360
2016,910 Otras,4617
2016,420 Bosque de coníferas,3364
2016,311 Palma aceitera,2065
2016,220 Humedales,2003
2016,414 Bosque seco o deciduo,1855
2016,315 Otros cultivos intensivos no arbóreos,1652
2016,321 Café,1548
2016,423 Sabanas de pino,1479
2016,413 Bosque Mixto (Lat-Coniferas),1412
2016,325 Otros sistemas agroforestales o silvopastoriles,1026
2016,210 Cuerpos de Agua,905
2016,430 Manglares,816
2016,444 Regeneración forestal,541
2016,"122 Suelo desnudo, arena, rocoso, lava, otros",435
2016,313 Caña de azúcar,367
2016,211 Cuerpos de agua natural,154
2016,324 Hule,153
2016,442 Plantaciones forestales,152
2016,323 Frutales,111
2016,112 Urbano discontinuo,87
2016,111 Urbano continuo,76
2016,312 Bananeras,57
2016,121 Otros artificializado,48
2016,212 Cuerpos de agua artificial,43
2016,445 Bosque de Palmas,4
2016,322 Cacao,4
2017,332 Pastizales naturales y cultivados,18824
2017,410 Bosque latifoliado y mixto,16920
2017,411 Latifoliado maduro húmedo,13209
2017,331 Granos básicos y hortalizas  y otros,8079
2017,412 Latifoliado secundario húmedo,6457
2017,443  Árboles fuera de bosque y otras áreas naturales,6264
2017,333 Matorrales (barbecho o en descanso),5727
2017,420 Bosque de coníferas,3758
2017,110 Urbano,3572
2017,430 Manglares,2908
2017,321 Café,2711
2017,421 Coníferas denso,2593
2017,423 Sabanas de pino,2138
2017,220 Humedales,2089
2017,414 Bosque seco o deciduo,1764
2017,315 Otros cultivos intensivos no arbóreos,1571
2017,413 Bosque Mixto (Lat-Coniferas),882
2017,311 Palma aceitera,817
2017,910 Otras,672
2017,210 Cuerpos de Agua,663
2017,444 Regeneración forestal,542
2017,325 Otros sistemas agroforestales o silvopastoriles,403
2017,422 Coníferas ralo,386
2017,111 Urbano continuo,375
2017,313 Caña de azúcar,259
2017,323 Frutales,252
2017,442 Plantaciones forestales,201
2017,431 Manglar alto,194
2017,212 Cuerpos de agua artificial,110
2017,112 Urbano discontinuo,93
2017,"122 Suelo desnudo, arena, rocoso, lava, otros",82
2017,211 Cuerpos de agua natural,54
2017,121 Otros artificializado,50
2017,314 Piña,13
2017,432 Manglar bajo,8
2017,322 Cacao,4
2017,445 Bosque de Palmas,1
2017,324 Hule,1
2018,410 Bosque latifoliado y mixto,169735
2018,321 Café,132548
2018,315 Otros cultivos intensivos no arbóreos,101542
2018,332 Pastizales naturales y cultivados,89327
2018,333 Matorrales (barbecho o en descanso),55404
2018,313 Caña de azúcar,46711
2018,311 Palma aceitera,32715
2018,325 Otros sistemas agroforestales o silvopastoriles,23160
2018,112 Urbano discontinuo,17243
2018,331 Granos básicos y hortalizas  y otros,14514
2018,420 Bosque de coníferas,12051
2018,430 Manglares,11782
2018,111 Urbano continuo,10971
2018,411 Latifoliado maduro húmedo,9593
2018,323 Frutales,6506
2018,412 Latifoliado secundario húmedo,3511
2018,443  Árboles fuera de bosque y otras áreas naturales,3021
2018,312 Bananeras,2988
2018,121 Otros artificializado,2891
2018,442 Plantaciones forestales,2407
2018,210 Cuerpos de Agua,2318
2018,"122 Suelo desnudo, arena, rocoso, lava, otros",2141
2018,414 Bosque seco o deciduo,1735
2018,220 Humedales,1643
2018,423 Sabanas de pino,1461
2018,110 Urbano,947
2018,413 Bosque Mixto (Lat-Coniferas),920
2018,314 Piña,594
2018,444 Regeneración forestal,542
2018,910 Otras,394
2018,441 Masa arbórea ribereña,336
2018,212 Cuerpos de agua artificial,69
2018,211 Cuerpos de agua natural,22
2018,322 Cacao,4
2019,311 Palma aceitera,12243
2019,314 Piña,10376
2019,410 Bosque latifoliado y mixto,5462
2019,420 Bosque de coníferas,3014
2019,332 Pastizales naturales y cultivados,2745
2019,333 Matorrales (barbecho o en descanso),2667
2019,414 Bosque seco o deciduo,1748
2019,331 Granos básicos y hortalizas  y otros,1198
2019,413 Bosque Mixto (Lat-Coniferas),905
2019,220 Humedales,500
2019,325 Otros sistemas agroforestales o silvopastoriles,447
2019,321 Café,427
2019,110 Urbano,269
2019,210 Cuerpos de Agua,152
2019,430 Manglares,129
2019,315 Otros cultivos intensivos no arbóreos,76
2019,313 Caña de azúcar,74
2019,323 Frutales,49
2019,412 Latifoliado secundario húmedo,43
2019,112 Urbano discontinuo,28
2019,111 Urbano continuo,24
2019,443  Árboles fuera de bosque y otras áreas naturales,16
2019,211 Cuerpos de agua natural,15
2019,"122 Suelo desnudo, arena, rocoso, lava, otros",13
2019,910 Otras,5
2019,445 Bosque de Palmas,4
2019,322 Cacao,4
2019,441 Masa arbórea ribereña,3
2019,442 Plantaciones forestales,1
2020,321 Café,86380
2020,313 Caña de azúcar,51753
2020,311 Palma aceitera,29819
2020,324 Hule,22488
2020,312 Bananeras,12273
2020,410 Bosque latifoliado y mixto,4474
2020,420 Bosque de coníferas,2986
2020,332 Pastizales naturales y cultivados,2612
2020,333 Matorrales (barbecho o en descanso),2474
2020,315 Otros cultivos intensivos no arbóreos,2394
2020,314 Piña,2069
2020,414 Bosque seco o deciduo,1667
2020,331 Granos básicos y hortalizas  y otros,1170
2020,413 Bosque Mixto (Lat-Coniferas),868
2020,322 Cacao,561
2020,220 Humedales,474
2020,325 Otros sistemas agroforestales o silvopastoriles,436
2020,110 Urbano,271
2020,210 Cuerpos de Agua,165
2020,430 Manglares,98
2020,323 Frutales,38
2020,"122 Suelo desnudo, arena, rocoso, lava, otros",8
2021,410 Bosque latifoliado y mixto,62366
2021,332 Pastizales naturales y cultivados,26913
2021,315 Otros cultivos intensivos no arbóreos,12945
2021,331 Granos básicos y hortalizas  y otros,9523
2021,910 Otras,5753
2021,313 Caña de azúcar,5622
2021,220 Humedales,4380
2021,311 Palma aceitera,3890
2021,420 Bosque de coníferas,2973
2021,333 Matorrales (barbecho o en descanso),2776
2021,312 Bananeras,2042
2021,411 Latifoliado maduro húmedo,1764
2021,414 Bosque seco o deciduo,1668
2021,412 Latifoliado secundario húmedo,951
2021,442 Plantaciones forestales,937
2021,413 Bosque Mixto (Lat-Coniferas),865
2021,325 Otros sistemas agroforestales o silvopastoriles,444
2021,314 Piña,414
2021,321 Café,400
2021,110 Urbano,366
2021,210 Cuerpos de Agua,247
2021,430 Manglares,207
2021,323 Frutales,41
2021,"122 Suelo desnudo, arena, rocoso, lava, otros",12
2021,445 Bosque de Palmas,10
2021,121 Otros artificializado,10
2021,322 Cacao,3
2022,410 Bosque latifoliado y mixto,4335
2022,420 Bosque de coníferas,2960
2022,332 Pastizales naturales y cultivados,2760
2022,333 Matorrales (barbecho o en descanso),2481
2022,414 Bosque seco o deciduo,1658
2022,331 Granos básicos y hortalizas  y otros,1182
2022,413 Bosque Mixto (Lat-Coniferas),863
2022,220 Humedales,474
2022,325 Otros sistemas agroforestales o silvopastoriles,439
2022,321 Café,396
2022,311 Palma aceitera,389
2022,110 Urbano,275
2022,210 Cuerpos de Agua,169
2022,430 Manglares,98
2022,323 Frutales,38
2022,"122 Suelo desnudo, arena, rocoso, lava, otros",8
2022,322 Cacao,3
