pais_grupo,valores_nivel_1,valores_nivel_2,n_grupos,n_registros,promedio_anios,anio_min_global,anio_max_global
El Salvador,"31 Cultivos intensivos No-Arbóreos,33 Cultivos extensivos, Pastizales y matorrales","315 Otros cultivos intensivos no arbóreos,333 Matorrales (barbecho o en descanso)",22839,45678,2.0,2000,2018
Costa Rica,"41 Bosque latifoliado y mixto,91 Otras","411 Latifoliado maduro húmedo,910 Otras",12822,38466,3.0,2005,2018
El Salvador,"31 Cultivos intensivos No-Arbóreos,33 Cultivos extensivos, Pastizales y matorrales","315 Otros cultivos intensivos no arbóreos,332 Pastizales naturales y cultivados",18463,36926,2.0,2000,2018
Costa Rica,"44 Otros arbóreo en tierras no agrícola,91 Otras","443  Árboles fuera de bosque y otras áreas naturales,910 Otras",11006,33018,3.0,2005,2018
Costa Rica,"33 Cultivos extensivos, Pastizales y matorrales,91 Otras","332 Pastizales naturales y cultivados,910 Otras",10841,32159,2.9328475232912092,2005,2021
El Salvador,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","410 Bosque latifoliado y mixto,333 Matorrales (barbecho o en descanso)",13569,28342,2.0887316677721275,2000,2018
El Salvador,"41 Bosque latifoliado y mixto,31 Cultivos intensivos No-Arbóreos","410 Bosque latifoliado y mixto,315 Otros cultivos intensivos no arbóreos",11258,22516,2.0,2000,2018
El Salvador,"33 Cultivos extensivos, Pastizales y matorrales","332 Pastizales naturales y cultivados,333 Matorrales (barbecho o en descanso)",9738,19833,2.036660505237215,2000,2018
Costa Rica,"33 Cultivos extensivos, Pastizales y matorrales,44 Otros arbóreo en tierras no agrícola,91 Otras","332 Pastizales naturales y cultivados,443  Árboles fuera de bosque y otras áreas naturales,910 Otras",5332,15996,3.0,2005,2018
Costa Rica,"33 Cultivos extensivos, Pastizales y matorrales,44 Otros arbóreo en tierras no agrícola","332 Pastizales naturales y cultivados,443  Árboles fuera de bosque y otras áreas naturales",5151,15453,3.0,2005,2018
Costa Rica,"41 Bosque latifoliado y mixto,44 Otros arbóreo en tierras no agrícola,91 Otras","412 Latifoliado secundario húmedo,443  Árboles fuera de bosque y otras áreas naturales,910 Otras",4588,13764,3.0,2005,2018
Costa Rica,"11 Urbano,91 Otras","110 Urbano,910 Otras",4323,12969,3.0,2005,2018
El Salvador,"33 Cultivos extensivos, Pastizales y matorrales","333 Matorrales (barbecho o en descanso),332 Pastizales naturales y cultivados",6135,12897,2.102200488997555,2000,2018
El Salvador,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","410 Bosque latifoliado y mixto,332 Pastizales naturales y cultivados",5443,11892,2.1848245452875252,2000,2018
Honduras,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","410 Bosque latifoliado y mixto,332 Pastizales naturales y cultivados",639,11070,17.323943661971832,2000,2022
Costa Rica,"33 Cultivos extensivos, Pastizales y matorrales,91 Otras","331 Granos básicos y hortalizas  y otros,910 Otras",3687,10981,2.956604285326824,2005,2021
Costa Rica,"41 Bosque latifoliado y mixto,44 Otros arbóreo en tierras no agrícola","412 Latifoliado secundario húmedo,443  Árboles fuera de bosque y otras áreas naturales",3547,10641,3.0,2005,2018
El Salvador,"41 Bosque latifoliado y mixto,32 Cultivos Arbóreos","410 Bosque latifoliado y mixto,321 Café",3677,10001,2.7198803372314386,2000,2018
El Salvador,"31 Cultivos intensivos No-Arbóreos,33 Cultivos extensivos, Pastizales y matorrales","313 Caña de azúcar,332 Pastizales naturales y cultivados",4013,9108,2.2696237229005733,2000,2018
El Salvador,"33 Cultivos extensivos, Pastizales y matorrales","332 Pastizales naturales y cultivados,331 Granos básicos y hortalizas  y otros",2938,8814,3.0,2001,2018
El Salvador,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","410 Bosque latifoliado y mixto,331 Granos básicos y hortalizas  y otros",2217,6651,3.0,2001,2018
Belice,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","412 Latifoliado secundario húmedo,333 Matorrales (barbecho o en descanso)",284,5396,19.0,2000,2018
Honduras,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","410 Bosque latifoliado y mixto,333 Matorrales (barbecho o en descanso)",371,5158,13.902964959568733,2000,2022
Belice,"41 Bosque latifoliado y mixto,31 Cultivos intensivos No-Arbóreos","412 Latifoliado secundario húmedo,315 Otros cultivos intensivos no arbóreos",251,4769,19.0,2000,2018
Belice,"41 Bosque latifoliado y mixto,31 Cultivos intensivos No-Arbóreos","411 Latifoliado maduro húmedo,315 Otros cultivos intensivos no arbóreos",237,4503,19.0,2000,2018
Costa Rica,"33 Cultivos extensivos, Pastizales y matorrales,44 Otros arbóreo en tierras no agrícola,91 Otras","331 Granos básicos y hortalizas  y otros,443  Árboles fuera de bosque y otras áreas naturales,910 Otras",1427,4281,3.0,2005,2018
Belice,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","411 Latifoliado maduro húmedo,333 Matorrales (barbecho o en descanso)",225,4275,19.0,2000,2018
El Salvador,"33 Cultivos extensivos, Pastizales y matorrales","331 Granos básicos y hortalizas  y otros,332 Pastizales naturales y cultivados",1420,4260,3.0,2001,2018
Belice,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","411 Latifoliado maduro húmedo,332 Pastizales naturales y cultivados",215,4085,19.0,2000,2018
El Salvador,"33 Cultivos extensivos, Pastizales y matorrales","333 Matorrales (barbecho o en descanso),331 Granos básicos y hortalizas  y otros",1348,4044,3.0,2001,2018
Belice,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","412 Latifoliado secundario húmedo,332 Pastizales naturales y cultivados",210,4009,19.0,2000,2018
El Salvador,31 Cultivos intensivos No-Arbóreos,"315 Otros cultivos intensivos no arbóreos,313 Caña de azúcar",1903,3806,2.0,2000,2018
El Salvador,"33 Cultivos extensivos, Pastizales y matorrales,32 Cultivos Arbóreos","331 Granos básicos y hortalizas  y otros,321 Café",1237,3711,3.0,2001,2018
Costa Rica,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales,44 Otros arbóreo en tierras no agrícola","412 Latifoliado secundario húmedo,332 Pastizales naturales y cultivados,443  Árboles fuera de bosque y otras áreas naturales",1138,3414,3.0,2005,2018
Costa Rica,"91 Otras,32 Cultivos Arbóreos","910 Otras,321 Café",1129,3387,3.0,2005,2017
Costa Rica,"33 Cultivos extensivos, Pastizales y matorrales,91 Otras","332 Pastizales naturales y cultivados,331 Granos básicos y hortalizas  y otros,910 Otras",1070,3210,3.0,2005,2018
Costa Rica,"33 Cultivos extensivos, Pastizales y matorrales","332 Pastizales naturales y cultivados,331 Granos básicos y hortalizas  y otros",1016,2953,2.812992125984252,2005,2021
Costa Rica,"11 Urbano,44 Otros arbóreo en tierras no agrícola,91 Otras","110 Urbano,443  Árboles fuera de bosque y otras áreas naturales,910 Otras",934,2802,3.0,2005,2018
Honduras,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","414 Bosque seco o deciduo,333 Matorrales (barbecho o en descanso)",148,2664,18.0,2005,2022
Costa Rica,"33 Cultivos extensivos, Pastizales y matorrales,44 Otros arbóreo en tierras no agrícola","331 Granos básicos y hortalizas  y otros,443  Árboles fuera de bosque y otras áreas naturales",866,2598,3.0,2005,2018
Costa Rica,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales,91 Otras","412 Latifoliado secundario húmedo,332 Pastizales naturales y cultivados,910 Otras",809,2427,3.0,2005,2018
Belice,"41 Bosque latifoliado y mixto,44 Otros arbóreo en tierras no agrícola","411 Latifoliado maduro húmedo,444 Regeneración forestal",112,2128,19.0,2000,2018
El Salvador,"31 Cultivos intensivos No-Arbóreos,33 Cultivos extensivos, Pastizales y matorrales","313 Caña de azúcar,331 Granos básicos y hortalizas  y otros",708,2124,3.0,2001,2018
El Salvador,"33 Cultivos extensivos, Pastizales y matorrales,32 Cultivos Arbóreos","332 Pastizales naturales y cultivados,325 Otros sistemas agroforestales o silvopastoriles",912,2065,2.2642543859649122,2000,2018
El Salvador,"31 Cultivos intensivos No-Arbóreos,32 Cultivos Arbóreos","315 Otros cultivos intensivos no arbóreos,321 Café",1018,2036,2.0,2000,2018
Costa Rica,"41 Bosque latifoliado y mixto,44 Otros arbóreo en tierras no agrícola","411 Latifoliado maduro húmedo,443  Árboles fuera de bosque y otras áreas naturales",675,2025,3.0,2005,2018
Honduras,"33 Cultivos extensivos, Pastizales y matorrales,42 Bosque de coníferas","333 Matorrales (barbecho o en descanso),420 Bosque de coníferas",195,2022,10.36923076923077,2000,2022
Honduras,"33 Cultivos extensivos, Pastizales y matorrales,42 Bosque de coníferas","332 Pastizales naturales y cultivados,420 Bosque de coníferas",131,2006,15.312977099236642,2000,2022
Costa Rica,"31 Cultivos intensivos No-Arbóreos,91 Otras","311 Palma aceitera,910 Otras",644,1932,3.0,2005,2017
El Salvador,"33 Cultivos extensivos, Pastizales y matorrales,11 Urbano","332 Pastizales naturales y cultivados,112 Urbano discontinuo",816,1875,2.297794117647059,2000,2018
