xy_group_id,lon,lat,pais_grupo,n_registros_grupo,n_paises,n_fuentes,n_anios,n_nivel1,n_nivel2,anio_min,anio_max,conf_integrada_promedio,conf_integrada_min,conf_integrada_max,n_registros_join,n_paises_calc,n_fuentes_calc,n_anios_calc,n_nivel1_calc,n_nivel2_calc,paises,fuentes,anios,valores_nivel_1,valores_nivel_2
XY_000000513739,-89.05308999999998,16.185038,Belice,38,1,1,19,2,2,2000,2018,83.11751782898943,62.378760484498436,88.64785312085371,38,1,1,19,2,2,Belice,FCPF - Malla MRV-REDD+ Belize,"2000,2002,2004,2006,2007,2009,2010,2014,2001,2003,2005,2008,2011,2012,2013,2015,2016,2017,2018","41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","412 Latifoliado secundario húmedo,332 Pastizales naturales y cultivados"
XY_000000455197,-89.21915699999998,15.98461,Belice,19,1,1,19,1,2,2000,2018,92.31748031327841,92.31748031327841,92.31748031327841,19,1,1,19,1,2,Belice,FCPF - Malla MRV-REDD+ Belize,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",41 Bosque latifoliado y mixto,"411 Latifoliado maduro húmedo,412 Latifoliado secundario húmedo"
XY_000000455237,-89.219058,15.975576,Belice,19,1,1,19,2,2,2000,2018,71.3911910682065,69.52967895305514,87.214044046993,19,1,1,19,2,2,Belice,FCPF - Malla MRV-REDD+ Belize,"2001,2000,2005,2006,2008,2009,2012,2013,2015,2017,2002,2003,2004,2007,2010,2011,2014,2016,2018","41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","412 Latifoliado secundario húmedo,332 Pastizales naturales y cultivados"
XY_000000457779,-89.211214,16.111176,Belice,19,1,1,19,2,2,2000,2018,68.07509835918918,60.68058699406187,78.24255148623925,19,1,1,19,2,2,Belice,FCPF - Malla MRV-REDD+ Belize,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","411 Latifoliado maduro húmedo,333 Matorrales (barbecho o en descanso)"
XY_000000457806,-89.21111399999998,16.102143,Belice,19,1,1,19,2,2,2000,2018,65.44910824015805,56.19482578109357,81.31359245569716,19,1,1,19,2,2,Belice,FCPF - Malla MRV-REDD+ Belize,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","411 Latifoliado maduro húmedo,332 Pastizales naturales y cultivados"
XY_000000457834,-89.211014,16.093109,Belice,19,1,1,19,2,2,2000,2018,79.05368405015113,55.733946705914384,81.7971825612378,19,1,1,19,2,2,Belice,FCPF - Malla MRV-REDD+ Belize,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","411 Latifoliado maduro húmedo,332 Pastizales naturales y cultivados"
XY_000000457905,-89.210814,16.075042,Belice,19,1,1,19,2,2,2000,2018,85.65107066590403,47.318038090038165,92.83851427387887,19,1,1,19,2,2,Belice,FCPF - Malla MRV-REDD+ Belize,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","411 Latifoliado maduro húmedo,332 Pastizales naturales y cultivados"
XY_000000457948,-89.21071399999998,16.066008,Belice,19,1,1,19,2,2,2000,2018,69.85015989405063,69.49139930295854,72.89962491833342,19,1,1,19,2,2,Belice,FCPF - Malla MRV-REDD+ Belize,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","411 Latifoliado maduro húmedo,333 Matorrales (barbecho o en descanso)"
XY_000000458253,-89.209918,15.993739,Belice,19,1,1,19,2,2,2000,2018,53.61003333390668,51.23527473191721,96.35568816971718,19,1,1,19,2,2,Belice,FCPF - Malla MRV-REDD+ Belize,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","412 Latifoliado secundario húmedo,333 Matorrales (barbecho o en descanso)"
XY_000000458321,-89.209719,15.975672,Belice,19,1,1,19,2,2,2000,2018,64.02197944508589,63.00834749799807,72.63785099533234,19,1,1,19,2,2,Belice,FCPF - Malla MRV-REDD+ Belize,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","411 Latifoliado maduro húmedo,333 Matorrales (barbecho o en descanso)"
XY_000000458397,-89.20952099999998,15.957605,Belice,19,1,1,19,1,2,2000,2018,86.38015948274276,86.38015948274276,86.38015948274276,19,1,1,19,1,2,Belice,FCPF - Malla MRV-REDD+ Belize,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",41 Bosque latifoliado y mixto,"411 Latifoliado maduro húmedo,412 Latifoliado secundario húmedo"
XY_000000458423,-89.209422,15.948571,Belice,19,1,1,19,2,2,2000,2018,80.68774589562678,47.05074699747303,86.9946831890306,19,1,1,19,2,2,Belice,FCPF - Malla MRV-REDD+ Belize,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","411 Latifoliado maduro húmedo,332 Pastizales naturales y cultivados"
XY_000000458484,-89.208928,15.903402,Belice,19,1,1,19,2,2,2000,2018,83.01926501163297,54.34350460667648,93.26060801340313,19,1,1,19,2,2,Belice,FCPF - Malla MRV-REDD+ Belize,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","411 Latifoliado maduro húmedo,333 Matorrales (barbecho o en descanso)"
XY_000000460850,-89.201869,16.111273,Belice,19,1,1,19,2,2,2000,2018,72.69873915165253,63.237584451327145,75.22171373840595,19,1,1,19,2,2,Belice,FCPF - Malla MRV-REDD+ Belize,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","411 Latifoliado maduro húmedo,332 Pastizales naturales y cultivados"
XY_000000460891,-89.20176999999998,16.102239,Belice,19,1,1,19,2,2,2000,2018,69.34724437343455,60.101797623704364,95.23449527267908,19,1,1,19,2,2,Belice,FCPF - Malla MRV-REDD+ Belize,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","411 Latifoliado maduro húmedo,332 Pastizales naturales y cultivados"
XY_000000461178,-89.200974,16.02997,Belice,19,1,1,19,2,2,2000,2018,72.51779328129811,70.47353052966466,83.42052795667652,19,1,1,19,2,2,Belice,FCPF - Malla MRV-REDD+ Belize,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","412 Latifoliado secundario húmedo,333 Matorrales (barbecho o en descanso)"
XY_000000461259,-89.200776,16.011903,Belice,19,1,1,19,2,2,2000,2018,67.03908692597078,64.51834551963398,88.46538887983354,19,1,1,19,2,2,Belice,FCPF - Malla MRV-REDD+ Belize,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","411 Latifoliado maduro húmedo,333 Matorrales (barbecho o en descanso)"
XY_000000461339,-89.20057799999998,15.993835,Belice,19,1,1,19,2,2,2000,2018,75.0318084121855,60.037052948138616,79.03040986926467,19,1,1,19,2,2,Belice,FCPF - Malla MRV-REDD+ Belize,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","411 Latifoliado maduro húmedo,333 Matorrales (barbecho o en descanso)"
XY_000000461495,-89.200085,15.948667,Belice,19,1,1,19,2,2,2000,2018,81.1459995575435,54.524317795149535,93.43292960172533,19,1,1,19,2,2,Belice,FCPF - Malla MRV-REDD+ Belize,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","412 Latifoliado secundario húmedo,333 Matorrales (barbecho o en descanso)"
XY_000000461524,-89.199888,15.930599,Belice,19,1,1,19,2,2,2000,2018,79.13428575224562,65.09187857528894,84.14943117258728,19,1,1,19,2,2,Belice,FCPF - Malla MRV-REDD+ Belize,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","411 Latifoliado maduro húmedo,332 Pastizales naturales y cultivados"
