subset,nivel,pais,clase,n_registros,pct_pais_subset
exacto_2020,Nivel_1,Belice,31 Cultivos intensivos No-Arbóreos,6,100.0
exacto_2020,Nivel_1,El Salvador,31 Cultivos intensivos No-Arbóreos,5,62.5
exacto_2020,Nivel_1,El Salvador,32 Cultivos Arbóreos,2,25.0
exacto_2020,Nivel_1,El Salvador,41 Bosque latifoliado y mixto,1,12.5
exacto_2020,Nivel_1,Guatemala,32 Cultivos Arbóreos,109004,52.695595
exacto_2020,Nivel_1,Guatemala,31 Cultivos intensivos No-Arbóreos,97852,47.304405
exacto_2020,Nivel_1,Honduras,41 Bosque latifoliado y mixto,7008,37.803431
exacto_2020,Nivel_1,Honduras,"33 Cultivos extensivos, Pastizales y matorrales",6255,33.741504
exacto_2020,Nivel_1,Honduras,42 Bosque de coníferas,2986,16.107455
exacto_2020,Nivel_1,Honduras,32 Cultivos Arbóreos,889,4.795555
exacto_2020,Nivel_1,Honduras,22 Humedales,474,2.55691
exacto_2020,Nivel_1,Honduras,31 Cultivos intensivos No-Arbóreos,390,2.103787
exacto_2020,Nivel_1,Honduras,11 Urbano,271,1.461862
exacto_2020,Nivel_1,Honduras,21 Cuerpos de Agua,160,0.863092
exacto_2020,Nivel_1,Honduras,43 Manglares,97,0.52325
exacto_2020,Nivel_1,Honduras,12 Otras tierras,8,0.043155
exacto_2020,Nivel_1,México,31 Cultivos intensivos No-Arbóreos,55,87.301587
exacto_2020,Nivel_1,México,32 Cultivos Arbóreos,8,12.698413
exacto_2020,Nivel_1,Nicaragua,21 Cuerpos de Agua,5,71.428571
exacto_2020,Nivel_1,Nicaragua,43 Manglares,1,14.285714
exacto_2020,Nivel_1,Nicaragua,"33 Cultivos extensivos, Pastizales y matorrales",1,14.285714
ventana_2018_2022,Nivel_1,Belice,31 Cultivos intensivos No-Arbóreos,13105,39.326011
ventana_2018_2022,Nivel_1,Belice,41 Bosque latifoliado y mixto,11530,34.599688
ventana_2018_2022,Nivel_1,Belice,"33 Cultivos extensivos, Pastizales y matorrales",4117,12.354459
ventana_2018_2022,Nivel_1,Belice,42 Bosque de coníferas,1661,4.984396
ventana_2018_2022,Nivel_1,Belice,22 Humedales,1072,3.216901
ventana_2018_2022,Nivel_1,Belice,44 Otros arbóreo en tierras no agrícola,659,1.977554
ventana_2018_2022,Nivel_1,Belice,43 Manglares,628,1.884528
ventana_2018_2022,Nivel_1,Belice,11 Urbano,245,0.735206
ventana_2018_2022,Nivel_1,Belice,21 Cuerpos de Agua,235,0.705197
ventana_2018_2022,Nivel_1,Belice,12 Otras tierras,72,0.21606
ventana_2018_2022,Nivel_1,Costa Rica,41 Bosque latifoliado y mixto,59352,41.736342
ventana_2018_2022,Nivel_1,Costa Rica,"33 Cultivos extensivos, Pastizales y matorrales",32144,22.603669
ventana_2018_2022,Nivel_1,Costa Rica,31 Cultivos intensivos No-Arbóreos,22225,15.628626
ventana_2018_2022,Nivel_1,Costa Rica,32 Cultivos Arbóreos,15719,11.053605
ventana_2018_2022,Nivel_1,Costa Rica,91 Otras,6145,4.321166
ventana_2018_2022,Nivel_1,Costa Rica,22 Humedales,3884,2.73123
ventana_2018_2022,Nivel_1,Costa Rica,44 Otros arbóreo en tierras no agrícola,2286,1.607516
