subset,nivel,fuente,clase,n_registros,pct_fuente_subset
exacto_2020,Nivel_1,FCPF - Malla MRV-REDD+ Honduras,41 Bosque latifoliado y mixto,7009,37.829231
exacto_2020,Nivel_1,FCPF - Malla MRV-REDD+ Honduras,"33 Cultivos extensivos, Pastizales y matorrales",6256,33.765112
exacto_2020,Nivel_1,FCPF - Malla MRV-REDD+ Honduras,42 Bosque de coníferas,2986,16.116149
exacto_2020,Nivel_1,FCPF - Malla MRV-REDD+ Honduras,32 Cultivos Arbóreos,872,4.70639
exacto_2020,Nivel_1,FCPF - Malla MRV-REDD+ Honduras,22 Humedales,474,2.55829
exacto_2020,Nivel_1,FCPF - Malla MRV-REDD+ Honduras,31 Cultivos intensivos No-Arbóreos,389,2.099525
exacto_2020,Nivel_1,FCPF - Malla MRV-REDD+ Honduras,11 Urbano,271,1.462651
exacto_2020,Nivel_1,FCPF - Malla MRV-REDD+ Honduras,21 Cuerpos de Agua,165,0.890544
exacto_2020,Nivel_1,FCPF - Malla MRV-REDD+ Honduras,43 Manglares,98,0.528929
exacto_2020,Nivel_1,FCPF - Malla MRV-REDD+ Honduras,12 Otras tierras,8,0.043178
exacto_2020,Nivel_1,MAGA - Cultivos - Mapa Guatemala,32 Cultivos Arbóreos,109031,52.684706
exacto_2020,Nivel_1,MAGA - Cultivos - Mapa Guatemala,31 Cultivos intensivos No-Arbóreos,97919,47.315294
ventana_2018_2022,Nivel_1,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto El Salvador,"33 Cultivos extensivos, Pastizales y matorrales",40,35.714286
ventana_2018_2022,Nivel_1,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto El Salvador,32 Cultivos Arbóreos,25,22.321429
ventana_2018_2022,Nivel_1,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto El Salvador,11 Urbano,19,16.964286
ventana_2018_2022,Nivel_1,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto El Salvador,44 Otros arbóreo en tierras no agrícola,8,7.142857
ventana_2018_2022,Nivel_1,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto El Salvador,31 Cultivos intensivos No-Arbóreos,8,7.142857
ventana_2018_2022,Nivel_1,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto El Salvador,41 Bosque latifoliado y mixto,7,6.25
ventana_2018_2022,Nivel_1,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto El Salvador,91 Otras,5,4.464286
ventana_2018_2022,Nivel_1,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,"33 Cultivos extensivos, Pastizales y matorrales",72,28.8
ventana_2018_2022,Nivel_1,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,31 Cultivos intensivos No-Arbóreos,60,24.0
ventana_2018_2022,Nivel_1,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,43 Manglares,25,10.0
ventana_2018_2022,Nivel_1,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,11 Urbano,25,10.0
ventana_2018_2022,Nivel_1,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,32 Cultivos Arbóreos,22,8.8
ventana_2018_2022,Nivel_1,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,22 Humedales,17,6.8
ventana_2018_2022,Nivel_1,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,41 Bosque latifoliado y mixto,11,4.4
ventana_2018_2022,Nivel_1,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,44 Otros arbóreo en tierras no agrícola,8,3.2
ventana_2018_2022,Nivel_1,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,21 Cuerpos de Agua,6,2.4
ventana_2018_2022,Nivel_1,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,12 Otras tierras,4,1.6
ventana_2018_2022,Nivel_1,CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,41 Bosque latifoliado y mixto,1404,30.161117
ventana_2018_2022,Nivel_1,CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,44 Otros arbóreo en tierras no agrícola,1402,30.118153
ventana_2018_2022,Nivel_1,CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,"33 Cultivos extensivos, Pastizales y matorrales",855,18.367347
