subset,nivel,pais,clase,n_registros,estado_pais_clase
exacto_2020,Nivel_1,Belice,11 Urbano,0,vacio
exacto_2020,Nivel_1,Belice,12 Otras tierras,0,vacio
exacto_2020,Nivel_1,Belice,21 Cuerpos de Agua,0,vacio
exacto_2020,Nivel_1,Belice,22 Humedales,0,vacio
exacto_2020,Nivel_1,Belice,31 Cultivos intensivos No-Arbóreos,6,critico
exacto_2020,Nivel_1,Belice,32 Cultivos Arbóreos,0,vacio
exacto_2020,Nivel_1,Belice,"33 Cultivos extensivos, Pastizales y matorrales",0,vacio
exacto_2020,Nivel_1,Belice,41 Bosque latifoliado y mixto,0,vacio
exacto_2020,Nivel_1,Belice,42 Bosque de coníferas,0,vacio
exacto_2020,Nivel_1,Belice,43 Manglares,0,vacio
exacto_2020,Nivel_1,Belice,44 Otros arbóreo en tierras no agrícola,0,vacio
exacto_2020,Nivel_1,Belice,91 Otras,0,vacio
exacto_2020,Nivel_1,Costa Rica,11 Urbano,0,vacio
exacto_2020,Nivel_1,Costa Rica,12 Otras tierras,0,vacio
exacto_2020,Nivel_1,Costa Rica,21 Cuerpos de Agua,0,vacio
exacto_2020,Nivel_1,Costa Rica,22 Humedales,0,vacio
exacto_2020,Nivel_1,Costa Rica,31 Cultivos intensivos No-Arbóreos,0,vacio
exacto_2020,Nivel_1,Costa Rica,32 Cultivos Arbóreos,0,vacio
exacto_2020,Nivel_1,Costa Rica,"33 Cultivos extensivos, Pastizales y matorrales",0,vacio
exacto_2020,Nivel_1,Costa Rica,41 Bosque latifoliado y mixto,0,vacio
exacto_2020,Nivel_1,Costa Rica,42 Bosque de coníferas,0,vacio
exacto_2020,Nivel_1,Costa Rica,43 Manglares,0,vacio
exacto_2020,Nivel_1,Costa Rica,44 Otros arbóreo en tierras no agrícola,0,vacio
exacto_2020,Nivel_1,Costa Rica,91 Otras,0,vacio
exacto_2020,Nivel_1,El Salvador,11 Urbano,0,vacio
exacto_2020,Nivel_1,El Salvador,12 Otras tierras,0,vacio
exacto_2020,Nivel_1,El Salvador,21 Cuerpos de Agua,0,vacio
exacto_2020,Nivel_1,El Salvador,22 Humedales,0,vacio
exacto_2020,Nivel_1,El Salvador,31 Cultivos intensivos No-Arbóreos,5,critico
exacto_2020,Nivel_1,El Salvador,32 Cultivos Arbóreos,2,critico
exacto_2020,Nivel_1,El Salvador,"33 Cultivos extensivos, Pastizales y matorrales",0,vacio
exacto_2020,Nivel_1,El Salvador,41 Bosque latifoliado y mixto,1,critico
exacto_2020,Nivel_1,El Salvador,42 Bosque de coníferas,0,vacio
exacto_2020,Nivel_1,El Salvador,43 Manglares,0,vacio
exacto_2020,Nivel_1,El Salvador,44 Otros arbóreo en tierras no agrícola,0,vacio
exacto_2020,Nivel_1,El Salvador,91 Otras,0,vacio
exacto_2020,Nivel_1,Guatemala,11 Urbano,0,vacio
exacto_2020,Nivel_1,Guatemala,12 Otras tierras,0,vacio
exacto_2020,Nivel_1,Guatemala,21 Cuerpos de Agua,0,vacio
exacto_2020,Nivel_1,Guatemala,22 Humedales,0,vacio
exacto_2020,Nivel_1,Guatemala,31 Cultivos intensivos No-Arbóreos,97852,suficiente
exacto_2020,Nivel_1,Guatemala,32 Cultivos Arbóreos,109004,suficiente
exacto_2020,Nivel_1,Guatemala,"33 Cultivos extensivos, Pastizales y matorrales",0,vacio
exacto_2020,Nivel_1,Guatemala,41 Bosque latifoliado y mixto,0,vacio
exacto_2020,Nivel_1,Guatemala,42 Bosque de coníferas,0,vacio
exacto_2020,Nivel_1,Guatemala,43 Manglares,0,vacio
exacto_2020,Nivel_1,Guatemala,44 Otros arbóreo en tierras no agrícola,0,vacio
exacto_2020,Nivel_1,Guatemala,91 Otras,0,vacio
exacto_2020,Nivel_1,Honduras,11 Urbano,271,moderado
exacto_2020,Nivel_1,Honduras,12 Otras tierras,8,critico
exacto_2020,Nivel_1,Honduras,21 Cuerpos de Agua,160,moderado
exacto_2020,Nivel_1,Honduras,22 Humedales,474,moderado
exacto_2020,Nivel_1,Honduras,31 Cultivos intensivos No-Arbóreos,390,moderado
exacto_2020,Nivel_1,Honduras,32 Cultivos Arbóreos,889,suficiente
exacto_2020,Nivel_1,Honduras,"33 Cultivos extensivos, Pastizales y matorrales",6255,suficiente
exacto_2020,Nivel_1,Honduras,41 Bosque latifoliado y mixto,7008,suficiente
exacto_2020,Nivel_1,Honduras,42 Bosque de coníferas,2986,suficiente
exacto_2020,Nivel_1,Honduras,43 Manglares,97,bajo
