subset,nivel,estado_pais_clase,n_celdas,pct_celdas
exacto_2020,Nivel_1,bajo,2,2.083333
exacto_2020,Nivel_1,critico,9,9.375
exacto_2020,Nivel_1,moderado,4,4.166667
exacto_2020,Nivel_1,suficiente,6,6.25
exacto_2020,Nivel_1,vacio,75,78.125
exacto_2020,Nivel_2,bajo,3,0.9375
exacto_2020,Nivel_2,critico,12,3.75
exacto_2020,Nivel_2,moderado,6,1.875
exacto_2020,Nivel_2,suficiente,15,4.6875
exacto_2020,Nivel_2,vacio,284,88.75
ventana_2018_2022,Nivel_1,bajo,9,9.375
ventana_2018_2022,Nivel_1,critico,21,21.875
ventana_2018_2022,Nivel_1,moderado,9,9.375
ventana_2018_2022,Nivel_1,suficiente,41,42.708333
ventana_2018_2022,Nivel_1,vacio,16,16.666667
ventana_2018_2022,Nivel_2,bajo,17,5.3125
ventana_2018_2022,Nivel_2,critico,44,13.75
ventana_2018_2022,Nivel_2,moderado,21,6.5625
ventana_2018_2022,Nivel_2,suficiente,77,24.0625
ventana_2018_2022,Nivel_2,vacio,161,50.3125
