subset,pais,n_registros,n_fuentes,n_anios,anio_min,anio_max,n_nivel1,n_nivel2,pct_subset
exacto_2020,Guatemala,206856,1,1,2020,2020,2,8,91.741101
exacto_2020,Honduras,18538,2,1,2020,2020,10,17,8.221645
exacto_2020,México,63,1,1,2020,2020,2,4,0.027941
exacto_2020,El Salvador,8,2,1,2020,2020,3,3,0.003548
exacto_2020,Nicaragua,7,1,1,2020,2020,3,3,0.003105
exacto_2020,Belice,6,1,1,2020,2020,1,1,0.002661
ventana_2018_2022,El Salvador,572140,6,5,2018,2022,11,25,47.841353
ventana_2018_2022,Guatemala,209938,7,3,2018,2020,11,27,17.554651
ventana_2018_2022,Honduras,206795,4,5,2018,2022,11,24,17.291839
ventana_2018_2022,Costa Rica,142207,5,3,2018,2021,10,16,11.891102
ventana_2018_2022,Belice,33324,3,2,2018,2020,10,21,2.786495
ventana_2018_2022,Panamá,29215,5,3,2018,2021,11,23,2.442908
ventana_2018_2022,México,2223,7,3,2018,2020,9,16,0.185883
ventana_2018_2022,Nicaragua,69,4,5,2018,2022,7,7,0.00577
