subset,pais_grupo,valores_nivel1_subset,valores_nivel2_subset,n_grupos,n_registros,promedio_anios,anio_min_global,anio_max_global
ventana_2018_2022,Costa Rica,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","410 Bosque latifoliado y mixto,332 Pastizales naturales y cultivados",815,1630,1.0,2021,2021
ventana_2018_2022,Honduras,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","410 Bosque latifoliado y mixto,332 Pastizales naturales y cultivados",245,1225,5.0,2018,2022
ventana_2018_2022,Costa Rica,"33 Cultivos extensivos, Pastizales y matorrales,91 Otras","332 Pastizales naturales y cultivados,910 Otras",364,728,1.0,2021,2021
ventana_2018_2022,Costa Rica,"41 Bosque latifoliado y mixto,91 Otras","410 Bosque latifoliado y mixto,910 Otras",177,354,1.0,2021,2021
ventana_2018_2022,Honduras,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","410 Bosque latifoliado y mixto,333 Matorrales (barbecho o en descanso)",64,320,5.0,2018,2022
ventana_2018_2022,Costa Rica,"41 Bosque latifoliado y mixto,22 Humedales","410 Bosque latifoliado y mixto,220 Humedales",149,298,1.0,2021,2021
ventana_2018_2022,Costa Rica,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","410 Bosque latifoliado y mixto,331 Granos básicos y hortalizas  y otros",148,296,1.0,2021,2021
ventana_2018_2022,Costa Rica,"33 Cultivos extensivos, Pastizales y matorrales,22 Humedales","332 Pastizales naturales y cultivados,220 Humedales",122,244,1.0,2021,2021
ventana_2018_2022,Costa Rica,"33 Cultivos extensivos, Pastizales y matorrales","332 Pastizales naturales y cultivados,331 Granos básicos y hortalizas  y otros",95,190,1.0,2021,2021
ventana_2018_2022,Costa Rica,"33 Cultivos extensivos, Pastizales y matorrales,91 Otras","331 Granos básicos y hortalizas  y otros,910 Otras",80,160,1.0,2021,2021
ventana_2018_2022,Honduras,"42 Bosque de coníferas,33 Cultivos extensivos, Pastizales y matorrales","420 Bosque de coníferas,332 Pastizales naturales y cultivados",27,135,5.0,2018,2022
