subset,xy_group_id,lon,lat,pais_grupo,tipo_grupo_original,n_registros_original,n_registros_subset,n_paises_subset,n_fuentes_subset,n_anios_subset,n_nivel0_subset,n_nivel1_subset,n_nivel2_subset,anio_min_subset,anio_max_subset,paises_subset,fuentes_subset,anios_subset,valores_nivel0_subset,valores_nivel1_subset,valores_nivel2_subset,estado_xy_subset
ventana_2018_2022,XY_000000434312,-89.2813103,14.51902078,Honduras,conflicto_tematico_xy,18,5,1,1,5,2,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022","40 Tierras Forestales,30 Tierras de Cultivo y Pastos","41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","410 Bosque latifoliado y mixto,333 Matorrales (barbecho o en descanso)",conflicto_tematico_subset
ventana_2018_2022,XY_000000487605,-89.12410513,14.60885231,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,1,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022",30 Tierras de Cultivo y Pastos,32 Cultivos Arbóreos,"321 Café,325 Otros sistemas agroforestales o silvopastoriles",conflicto_tematico_subset
ventana_2018_2022,XY_000000487607,-89.12410513,14.65376807,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,1,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022",30 Tierras de Cultivo y Pastos,32 Cultivos Arbóreos,"321 Café,325 Otros sistemas agroforestales o silvopastoriles",conflicto_tematico_subset
ventana_2018_2022,XY_000000487623,-89.12410513,15.01309419,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,1,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022",30 Tierras de Cultivo y Pastos,32 Cultivos Arbóreos,"322 Cacao,325 Otros sistemas agroforestales o silvopastoriles",conflicto_tematico_subset
ventana_2018_2022,XY_000000496118,-89.10164724,14.92326266,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,1,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales","332 Pastizales naturales y cultivados,331 Granos básicos y hortalizas  y otros",conflicto_tematico_subset
ventana_2018_2022,XY_000000504549,-89.07918936,14.56393654,Honduras,conflicto_tematico_xy,18,5,1,1,5,2,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022","40 Tierras Forestales,30 Tierras de Cultivo y Pastos","42 Bosque de coníferas,33 Cultivos extensivos, Pastizales y matorrales","420 Bosque de coníferas,331 Granos básicos y hortalizas  y otros",conflicto_tematico_subset
ventana_2018_2022,XY_000000504567,-89.07918936,14.96817842,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,1,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022",30 Tierras de Cultivo y Pastos,32 Cultivos Arbóreos,"321 Café,325 Otros sistemas agroforestales o silvopastoriles",conflicto_tematico_subset
ventana_2018_2022,XY_000000512372,-89.05673147999998,14.78851536,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,1,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022",30 Tierras de Cultivo y Pastos,32 Cultivos Arbóreos,"321 Café,325 Otros sistemas agroforestales o silvopastoriles",conflicto_tematico_subset
ventana_2018_2022,XY_000000535842,-88.98935783,14.27198408,Honduras,conflicto_tematico_xy,18,5,1,1,5,2,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022","40 Tierras Forestales,30 Tierras de Cultivo y Pastos","41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","414 Bosque seco o deciduo,331 Granos básicos y hortalizas  y otros",conflicto_tematico_subset
ventana_2018_2022,XY_000000552384,-88.94444206999998,14.40673137,Honduras,conflicto_tematico_xy,18,5,1,1,5,2,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022","30 Tierras de Cultivo y Pastos,10 Artificializado y otra tierras","33 Cultivos extensivos, Pastizales y matorrales,11 Urbano","332 Pastizales naturales y cultivados,110 Urbano",conflicto_tematico_subset
ventana_2018_2022,XY_000000552385,-88.94444206999998,14.42918925,Honduras,conflicto_tematico_xy,18,5,1,1,5,2,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022","40 Tierras Forestales,30 Tierras de Cultivo y Pastos","41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","414 Bosque seco o deciduo,331 Granos básicos y hortalizas  y otros",conflicto_tematico_subset
ventana_2018_2022,XY_000000552393,-88.94444206999998,14.60885231,Honduras,conflicto_tematico_xy,18,5,1,1,5,2,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022","40 Tierras Forestales,30 Tierras de Cultivo y Pastos","42 Bosque de coníferas,32 Cultivos Arbóreos","420 Bosque de coníferas,321 Café",conflicto_tematico_subset
ventana_2018_2022,XY_000000560750,-88.92198419,15.08046783,Honduras,conflicto_tematico_xy,18,5,1,1,5,2,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022","30 Tierras de Cultivo y Pastos,40 Tierras Forestales","33 Cultivos extensivos, Pastizales y matorrales,41 Bosque latifoliado y mixto","333 Matorrales (barbecho o en descanso),410 Bosque latifoliado y mixto",conflicto_tematico_subset
ventana_2018_2022,XY_000000584154,-88.85461053999998,14.27198408,Honduras,conflicto_tematico_xy,18,5,1,1,5,2,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022","40 Tierras Forestales,30 Tierras de Cultivo y Pastos","42 Bosque de coníferas,33 Cultivos extensivos, Pastizales y matorrales","420 Bosque de coníferas,332 Pastizales naturales y cultivados",conflicto_tematico_subset
ventana_2018_2022,XY_000000592188,-88.83215266,14.22706831,Honduras,conflicto_tematico_xy,18,5,1,1,5,2,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022","40 Tierras Forestales,10 Artificializado y otra tierras","42 Bosque de coníferas,11 Urbano","420 Bosque de coníferas,110 Urbano",conflicto_tematico_subset
ventana_2018_2022,XY_000000599757,-88.80969478,14.96817842,Honduras,conflicto_tematico_xy,18,5,1,1,5,2,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022","30 Tierras de Cultivo y Pastos,40 Tierras Forestales","33 Cultivos extensivos, Pastizales y matorrales,41 Bosque latifoliado y mixto","333 Matorrales (barbecho o en descanso),410 Bosque latifoliado y mixto",conflicto_tematico_subset
ventana_2018_2022,XY_000000607760,-88.78723689,14.31689984,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,1,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales","333 Matorrales (barbecho o en descanso),331 Granos básicos y hortalizas  y otros",conflicto_tematico_subset
ventana_2018_2022,XY_000000624039,-88.74232112999998,14.29444196,Honduras,conflicto_tematico_xy,18,5,1,1,5,2,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022","40 Tierras Forestales,30 Tierras de Cultivo y Pastos","41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","410 Bosque latifoliado y mixto,333 Matorrales (barbecho o en descanso)",conflicto_tematico_subset
ventana_2018_2022,XY_000000624066,-88.74232112999998,14.90080478,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,1,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022",30 Tierras de Cultivo y Pastos,32 Cultivos Arbóreos,"321 Café,325 Otros sistemas agroforestales o silvopastoriles",conflicto_tematico_subset
ventana_2018_2022,XY_000000632212,-88.71986325,14.87834689,Honduras,conflicto_tematico_xy,18,5,1,1,5,2,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022","40 Tierras Forestales,20 Tierras húmedas y agua","41 Bosque latifoliado y mixto,21 Cuerpos de Agua","410 Bosque latifoliado y mixto,210 Cuerpos de Agua",conflicto_tematico_subset
ventana_2018_2022,XY_000000632216,-88.71986325,14.96817842,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales,32 Cultivos Arbóreos","331 Granos básicos y hortalizas  y otros,321 Café",conflicto_tematico_subset
ventana_2018_2022,XY_000000632218,-88.71986325,15.01309419,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales,32 Cultivos Arbóreos","333 Matorrales (barbecho o en descanso),321 Café",conflicto_tematico_subset
ventana_2018_2022,XY_000000632230,-88.71986325,15.28258877,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,1,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales","331 Granos básicos y hortalizas  y otros,333 Matorrales (barbecho o en descanso)",conflicto_tematico_subset
ventana_2018_2022,XY_000000646573,-88.67494748,14.15969467,Honduras,conflicto_tematico_xy,18,5,1,1,5,2,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022","40 Tierras Forestales,30 Tierras de Cultivo y Pastos","41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","414 Bosque seco o deciduo,332 Pastizales naturales y cultivados",conflicto_tematico_subset
ventana_2018_2022,XY_000000646578,-88.67494748,14.27198408,Honduras,conflicto_tematico_xy,18,5,1,1,5,2,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022","40 Tierras Forestales,30 Tierras de Cultivo y Pastos","41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","414 Bosque seco o deciduo,331 Granos básicos y hortalizas  y otros",conflicto_tematico_subset
ventana_2018_2022,XY_000000646580,-88.67494748,14.31689984,Honduras,conflicto_tematico_xy,18,5,1,1,5,2,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022","30 Tierras de Cultivo y Pastos,40 Tierras Forestales","33 Cultivos extensivos, Pastizales y matorrales,41 Bosque latifoliado y mixto","333 Matorrales (barbecho o en descanso),414 Bosque seco o deciduo",conflicto_tematico_subset
ventana_2018_2022,XY_000000654037,-88.65248959999998,14.81097325,Honduras,conflicto_tematico_xy,18,5,1,1,5,2,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022","40 Tierras Forestales,30 Tierras de Cultivo y Pastos","41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","414 Bosque seco o deciduo,331 Granos básicos y hortalizas  y otros",conflicto_tematico_subset
ventana_2018_2022,XY_000000654053,-88.65248959999998,15.17029936,Honduras,conflicto_tematico_xy,18,5,1,1,5,2,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022","30 Tierras de Cultivo y Pastos,10 Artificializado y otra tierras","33 Cultivos extensivos, Pastizales y matorrales,11 Urbano","331 Granos básicos y hortalizas  y otros,110 Urbano",conflicto_tematico_subset
ventana_2018_2022,XY_000000660624,-88.63003172,14.4965629,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,1,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales","333 Matorrales (barbecho o en descanso),332 Pastizales naturales y cultivados",conflicto_tematico_subset
ventana_2018_2022,XY_000000668204,-88.60757384,15.23767301,Honduras,conflicto_tematico_xy,18,5,1,1,5,2,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022","30 Tierras de Cultivo y Pastos,40 Tierras Forestales","33 Cultivos extensivos, Pastizales y matorrales,41 Bosque latifoliado y mixto","333 Matorrales (barbecho o en descanso),410 Bosque latifoliado y mixto",conflicto_tematico_subset
ventana_2018_2022,XY_000000674260,-88.58511595999998,14.1147789,Honduras,conflicto_tematico_xy,18,5,1,1,5,2,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022","30 Tierras de Cultivo y Pastos,40 Tierras Forestales","33 Cultivos extensivos, Pastizales y matorrales,41 Bosque latifoliado y mixto","333 Matorrales (barbecho o en descanso),410 Bosque latifoliado y mixto",conflicto_tematico_subset
ventana_2018_2022,XY_000000682452,-88.56265807,14.00248949,Honduras,conflicto_tematico_xy,18,5,1,1,5,2,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022","30 Tierras de Cultivo y Pastos,10 Artificializado y otra tierras","33 Cultivos extensivos, Pastizales y matorrales,11 Urbano","333 Matorrales (barbecho o en descanso),110 Urbano",conflicto_tematico_subset
ventana_2018_2022,XY_000000682505,-88.56265807,15.19275724,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,1,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022",30 Tierras de Cultivo y Pastos,32 Cultivos Arbóreos,"321 Café,325 Otros sistemas agroforestales o silvopastoriles",conflicto_tematico_subset
ventana_2018_2022,XY_000000689474,-88.54020018999998,14.83343113,Honduras,conflicto_tematico_xy,18,5,1,1,5,2,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022","40 Tierras Forestales,30 Tierras de Cultivo y Pastos","41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","410 Bosque latifoliado y mixto,332 Pastizales naturales y cultivados",conflicto_tematico_subset
ventana_2018_2022,XY_000000689480,-88.54020018999998,14.96817842,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022",30 Tierras de Cultivo y Pastos,"32 Cultivos Arbóreos,33 Cultivos extensivos, Pastizales y matorrales","325 Otros sistemas agroforestales o silvopastoriles,332 Pastizales naturales y cultivados",conflicto_tematico_subset
ventana_2018_2022,XY_000000689493,-88.54020018999998,15.26013089,Honduras,conflicto_tematico_xy,18,5,1,1,5,2,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022","30 Tierras de Cultivo y Pastos,10 Artificializado y otra tierras","33 Cultivos extensivos, Pastizales y matorrales,11 Urbano","332 Pastizales naturales y cultivados,110 Urbano",conflicto_tematico_subset
ventana_2018_2022,XY_000000689497,-88.54020018999998,15.34996242,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,1,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales","331 Granos básicos y hortalizas  y otros,332 Pastizales naturales y cultivados",conflicto_tematico_subset
