subset,pais_grupo,class_level,clase_a,clase_b,tipo_conflicto,severidad_conflicto,n_grupos,n_registros,promedio_score,max_score
ventana_2018_2022,Costa Rica,Nivel_2,332 Pastizales naturales y cultivados,410 Bosque latifoliado y mixto,bosque_vs_no_bosque,muy_alta,815,1630,100.0,100
ventana_2018_2022,Honduras,Nivel_2,332 Pastizales naturales y cultivados,410 Bosque latifoliado y mixto,bosque_vs_no_bosque,alta,247,1235,84.0,84
ventana_2018_2022,Costa Rica,Nivel_2,332 Pastizales naturales y cultivados,910 Otras,conflicto_mismo_anio,muy_alta,364,728,100.0,100
ventana_2018_2022,Honduras,Nivel_2,333 Matorrales (barbecho o en descanso),410 Bosque latifoliado y mixto,bosque_vs_no_bosque,alta,83,415,84.0,84
ventana_2018_2022,Costa Rica,Nivel_2,410 Bosque latifoliado y mixto,910 Otras,bosque_vs_no_bosque,muy_alta,177,354,100.0,100
ventana_2018_2022,Costa Rica,Nivel_2,331 Granos básicos y hortalizas  y otros,332 Pastizales naturales y cultivados,conflicto_mismo_anio,alta,158,316,79.0,79
ventana_2018_2022,Costa Rica,Nivel_2,220 Humedales,410 Bosque latifoliado y mixto,bosque_vs_no_bosque,muy_alta,149,298,100.0,100
ventana_2018_2022,Costa Rica,Nivel_2,331 Granos básicos y hortalizas  y otros,410 Bosque latifoliado y mixto,bosque_vs_no_bosque,muy_alta,148,296,100.0,100
ventana_2018_2022,Costa Rica,Nivel_2,220 Humedales,332 Pastizales naturales y cultivados,conflicto_mismo_anio,muy_alta,122,244,94.0,94
ventana_2018_2022,Honduras,Nivel_2,333 Matorrales (barbecho o en descanso),414 Bosque seco o deciduo,bosque_vs_no_bosque,alta,35,175,84.0,84
ventana_2018_2022,Costa Rica,Nivel_2,331 Granos básicos y hortalizas  y otros,910 Otras,conflicto_mismo_anio,muy_alta,80,160,100.0,100
ventana_2018_2022,Honduras,Nivel_2,332 Pastizales naturales y cultivados,420 Bosque de coníferas,bosque_vs_no_bosque,alta,27,135,84.0,84
ventana_2018_2022,Costa Rica,Nivel_2,410 Bosque latifoliado y mixto,442 Plantaciones forestales,conflicto_mismo_anio,alta,62,124,79.0,79
