subset,xy_group_id,lon,lat,pais_grupo,tipo_grupo_original,n_registros_original,n_registros_conflicto,n_paises,n_fuentes,n_anios,n_nivel0,n_nivel1,n_nivel2,anio_min,anio_max,paises,fuentes,anios,valores_nivel_0,valores_nivel_1,valores_nivel_2,flag_conflicto_mismo_anio,flag_conflicto_multifuente_mismo_anio,max_fuentes_en_un_anio,max_nivel1_en_un_anio,max_nivel2_en_un_anio,flag_forestal,flag_no_forestal,flag_bosque_vs_no_bosque,flag_agropecuario,flag_residual_otras,flag_agua_humedal,tipo_conflicto,severidad_conflicto,recomendacion_operativa,score_prioridad_revision
ventana_2018_2022,XY_000000496118,-89.10164724,14.92326266,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,1,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2020,2018,2019,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales","331 Granos básicos y hortalizas  y otros,332 Pastizales naturales y cultivados",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000607760,-88.78723689,14.31689984,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,1,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2021,2022,2020",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales","333 Matorrales (barbecho o en descanso),331 Granos básicos y hortalizas  y otros",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000632216,-88.71986325,14.96817842,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales,32 Cultivos Arbóreos","331 Granos básicos y hortalizas  y otros,321 Café",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000632218,-88.71986325,15.01309419,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales,32 Cultivos Arbóreos","333 Matorrales (barbecho o en descanso),321 Café",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000632230,-88.71986325,15.28258877,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,1,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2020,2018,2019,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales","331 Granos básicos y hortalizas  y otros,333 Matorrales (barbecho o en descanso)",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000660624,-88.63003172,14.4965629,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,1,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2020,2018,2019,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales","333 Matorrales (barbecho o en descanso),332 Pastizales naturales y cultivados",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000689497,-88.54020018999998,15.34996242,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,1,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2020,2018,2019,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales","332 Pastizales naturales y cultivados,331 Granos básicos y hortalizas  y otros",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000697609,-88.51774231,14.76605748,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2020,2019,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales,32 Cultivos Arbóreos","333 Matorrales (barbecho o en descanso),321 Café",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000705087,-88.49528443,14.27198408,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2020,2018,2019,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales,32 Cultivos Arbóreos","333 Matorrales (barbecho o en descanso),321 Café",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000732582,-88.4054529,14.63131019,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2020,2019,2021,2022,2018",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales,32 Cultivos Arbóreos","333 Matorrales (barbecho o en descanso),321 Café",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
