subset,xy_group_id,lon,lat,pais_grupo,tipo_grupo_original,n_registros_original,n_registros_conflicto,n_paises,n_fuentes,n_anios,n_nivel0,n_nivel1,n_nivel2,anio_min,anio_max,paises,fuentes,anios,valores_nivel_0,valores_nivel_1,valores_nivel_2,flag_conflicto_mismo_anio,flag_conflicto_multifuente_mismo_anio,max_fuentes_en_un_anio,max_nivel1_en_un_anio,max_nivel2_en_un_anio,flag_forestal,flag_no_forestal,flag_bosque_vs_no_bosque,flag_agropecuario,flag_residual_otras,flag_agua_humedal,tipo_conflicto,severidad_conflicto,recomendacion_operativa,score_prioridad_revision
ventana_2018_2022,XY_000000984734,-85.8378401913,10.295601,Costa Rica,conflicto_tematico_xy,2,2,1,1,1,2,2,2,2021,2021,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,"40 Tierras Forestales,90 Otras","41 Bosque latifoliado y mixto,91 Otras","410 Bosque latifoliado y mixto,910 Otras",1,0,1,2,2,1,1,1,0,1,0,bosque_vs_no_bosque,muy_alta,revision_prioritaria_fotointerpretacion,100
ventana_2018_2022,XY_000000984746,-85.8375891913,10.2517446927,Costa Rica,conflicto_tematico_xy,2,2,1,1,1,2,2,2,2021,2021,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,"40 Tierras Forestales,90 Otras","41 Bosque latifoliado y mixto,91 Otras","410 Bosque latifoliado y mixto,910 Otras",1,0,1,2,2,1,1,1,0,1,0,bosque_vs_no_bosque,muy_alta,revision_prioritaria_fotointerpretacion,100
ventana_2018_2022,XY_000000984747,-85.8375891913,10.2521689999,Costa Rica,conflicto_tematico_xy,2,2,1,1,1,2,2,2,2021,2021,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,"30 Tierras de Cultivo y Pastos,90 Otras","33 Cultivos extensivos, Pastizales y matorrales,91 Otras","332 Pastizales naturales y cultivados,910 Otras",1,0,1,2,2,0,1,0,1,1,0,conflicto_mismo_anio,muy_alta,revision_prioritaria_fotointerpretacion,100
ventana_2018_2022,XY_000000984748,-85.8375891913,10.2525933066,Costa Rica,conflicto_tematico_xy,2,2,1,1,1,2,2,2,2021,2021,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,"40 Tierras Forestales,90 Otras","41 Bosque latifoliado y mixto,91 Otras","410 Bosque latifoliado y mixto,910 Otras",1,0,1,2,2,1,1,1,0,1,0,bosque_vs_no_bosque,muy_alta,revision_prioritaria_fotointerpretacion,100
ventana_2018_2022,XY_000000984755,-85.8374641913,10.2300286637,Costa Rica,conflicto_tematico_xy,2,2,1,1,1,2,2,2,2021,2021,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,"20 Tierras húmedas y agua,90 Otras","22 Humedales,91 Otras","220 Humedales,910 Otras",1,0,1,2,2,0,1,0,0,1,1,conflicto_mismo_anio,muy_alta,revision_prioritaria_fotointerpretacion,100
ventana_2018_2022,XY_000000984756,-85.8374641913,10.2304529999,Costa Rica,conflicto_tematico_xy,2,2,1,1,1,2,2,2,2021,2021,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,"20 Tierras húmedas y agua,90 Otras","22 Humedales,91 Otras","220 Humedales,910 Otras",1,0,1,2,2,0,1,0,0,1,1,conflicto_mismo_anio,muy_alta,revision_prioritaria_fotointerpretacion,100
ventana_2018_2022,XY_000000984757,-85.8374641913,10.2308773356,Costa Rica,conflicto_tematico_xy,2,2,1,1,1,2,2,2,2021,2021,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,"20 Tierras húmedas y agua,90 Otras","22 Humedales,91 Otras","220 Humedales,910 Otras",1,0,1,2,2,0,1,0,0,1,1,conflicto_mismo_anio,muy_alta,revision_prioritaria_fotointerpretacion,100
ventana_2018_2022,XY_000000984759,-85.83740899999998,10.295601,Costa Rica,conflicto_tematico_xy,2,2,1,1,1,2,2,2,2021,2021,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,"40 Tierras Forestales,90 Otras","41 Bosque latifoliado y mixto,91 Otras","410 Bosque latifoliado y mixto,910 Otras",1,0,1,2,2,1,1,1,0,1,0,bosque_vs_no_bosque,muy_alta,revision_prioritaria_fotointerpretacion,100
ventana_2018_2022,XY_000000984773,-85.837158,10.2517446927,Costa Rica,conflicto_tematico_xy,2,2,1,1,1,2,2,2,2021,2021,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,"40 Tierras Forestales,90 Otras","41 Bosque latifoliado y mixto,91 Otras","410 Bosque latifoliado y mixto,910 Otras",1,0,1,2,2,1,1,1,0,1,0,bosque_vs_no_bosque,muy_alta,revision_prioritaria_fotointerpretacion,100
ventana_2018_2022,XY_000000984775,-85.837158,10.2525933066,Costa Rica,conflicto_tematico_xy,2,2,1,1,1,2,2,2,2021,2021,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,"40 Tierras Forestales,90 Otras","41 Bosque latifoliado y mixto,91 Otras","410 Bosque latifoliado y mixto,910 Otras",1,0,1,2,2,1,1,1,0,1,0,bosque_vs_no_bosque,muy_alta,revision_prioritaria_fotointerpretacion,100
