subset,xy_group_id,anio,n_registros_anio,n_fuentes_anio,n_nivel0_anio,n_nivel1_anio,n_nivel2_anio,fuentes_anio,valores_nivel0_anio,valores_nivel1_anio,valores_nivel2_anio
ventana_2018_2022,XY_000000984734,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","40 Tierras Forestales,90 Otras","41 Bosque latifoliado y mixto,91 Otras","410 Bosque latifoliado y mixto,910 Otras"
ventana_2018_2022,XY_000000984746,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","40 Tierras Forestales,90 Otras","41 Bosque latifoliado y mixto,91 Otras","410 Bosque latifoliado y mixto,910 Otras"
ventana_2018_2022,XY_000000984747,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","30 Tierras de Cultivo y Pastos,90 Otras","33 Cultivos extensivos, Pastizales y matorrales,91 Otras","332 Pastizales naturales y cultivados,910 Otras"
ventana_2018_2022,XY_000000984748,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","40 Tierras Forestales,90 Otras","41 Bosque latifoliado y mixto,91 Otras","410 Bosque latifoliado y mixto,910 Otras"
ventana_2018_2022,XY_000000984755,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","20 Tierras húmedas y agua,90 Otras","22 Humedales,91 Otras","220 Humedales,910 Otras"
ventana_2018_2022,XY_000000984756,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","20 Tierras húmedas y agua,90 Otras","22 Humedales,91 Otras","220 Humedales,910 Otras"
ventana_2018_2022,XY_000000984757,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","20 Tierras húmedas y agua,90 Otras","22 Humedales,91 Otras","220 Humedales,910 Otras"
ventana_2018_2022,XY_000000984759,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","40 Tierras Forestales,90 Otras","41 Bosque latifoliado y mixto,91 Otras","410 Bosque latifoliado y mixto,910 Otras"
ventana_2018_2022,XY_000000984773,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","40 Tierras Forestales,90 Otras","41 Bosque latifoliado y mixto,91 Otras","410 Bosque latifoliado y mixto,910 Otras"
ventana_2018_2022,XY_000000984775,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","40 Tierras Forestales,90 Otras","41 Bosque latifoliado y mixto,91 Otras","410 Bosque latifoliado y mixto,910 Otras"
ventana_2018_2022,XY_000000984784,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","20 Tierras húmedas y agua,90 Otras","22 Humedales,91 Otras","220 Humedales,910 Otras"
ventana_2018_2022,XY_000000984785,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","20 Tierras húmedas y agua,90 Otras","22 Humedales,91 Otras","220 Humedales,910 Otras"
ventana_2018_2022,XY_000000984786,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","20 Tierras húmedas y agua,90 Otras","22 Humedales,91 Otras","220 Humedales,910 Otras"
ventana_2018_2022,XY_000000984815,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","30 Tierras de Cultivo y Pastos,90 Otras","33 Cultivos extensivos, Pastizales y matorrales,91 Otras","332 Pastizales naturales y cultivados,910 Otras"
ventana_2018_2022,XY_000000984826,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","20 Tierras húmedas y agua,90 Otras","22 Humedales,91 Otras","220 Humedales,910 Otras"
ventana_2018_2022,XY_000000984827,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","20 Tierras húmedas y agua,90 Otras","22 Humedales,91 Otras","220 Humedales,910 Otras"
ventana_2018_2022,XY_000000984828,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","20 Tierras húmedas y agua,90 Otras","22 Humedales,91 Otras","220 Humedales,910 Otras"
ventana_2018_2022,XY_000000985439,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","30 Tierras de Cultivo y Pastos,90 Otras","33 Cultivos extensivos, Pastizales y matorrales,91 Otras","332 Pastizales naturales y cultivados,910 Otras"
ventana_2018_2022,XY_000000985441,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","40 Tierras Forestales,90 Otras","41 Bosque latifoliado y mixto,91 Otras","410 Bosque latifoliado y mixto,910 Otras"
ventana_2018_2022,XY_000000985457,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","30 Tierras de Cultivo y Pastos,90 Otras","33 Cultivos extensivos, Pastizales y matorrales,91 Otras","332 Pastizales naturales y cultivados,910 Otras"
ventana_2018_2022,XY_000000985458,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","40 Tierras Forestales,90 Otras","41 Bosque latifoliado y mixto,91 Otras","410 Bosque latifoliado y mixto,910 Otras"
ventana_2018_2022,XY_000000985459,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","40 Tierras Forestales,90 Otras","41 Bosque latifoliado y mixto,91 Otras","410 Bosque latifoliado y mixto,910 Otras"
ventana_2018_2022,XY_000000985482,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","30 Tierras de Cultivo y Pastos,90 Otras","33 Cultivos extensivos, Pastizales y matorrales,91 Otras","332 Pastizales naturales y cultivados,910 Otras"
ventana_2018_2022,XY_000000985484,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","40 Tierras Forestales,90 Otras","41 Bosque latifoliado y mixto,91 Otras","410 Bosque latifoliado y mixto,910 Otras"
ventana_2018_2022,XY_000000986346,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","30 Tierras de Cultivo y Pastos,90 Otras","33 Cultivos extensivos, Pastizales y matorrales,91 Otras","331 Granos básicos y hortalizas  y otros,910 Otras"
ventana_2018_2022,XY_000000986347,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","30 Tierras de Cultivo y Pastos,90 Otras","33 Cultivos extensivos, Pastizales y matorrales,91 Otras","331 Granos básicos y hortalizas  y otros,910 Otras"
ventana_2018_2022,XY_000000986348,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","30 Tierras de Cultivo y Pastos,90 Otras","33 Cultivos extensivos, Pastizales y matorrales,91 Otras","331 Granos básicos y hortalizas  y otros,910 Otras"
ventana_2018_2022,XY_000000986349,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","30 Tierras de Cultivo y Pastos,90 Otras","33 Cultivos extensivos, Pastizales y matorrales,91 Otras","332 Pastizales naturales y cultivados,910 Otras"
ventana_2018_2022,XY_000000986350,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","30 Tierras de Cultivo y Pastos,90 Otras","33 Cultivos extensivos, Pastizales y matorrales,91 Otras","332 Pastizales naturales y cultivados,910 Otras"
ventana_2018_2022,XY_000000986351,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","40 Tierras Forestales,30 Tierras de Cultivo y Pastos","41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","410 Bosque latifoliado y mixto,332 Pastizales naturales y cultivados"
ventana_2018_2022,XY_000000986388,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","30 Tierras de Cultivo y Pastos,90 Otras","33 Cultivos extensivos, Pastizales y matorrales,91 Otras","331 Granos básicos y hortalizas  y otros,910 Otras"
ventana_2018_2022,XY_000000986389,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","30 Tierras de Cultivo y Pastos,90 Otras","33 Cultivos extensivos, Pastizales y matorrales,91 Otras","331 Granos básicos y hortalizas  y otros,910 Otras"
ventana_2018_2022,XY_000000986390,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","30 Tierras de Cultivo y Pastos,90 Otras","33 Cultivos extensivos, Pastizales y matorrales,91 Otras","331 Granos básicos y hortalizas  y otros,910 Otras"
ventana_2018_2022,XY_000000986433,2021,2,1,2,2,2,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","30 Tierras de Cultivo y Pastos,90 Otras","33 Cultivos extensivos, Pastizales y matorrales,91 Otras","331 Granos básicos y hortalizas  y otros,910 Otras"
