pais,clase,n_xy,n_registros,n_xy_regional,n_xy_pais_total,pct_clase_en_pais,estado_count,lectura_count,prioridad_count
Belice,410 Bosque latifoliado y mixto,0,0,223452,33319,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,223452
Nicaragua,410 Bosque latifoliado y mixto,0,0,223452,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,223452
Belice,321 Café,0,0,218517,33319,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,218517
México,321 Café,0,0,218517,2149,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,218517
Costa Rica,315 Otros cultivos intensivos no arbóreos,0,0,116818,133066,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,116818
Nicaragua,315 Otros cultivos intensivos no arbóreos,0,0,116818,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,116818
Costa Rica,313 Caña de azúcar,0,0,104159,133066,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,104159
México,313 Caña de azúcar,0,0,104159,2149,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,104159
Nicaragua,313 Caña de azúcar,0,0,104159,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,104159
El Salvador,311 Palma aceitera,0,0,77460,571610,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,77460
México,311 Palma aceitera,0,0,77460,2149,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,77460
Nicaragua,311 Palma aceitera,0,0,77460,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,77460
Costa Rica,333 Matorrales (barbecho o en descanso),0,0,55873,133066,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,55873
Nicaragua,333 Matorrales (barbecho o en descanso),0,0,55873,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,55873
Belice,325 Otros sistemas agroforestales o silvopastoriles,0,0,23196,33319,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,23196
Costa Rica,325 Otros sistemas agroforestales o silvopastoriles,0,0,23196,133066,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,23196
México,325 Otros sistemas agroforestales o silvopastoriles,0,0,23196,2149,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,23196
Nicaragua,325 Otros sistemas agroforestales o silvopastoriles,0,0,23196,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,23196
Belice,324 Hule,0,0,22488,33319,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,22488
Costa Rica,324 Hule,0,0,22488,133066,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,22488
El Salvador,324 Hule,0,0,22488,571610,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,22488
Honduras,324 Hule,0,0,22488,132683,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,22488
México,324 Hule,0,0,22488,2149,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,22488
Nicaragua,324 Hule,0,0,22488,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,22488
Panamá,324 Hule,0,0,22488,29187,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,22488
México,331 Granos básicos y hortalizas  y otros,0,0,22157,2149,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,22157
Nicaragua,331 Granos básicos y hortalizas  y otros,0,0,22157,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,22157
Costa Rica,312 Bananeras,0,0,17293,133066,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,17293
El Salvador,312 Bananeras,0,0,17293,571610,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,17293
México,312 Bananeras,0,0,17293,2149,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,17293
Nicaragua,312 Bananeras,0,0,17293,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,17293
Belice,112 Urbano discontinuo,0,0,17271,33319,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,17271
Costa Rica,112 Urbano discontinuo,0,0,17271,133066,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,17271
México,112 Urbano discontinuo,0,0,17271,2149,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,17271
Nicaragua,112 Urbano discontinuo,0,0,17271,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,17271
Panamá,112 Urbano discontinuo,0,0,17271,29187,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,17271
Belice,314 Piña,0,0,13453,33319,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,13453
El Salvador,314 Piña,0,0,13453,571610,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,13453
México,314 Piña,0,0,13453,2149,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,13453
Nicaragua,314 Piña,0,0,13453,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,13453
Costa Rica,420 Bosque de coníferas,0,0,11981,133066,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,11981
Nicaragua,420 Bosque de coníferas,0,0,11981,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,11981
Panamá,420 Bosque de coníferas,0,0,11981,29187,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,11981
Costa Rica,430 Manglares,0,0,11920,133066,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,11920
Nicaragua,430 Manglares,0,0,11920,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,11920
Honduras,411 Latifoliado maduro húmedo,0,0,11355,132683,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,11355
México,411 Latifoliado maduro húmedo,0,0,11355,2149,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,11355
Nicaragua,411 Latifoliado maduro húmedo,0,0,11355,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,11355
Belice,111 Urbano continuo,0,0,10995,33319,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,10995
Costa Rica,111 Urbano continuo,0,0,10995,133066,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,10995
Honduras,111 Urbano continuo,0,0,10995,132683,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,10995
México,111 Urbano continuo,0,0,10995,2149,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,10995
Nicaragua,111 Urbano continuo,0,0,10995,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,10995
Panamá,111 Urbano continuo,0,0,10995,29187,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,10995
Belice,323 Frutales,0,0,6518,33319,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,6518
México,323 Frutales,0,0,6518,2149,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,6518
Nicaragua,323 Frutales,0,0,6518,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,6518
Belice,910 Otras,0,0,5182,33319,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,5182
Guatemala,910 Otras,0,0,5182,209829,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,5182
Honduras,910 Otras,0,0,5182,132683,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,5182
México,910 Otras,0,0,5182,2149,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,5182
Nicaragua,910 Otras,0,0,5182,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,5182
El Salvador,220 Humedales,0,0,5162,571610,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,5162
Guatemala,412 Latifoliado secundario húmedo,0,0,4503,209829,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,4503
Honduras,412 Latifoliado secundario húmedo,0,0,4503,132683,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,4503
Nicaragua,412 Latifoliado secundario húmedo,0,0,4503,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,4503
Nicaragua,442 Plantaciones forestales,0,0,3238,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,3238
Honduras,443  Árboles fuera de bosque y otras áreas naturales,0,0,3037,132683,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,3037
México,443  Árboles fuera de bosque y otras áreas naturales,0,0,3037,2149,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,3037
Nicaragua,443  Árboles fuera de bosque y otras áreas naturales,0,0,3037,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,3037
Panamá,443  Árboles fuera de bosque y otras áreas naturales,0,0,3037,29187,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,3037
Costa Rica,121 Otros artificializado,0,0,2901,133066,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,2901
Guatemala,121 Otros artificializado,0,0,2901,209829,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,2901
México,121 Otros artificializado,0,0,2901,2149,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,2901
Nicaragua,121 Otros artificializado,0,0,2901,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,2901
México,210 Cuerpos de Agua,0,0,2385,2149,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,2385
México,"122 Suelo desnudo, arena, rocoso, lava, otros",0,0,2146,2149,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,2146
Nicaragua,"122 Suelo desnudo, arena, rocoso, lava, otros",0,0,2146,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,2146
Belice,414 Bosque seco o deciduo,0,0,1792,33319,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,1792
Costa Rica,414 Bosque seco o deciduo,0,0,1792,133066,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,1792
Guatemala,414 Bosque seco o deciduo,0,0,1792,209829,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,1792
Nicaragua,414 Bosque seco o deciduo,0,0,1792,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,1792
Panamá,414 Bosque seco o deciduo,0,0,1792,29187,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,1792
Costa Rica,423 Sabanas de pino,0,0,1461,133066,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,1461
El Salvador,423 Sabanas de pino,0,0,1461,571610,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,1461
Guatemala,423 Sabanas de pino,0,0,1461,209829,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,1461
Honduras,423 Sabanas de pino,0,0,1461,132683,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,1461
México,423 Sabanas de pino,0,0,1461,2149,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,1461
Nicaragua,423 Sabanas de pino,0,0,1461,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,1461
Panamá,423 Sabanas de pino,0,0,1461,29187,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,1461
El Salvador,110 Urbano,0,0,1052,571610,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,1052
Guatemala,110 Urbano,0,0,1052,209829,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,1052
Nicaragua,110 Urbano,0,0,1052,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,1052
Belice,413 Bosque Mixto (Lat-Coniferas),0,0,951,33319,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,951
Costa Rica,413 Bosque Mixto (Lat-Coniferas),0,0,951,133066,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,951
El Salvador,413 Bosque Mixto (Lat-Coniferas),0,0,951,571610,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,951
Nicaragua,413 Bosque Mixto (Lat-Coniferas),0,0,951,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,951
Panamá,413 Bosque Mixto (Lat-Coniferas),0,0,951,29187,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,951
Belice,322 Cacao,0,0,561,33319,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,561
Costa Rica,322 Cacao,0,0,561,133066,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,561
El Salvador,322 Cacao,0,0,561,571610,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,561
México,322 Cacao,0,0,561,2149,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,561
Nicaragua,322 Cacao,0,0,561,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,561
Panamá,322 Cacao,0,0,561,29187,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,561
Costa Rica,444 Regeneración forestal,0,0,542,133066,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,542
El Salvador,444 Regeneración forestal,0,0,542,571610,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,542
Guatemala,444 Regeneración forestal,0,0,542,209829,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,542
Honduras,444 Regeneración forestal,0,0,542,132683,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,542
México,444 Regeneración forestal,0,0,542,2149,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,542
Nicaragua,444 Regeneración forestal,0,0,542,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,542
Panamá,444 Regeneración forestal,0,0,542,29187,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,542
Belice,441 Masa arbórea ribereña,0,0,339,33319,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,339
Costa Rica,441 Masa arbórea ribereña,0,0,339,133066,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,339
Honduras,441 Masa arbórea ribereña,0,0,339,132683,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,339
México,441 Masa arbórea ribereña,0,0,339,2149,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,339
Nicaragua,441 Masa arbórea ribereña,0,0,339,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,339
Panamá,441 Masa arbórea ribereña,0,0,339,29187,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,339
Costa Rica,212 Cuerpos de agua artificial,0,0,69,133066,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,69
Guatemala,212 Cuerpos de agua artificial,0,0,69,209829,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,69
Honduras,212 Cuerpos de agua artificial,0,0,69,132683,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,69
México,212 Cuerpos de agua artificial,0,0,69,2149,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,69
Nicaragua,212 Cuerpos de agua artificial,0,0,69,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,69
Panamá,212 Cuerpos de agua artificial,0,0,69,29187,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,69
Belice,211 Cuerpos de agua natural,0,0,37,33319,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,37
Costa Rica,211 Cuerpos de agua natural,0,0,37,133066,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,37
El Salvador,211 Cuerpos de agua natural,0,0,37,571610,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,37
Honduras,211 Cuerpos de agua natural,0,0,37,132683,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,37
México,211 Cuerpos de agua natural,0,0,37,2149,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,37
Nicaragua,211 Cuerpos de agua natural,0,0,37,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,37
Panamá,211 Cuerpos de agua natural,0,0,37,29187,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,37
Belice,445 Bosque de Palmas,0,0,14,33319,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,14
Costa Rica,445 Bosque de Palmas,0,0,14,133066,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,14
El Salvador,445 Bosque de Palmas,0,0,14,571610,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,14
Guatemala,445 Bosque de Palmas,0,0,14,209829,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,14
Honduras,445 Bosque de Palmas,0,0,14,132683,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,14
Nicaragua,445 Bosque de Palmas,0,0,14,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,14
Nicaragua,321 Café,1,1,218517,7,14.286,baja cantidad de puntos critica,baja cantidad de puntos,199
Guatemala,411 Latifoliado maduro húmedo,1,1,11355,209829,0.0,baja cantidad de puntos critica,baja cantidad de puntos,199
Nicaragua,220 Humedales,1,1,5162,7,14.286,baja cantidad de puntos critica,baja cantidad de puntos,199
Guatemala,442 Plantaciones forestales,1,1,3238,209829,0.0,baja cantidad de puntos critica,baja cantidad de puntos,199
Guatemala,441 Masa arbórea ribereña,1,1,339,209829,0.0,baja cantidad de puntos critica,baja cantidad de puntos,199
Nicaragua,332 Pastizales naturales y cultivados,2,6,111572,7,28.571,baja cantidad de puntos critica,baja cantidad de puntos,198
Panamá,910 Otras,2,2,5182,29187,0.007,baja cantidad de puntos critica,baja cantidad de puntos,198
Panamá,323 Frutales,3,3,6518,29187,0.01,baja cantidad de puntos critica,baja cantidad de puntos,197
Nicaragua,210 Cuerpos de Agua,3,15,2385,7,42.857,baja cantidad de puntos critica,baja cantidad de puntos,197
Honduras,322 Cacao,3,15,561,132683,0.002,baja cantidad de puntos critica,baja cantidad de puntos,197
México,442 Plantaciones forestales,4,4,3238,2149,0.186,baja cantidad de puntos critica,baja cantidad de puntos,196
Panamá,"122 Suelo desnudo, arena, rocoso, lava, otros",4,4,2146,29187,0.014,baja cantidad de puntos critica,baja cantidad de puntos,196
