lon,lat,year_ref,records,n_unique_class_code,n_unique_class_group_code,n_unique_class_name,n_unique_class_group_name,class_codes,class_group_codes,class_names,class_group_names
-85.760816,10.180206,2021,2,2,2,2,2,315 | 412,31 | 41,Latifoliado secundario húmedo | Otros cultivos intensivos no arbóreos,Bosque latifoliado y mixto | Cultivos intensivos No-Arbóreos
-85.73042,10.408388,2021,2,2,2,2,2,315 | 412,31 | 41,Latifoliado secundario húmedo | Otros cultivos intensivos no arbóreos,Bosque latifoliado y mixto | Cultivos intensivos No-Arbóreos
-85.691116,10.162477,2021,2,2,2,2,2,315 | 412,31 | 41,Latifoliado secundario húmedo | Otros cultivos intensivos no arbóreos,Bosque latifoliado y mixto | Cultivos intensivos No-Arbóreos
-85.67234,10.202387,2021,2,2,2,2,2,315 | 412,31 | 41,Latifoliado secundario húmedo | Otros cultivos intensivos no arbóreos,Bosque latifoliado y mixto | Cultivos intensivos No-Arbóreos
-85.666371,10.271188,2021,2,2,2,2,2,315 | 412,31 | 41,Latifoliado secundario húmedo | Otros cultivos intensivos no arbóreos,Bosque latifoliado y mixto | Cultivos intensivos No-Arbóreos
-85.629592,10.503024,2021,2,2,2,2,2,315 | 412,31 | 41,Latifoliado secundario húmedo | Otros cultivos intensivos no arbóreos,Bosque latifoliado y mixto | Cultivos intensivos No-Arbóreos
-85.628727,10.336531,2021,2,2,2,2,2,315 | 412,31 | 41,Latifoliado secundario húmedo | Otros cultivos intensivos no arbóreos,Bosque latifoliado y mixto | Cultivos intensivos No-Arbóreos
-85.616176,10.358312,2021,2,2,2,2,2,315 | 412,31 | 41,Latifoliado secundario húmedo | Otros cultivos intensivos no arbóreos,Bosque latifoliado y mixto | Cultivos intensivos No-Arbóreos
-85.609899,10.369202,2021,2,2,2,2,2,315 | 412,31 | 41,Latifoliado secundario húmedo | Otros cultivos intensivos no arbóreos,Bosque latifoliado y mixto | Cultivos intensivos No-Arbóreos
-85.609825,10.354724,2021,2,2,2,2,2,315 | 412,31 | 41,Latifoliado secundario húmedo | Otros cultivos intensivos no arbóreos,Bosque latifoliado y mixto | Cultivos intensivos No-Arbóreos
-85.596652,10.253441,2021,2,2,2,2,2,315 | 412,31 | 41,Latifoliado secundario húmedo | Otros cultivos intensivos no arbóreos,Bosque latifoliado y mixto | Cultivos intensivos No-Arbóreos
-85.526251,10.090891,2021,2,2,2,2,2,315 | 412,31 | 41,Latifoliado secundario húmedo | Otros cultivos intensivos no arbóreos,Bosque latifoliado y mixto | Cultivos intensivos No-Arbóreos
-85.519907,10.087301,2021,2,2,2,2,2,315 | 412,31 | 41,Latifoliado secundario húmedo | Otros cultivos intensivos no arbóreos,Bosque latifoliado y mixto | Cultivos intensivos No-Arbóreos
-85.476773,10.337263,2021,2,2,2,2,2,315 | 412,31 | 41,Latifoliado secundario húmedo | Otros cultivos intensivos no arbóreos,Bosque latifoliado y mixto | Cultivos intensivos No-Arbóreos
-85.476035,10.177996,2021,2,2,2,2,2,315 | 412,31 | 41,Latifoliado secundario húmedo | Otros cultivos intensivos no arbóreos,Bosque latifoliado y mixto | Cultivos intensivos No-Arbóreos
-85.431493,10.123895,2021,2,2,2,2,2,315 | 412,31 | 41,Latifoliado secundario húmedo | Otros cultivos intensivos no arbóreos,Bosque latifoliado y mixto | Cultivos intensivos No-Arbóreos
-85.400792,10.337602,2021,2,2,2,2,2,412 | 430,41 | 43,Latifoliado secundario húmedo | Manglares,Bosque latifoliado y mixto | Manglares
-85.400123,10.185569,2021,2,2,2,2,2,315 | 412,31 | 41,Latifoliado secundario húmedo | Otros cultivos intensivos no arbóreos,Bosque latifoliado y mixto | Cultivos intensivos No-Arbóreos
-85.363208,10.431882,2021,2,2,2,2,2,220 | 315,22 | 31,Humedales | Otros cultivos intensivos no arbóreos,Cultivos intensivos No-Arbóreos | Humedales
