source_rowid,xy_group_id,lon,lat,anio,pais,id_fuente,fuente,tipo_fuente,detalle_tipo_fuente,id_origen,score_directitud,score_trazabilidad,score_consistencia_temporal_fuente,score_fuente_base,flag_anio_fuente_informado,flag_anio_fuente_consistente,flag_nombre_fuente_inconsistente,flag_tipo_fuente_inconsistente,flag_pais_fuente_inconsistente,nivel_0,nivel_1,nivel_2,conf_integrada,conf_integrada_score_observado,conf_integrada_observada,score_temporal_registro,estado_registro_scoring,geometry
1,SRC10_CRI_2021_A1__XY__00018406f5af,-85.594669,10.278788,2021,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,SRC10_CRI_2021_A1__XY__00018406f5af,85.0,85.0,100.0,85.0,1,1,0,0,0,Tierras de Cultivo y Pastos,Cultivos intensivos No-Arbóreos,Otros cultivos intensivos no arbóreos,94.75,0.0,0,100.0,datos_para_entrenamiento,POINT (-85.59466879133855 10.278787901371)
2,SRC10_CRI_2021_A1__XY__0004139993bb,-85.206764,10.379415,2021,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,SRC10_CRI_2021_A1__XY__0004139993bb,85.0,85.0,100.0,85.0,1,1,0,0,0,Tierras de Cultivo y Pastos,Cultivos intensivos No-Arbóreos,Otros cultivos intensivos no arbóreos,94.75,0.0,0,100.0,datos_para_entrenamiento,POINT (-85.20676377554635 10.37941537436333)
3,SRC10_CRI_2021_A1__XY__000746bfbec2,-85.476908,10.366221,2021,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,SRC10_CRI_2021_A1__XY__000746bfbec2,85.0,85.0,100.0,85.0,1,1,0,0,0,Tierras de Cultivo y Pastos,Cultivos intensivos No-Arbóreos,Otros cultivos intensivos no arbóreos,94.75,0.0,0,100.0,datos_para_entrenamiento,POINT (-85.47690839125075 10.366220610331574)
4,SRC10_CRI_2021_A1__XY__00098bd3a706,-85.636019,10.272183,2021,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,SRC10_CRI_2021_A1__XY__00098bd3a706,85.0,85.0,100.0,85.0,1,1,0,0,0,Artificializado y otra tierras,Urbano,Urbano,94.75,0.0,0,100.0,datos_para_entrenamiento,POINT (-85.63601912062927 10.272182800198637)
5,SRC10_CRI_2021_A1__XY__0009bf416b71,-85.380173,10.448702,2021,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,SRC10_CRI_2021_A1__XY__0009bf416b71,85.0,85.0,100.0,85.0,1,1,0,0,0,Tierras de Cultivo y Pastos,Cultivos intensivos No-Arbóreos,Otros cultivos intensivos no arbóreos,94.75,0.0,0,100.0,datos_para_entrenamiento,POINT (-85.38017291693066 10.448701602092422)
6,SRC10_CRI_2021_A1__XY__000c3bd1f211,-85.261651,10.379204,2021,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,SRC10_CRI_2021_A1__XY__000c3bd1f211,85.0,85.0,100.0,85.0,1,1,0,0,0,Tierras de Cultivo y Pastos,Cultivos intensivos No-Arbóreos,Otros cultivos intensivos no arbóreos,94.75,0.0,0,100.0,datos_para_entrenamiento,POINT (-85.2616508530874 10.379204404181246)
7,SRC10_CRI_2021_A1__XY__000d920872ee,-85.743224,10.52708,2021,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,SRC10_CRI_2021_A1__XY__000d920872ee,85.0,85.0,100.0,85.0,1,1,0,0,0,Tierras Forestales,Bosque latifoliado y mixto,Bosque seco o deciduo,94.75,0.0,0,100.0,datos_para_entrenamiento,POINT (-85.74322410315027 10.52707987945694)
8,SRC10_CRI_2021_A1__XY__001095176f31,-85.71275,10.263708,2021,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,SRC10_CRI_2021_A1__XY__001095176f31,85.0,85.0,100.0,85.0,1,1,0,0,0,Tierras de Cultivo y Pastos,Cultivos intensivos No-Arbóreos,Otros cultivos intensivos no arbóreos,94.75,0.0,0,100.0,datos_para_entrenamiento,POINT (-85.71274953520565 10.26370778212184)
9,SRC10_CRI_2021_A1__XY__0011c53519bb,-85.546984,10.451556,2021,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,SRC10_CRI_2021_A1__XY__0011c53519bb,85.0,85.0,100.0,85.0,1,1,0,0,0,Tierras de Cultivo y Pastos,Cultivos intensivos No-Arbóreos,Otros cultivos intensivos no arbóreos,94.75,0.0,0,100.0,datos_para_entrenamiento,POINT (-85.54698391526126 10.451556058968341)
10,SRC10_CRI_2021_A1__XY__00120e743cb8,-85.211322,10.471023,2021,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,SRC10_CRI_2021_A1__XY__00120e743cb8,85.0,85.0,100.0,85.0,1,1,0,0,0,Artificializado y otra tierras,Urbano,Urbano,94.75,0.0,0,100.0,datos_para_entrenamiento,POINT (-85.2113220380307 10.47102266634377)
