original_record_row_id,extract_id,id_registro,id_muestra_original,xy_group_id,xy_year_group_id,xy_class_group_id,Longitud,Latitud,Pais_es,Pais_cod3,Fuente,id_fuente,Año,Clase,GranClase,nombre_clase,nombre_gran_clase,n_records_extract_unit,s2_n_month_rows,s2_year_ref,s2_year_extraction,s2yr_months_obs,s2yr_months_zero_obs,s2yr_obs_total,s2yr_obs_mean,s2yr_obs_median,s2yr_cloudprob_median,s2yr_cloudprob_mean,s2yr_ndvi_mean,s2yr_ndvi_median,s2yr_ndvi_min,s2yr_ndvi_max,s2yr_ndvi8a_mean,s2yr_ndvi8a_median,s2yr_ndvi8a_min,s2yr_ndvi8a_max,s2yr_ndre_mean,s2yr_ndre_median,s2yr_ndre_min,s2yr_ndre_max,geometry,audit_country,audit_source,audit_year,level_1_code,level_2_code,n_nivel1,n_nivel2,n_registros,n_paises,n_fuentes,tipo_grupo_xy,level_0_code,level_0_name,level_1_name_ref,level_2_name_ref,expected_signal_group,flag_no_spectral_data,flag_low_months_obs,flag_low_total_obs,flag_high_cloudprob,flag_vegetation_low_ndvi,flag_vegetation_low_ndre,flag_nonvegetation_high_ndvi,flag_prior_xy_conflict,flag_multiple_level1_xy,flag_multiple_level2_xy,flag_ndvi_rare_by_class_country_year,flag_ndre_rare_by_class_country_year,flag_rare_spectral_value,spectral_alert_count,spectral_alert_level,recommended_action,flag_spectral_class_review,audit_scope,audit_interpretation
1,S2SR_llenado_SRC10_000007589,SRC10_0000001,604,SRC10_CRI_2021_A1__XY__4919ffb85de7,SRC10_CRI_2021_A1__XYY__526b73b98034,SRC10_CRI_2021_A1__XYC__c5ce4f324582,-85.540825,10.167554,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,2021,16,16,Edificaciones,Edificaciones,1,12,2021.0,2021.0,12,0,35,2.9166666666666665,3.0,3.0,6.416666666666667,0.5429495251159019,0.5546833878355795,0.3653582212462256,0.7085972850678732,0.5783778377460186,0.5833856278089142,0.4093891973750631,0.7618343195266272,0.39374792634303285,0.4016922304215122,0.2702456778889899,0.541747572815534,POINT (-85.54082465485972 10.16755371839069),Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,16,16,1,1,1,1,1,xy_unico_en_subset,,,,,sin_regla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_alerta,Sin alerta preliminar,0,Módulo 09 - auditoría espectral preliminar por clase,Alerta exploratoria; no constituye validación temática definitiva
2,S2SR_llenado_SRC10_000002569,SRC10_0000002,605,SRC10_CRI_2021_A1__XY__93eee689ea35,SRC10_CRI_2021_A1__XYY__74120204fb2b,SRC10_CRI_2021_A1__XYC__3f25abfa1659,-85.691296,10.167468,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,2021,16,16,Edificaciones,Edificaciones,1,12,2021.0,2021.0,12,0,39,3.25,3.0,3.0,6.333333333333333,0.6166812118863086,0.6525881219845238,0.3591874422899354,0.7705667276051188,0.6487381635170286,0.6858556395332783,0.4128595600676819,0.7864738409187579,0.48068778186941535,0.512174066974589,0.2836185819070904,0.6003048199657078,POINT (-85.69129629468121 10.167468335618775),Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,16,16,1,1,1,1,1,xy_unico_en_subset,,,,,sin_regla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_alerta,Sin alerta preliminar,0,Módulo 09 - auditoría espectral preliminar por clase,Alerta exploratoria; no constituye validación temática definitiva
3,S2SR_llenado_SRC10_000007345,SRC10_0000003,606,SRC10_CRI_2021_A1__XY__2e0105bcbd18,SRC10_CRI_2021_A1__XYY__58a82fb9c28a,SRC10_CRI_2021_A1__XYC__c0a7553b5677,-85.546768,10.170073,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,2021,16,16,Edificaciones,Edificaciones,1,12,2021.0,2021.0,12,0,37,3.0833333333333335,3.5,2.75,7.5,0.5676323818768767,0.5788522998357248,0.316193510210944,0.7598719316969051,0.5940438174172861,0.6248007978943062,0.3438207569513523,0.7787610619469028,0.4275901374816839,0.4411393624823387,0.2150180663890398,0.5578040904198062,POINT (-85.54676756702399 10.170073451496476),Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,16,16,1,1,1,1,1,xy_unico_en_subset,,,,,sin_regla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_alerta,Sin alerta preliminar,0,Módulo 09 - auditoría espectral preliminar por clase,Alerta exploratoria; no constituye validación temática definitiva
4,S2SR_llenado_SRC10_000007657,SRC10_0000004,607,SRC10_CRI_2021_A1__XY__95ab7c5e61e1,SRC10_CRI_2021_A1__XYY__f4283ac1d80b,SRC10_CRI_2021_A1__XYC__2444f05d7c77,-85.539242,10.168768,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,2021,16,16,Edificaciones,Edificaciones,1,12,2021.0,2021.0,12,0,35,2.9166666666666665,3.0,2.5,4.5,0.6471290978882643,0.689042002060213,0.4106029106029106,0.8043567612001643,0.6675000032245793,0.7087167252999049,0.4468582106984349,0.8193205541848547,0.43369727604825875,0.4586085749182772,0.2729262420660976,0.5648057460006529,POINT (-85.53924226880828 10.168768039389253),Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,16,16,1,1,1,1,1,xy_unico_en_subset,,,,,sin_regla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_alerta,Sin alerta preliminar,0,Módulo 09 - auditoría espectral preliminar por clase,Alerta exploratoria; no constituye validación temática definitiva
5,S2SR_llenado_SRC10_000008383,SRC10_0000005,608,SRC10_CRI_2021_A1__XY__72f59dde4924,SRC10_CRI_2021_A1__XYY__c8ad6fc4a375,SRC10_CRI_2021_A1__XYC__fcbe68bf92c2,-85.524773,10.168804,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,2021,16,16,Edificaciones,Edificaciones,1,12,2021.0,2021.0,12,0,35,2.9166666666666665,3.0,2.0,7.708333333333333,0.7319944789719611,0.7498292816306855,0.5388925510876732,0.8506677458518819,0.7522791440961717,0.7669106692643969,0.5796905512993841,0.8651562214507582,0.523719406801638,0.5508408401513999,0.4243532439387782,0.5975345660503082,POINT (-85.52477325989099 10.168804477956758),Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,16,16,1,1,1,1,1,xy_unico_en_subset,,,,,sin_regla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_alerta,Sin alerta preliminar,0,Módulo 09 - auditoría espectral preliminar por clase,Alerta exploratoria; no constituye validación temática definitiva
6,S2SR_llenado_SRC10_000007555,SRC10_0000006,609,SRC10_CRI_2021_A1__XY__5656aa1e03db,SRC10_CRI_2021_A1__XYY__a0aa2e42eca6,SRC10_CRI_2021_A1__XYC__27b43e462e5f,-85.541733,10.169004,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,2021,16,16,Edificaciones,Edificaciones,1,12,2021.0,2021.0,12,0,32,2.6666666666666665,3.0,1.0,5.958333333333333,0.6947232161113744,0.7495662030545751,0.3229022856266298,0.8430594900849858,0.7222413665606474,0.773589836875066,0.3717620267577569,0.856290531776913,0.5219233262536745,0.5303572727346194,0.2656598818122128,0.6285844333181612,POINT (-85.54173266364346 10.169003982669562),Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,16,16,1,1,1,1,1,xy_unico_en_subset,,,,,sin_regla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_alerta,Sin alerta preliminar,0,Módulo 09 - auditoría espectral preliminar por clase,Alerta exploratoria; no constituye validación temática definitiva
7,S2SR_llenado_SRC10_000007999,SRC10_0000007,610,SRC10_CRI_2021_A1__XY__1fc159d0000a,SRC10_CRI_2021_A1__XYY__96a03278543f,SRC10_CRI_2021_A1__XYC__8a4651811448,-85.532176,10.169386,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,2021,16,16,Edificaciones,Edificaciones,1,12,2021.0,2021.0,12,0,38,3.1666666666666665,3.5,3.25,10.291666666666666,0.663131049546072,0.6678182491471378,0.4764241519095371,0.779482761525755,0.674132006210626,0.684385438411065,0.5086103323988785,0.7990189484522385,0.47590842453344534,0.47886669821573974,0.3703413108512374,0.5755389581172654,POINT (-85.53217576726915 10.169386479061158),Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,16,16,1,1,1,1,1,xy_unico_en_subset,,,,,sin_regla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_alerta,Sin alerta preliminar,0,Módulo 09 - auditoría espectral preliminar por clase,Alerta exploratoria; no constituye validación temática definitiva
8,S2SR_llenado_SRC10_000002594,SRC10_0000008,611,SRC10_CRI_2021_A1__XY__308cddbea8db,SRC10_CRI_2021_A1__XYY__178e58ac2a0a,SRC10_CRI_2021_A1__XYC__65024d9f2b78,-85.69088,10.168953,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,2021,16,16,Edificaciones,Edificaciones,1,12,2021.0,2021.0,12,0,39,3.25,3.0,1.5,3.5833333333333335,0.7539574581447034,0.7482952073399676,0.6759729314985787,0.8461920119077153,0.7777627933044514,0.7688897779185622,0.7057169215919712,0.8592827961870179,0.5535992887768091,0.5552434390720044,0.477061908908949,0.6210084033613446,POINT (-85.69088020454447 10.168952654410386),Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,16,16,1,1,1,1,1,xy_unico_en_subset,,,,,sin_regla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_alerta,Sin alerta preliminar,0,Módulo 09 - auditoría espectral preliminar por clase,Alerta exploratoria; no constituye validación temática definitiva
9,S2SR_llenado_SRC10_000007552,SRC10_0000009,612,SRC10_CRI_2021_A1__XY__0e4b7e221031,SRC10_CRI_2021_A1__XYY__cc04613ecc7f,SRC10_CRI_2021_A1__XYC__a1eac0e74e52,-85.542182,10.169739,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,2021,16,16,Edificaciones,Edificaciones,1,12,2021.0,2021.0,12,0,34,2.8333333333333335,3.0,2.5,5.166666666666667,0.4130490442436976,0.42173358937811023,0.2861538461538461,0.5545818251095447,0.4461570789338725,0.46255453211686626,0.3116152802016675,0.5883802816901408,0.3302208090227101,0.3354053262452543,0.2511794678241177,0.4173862982153137,POINT (-85.54218151853112 10.16973939681885),Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,16,16,1,1,1,1,1,xy_unico_en_subset,,,,,sin_regla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_alerta,Sin alerta preliminar,0,Módulo 09 - auditoría espectral preliminar por clase,Alerta exploratoria; no constituye validación temática definitiva
10,S2SR_llenado_SRC10_000002832,SRC10_0000010,613,SRC10_CRI_2021_A1__XY__bc3f769a9001,SRC10_CRI_2021_A1__XYY__56eeb03c372d,SRC10_CRI_2021_A1__XYC__47fb6769accc,-85.683372,10.169215,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,2021,16,16,Edificaciones,Edificaciones,1,12,2021.0,2021.0,12,0,37,3.0833333333333335,2.5,0.75,1.125,0.8317801884971185,0.8551263955173951,0.7107988674552141,0.8980372164160081,0.8384437050443113,0.8603786585067184,0.709074025736342,0.9061473486625996,0.5912943386503224,0.6179370207542907,0.4731997834325934,0.6586361780318497,POINT (-85.68337155748165 10.1692149253856),Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,16,16,1,1,1,1,1,xy_unico_en_subset,,,,,sin_regla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_alerta,Sin alerta preliminar,0,Módulo 09 - auditoría espectral preliminar por clase,Alerta exploratoria; no constituye validación temática definitiva
