xy_group_id,n_extract_units_spectral,n_spectral_rows,spectral_severity_order_max,spectral_alert_count_sum,pct_extract_units_sin_alerta,pct_extract_units_alerta_baja,pct_extract_units_alerta_media,pct_extract_units_alerta_alta,pct_extract_units_baja_disponibilidad,pct_extract_units_sin_datos,pct_extract_units_revision_espectral,s2yr_months_obs_median,s2yr_obs_total_median,s2yr_obs_mean_median,s2yr_cloudprob_median,s2yr_ndvi_mean,s2yr_ndvi_median,s2yr_ndvi8a_mean,s2yr_ndvi8a_median,s2yr_ndre_mean,s2yr_ndre_median,spectral_alert_level_max,score_espectral
SRC10_CRI_2021_A1__XY__00018406f5af,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,45.0,3.75,2.5,0.7052439245135237,0.7044966558524304,0.7258617382709524,0.7336544452409416,0.5193697959887947,0.5178758246769128,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__0004139993bb,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,45.0,3.75,2.25,0.6406889544154107,0.7857730024215539,0.6636111856412208,0.8024603063497869,0.4970850042663548,0.6196015591558074,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__000746bfbec2,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,41.0,3.4166666666666665,2.0,0.5816473976682529,0.6124838371782426,0.6226426586609849,0.6563176459549958,0.40208503882049856,0.42555511777353017,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__00098bd3a706,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,38.0,3.1666666666666665,4.0,0.681753329449664,0.7588636923566008,0.7010055264561491,0.771873630616593,0.49098709984402084,0.5343812850697052,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__0009bf416b71,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,40.0,3.3333333333333335,2.5,0.6241593366981693,0.6154229064334491,0.6495490257760007,0.6441477846731131,0.45521842508564275,0.465893202148966,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__000c3bd1f211,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,37.0,3.0833333333333335,4.0,0.6545000790115745,0.712272034554051,0.6789142818694763,0.7359848842012603,0.4964705525253828,0.5239648195464619,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__000d920872ee,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,39.0,3.25,1.0,0.7955677088429031,0.8411041558091351,0.8129206780789243,0.8542329532900261,0.5923710470091964,0.6326908781351737,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__001095176f31,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,46.0,3.8333333333333335,2.75,0.7034872028385658,0.7514484849597842,0.7249069678313279,0.7613847949182817,0.4945609898666677,0.5242397811255783,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__0011c53519bb,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,39.0,3.25,4.25,0.6511029870181154,0.7311789592646794,0.6740556949405977,0.7522277276248164,0.49668883736266195,0.5455415885194366,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__00120e743cb8,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,40.0,3.3333333333333335,10.75,0.5359302268432579,0.5596460828533252,0.5638689724895664,0.5883348909650634,0.39888784350212964,0.41989774439350785,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__00124cdfeec5,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,36.0,3.0,1.0,0.8115641916468459,0.8452620666631525,0.8281213275716947,0.8594629988392395,0.5968567771672293,0.603107083410394,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__0015cfe4d540,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,25.0,2.0833333333333335,3.0,0.025180063318339135,0.02661957670514435,0.00885704881140337,0.0023688093185859505,0.02906695260509293,0.02642424995500205,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__0017d4dea2df,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,39.0,3.25,2.75,0.2861643733986203,0.269224054051133,0.347752830653183,0.3270856968267449,0.2791728380488923,0.2773953897446374,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__00183809bf8e,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,37.0,3.0833333333333335,12.0,0.31048560496480904,0.2706483590622406,0.35102679387191665,0.3034489602065194,0.23133069880514545,0.1875947198212822,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__001922478ffa,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,45.0,3.75,2.0,0.6130268567261338,0.6245520305482748,0.638406036771399,0.6380984671983193,0.4170654903633914,0.4183326980005022,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__001d4d0f9aa1,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,41.0,3.4166666666666665,1.0,0.7260889459186327,0.7966176768020647,0.7466032630083733,0.8091589697534742,0.48812356542332824,0.5153264027662432,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__002a57e8964d,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,37.0,3.0833333333333335,1.0,0.7885098900838406,0.8441271369952371,0.8077777613198941,0.8603991903833208,0.5608971702720292,0.6069959567988746,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__002cb0ca547e,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,41.0,3.4166666666666665,2.25,0.5283280994184872,0.477703919059248,0.5682021390870573,0.5461849080995009,0.38405730359216944,0.38320360237023,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__003015955f5f,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,41.0,3.4166666666666665,5.5,0.3184681137163886,0.23011672532573912,0.37180369017253295,0.2972021268569647,0.225504756779586,0.1852582105484815,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__00318c6773bb,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,42.0,3.5,1.0,0.7452658018099307,0.829200502691283,0.769029927717909,0.8451551668330051,0.5487985215955884,0.6024085194436255,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__0031fb609e5b,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,43.0,3.5833333333333335,3.0,0.44537627584168554,0.3607992681231065,0.48914236208137396,0.41518815570948264,0.30227609466837563,0.27518599088318424,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__00357dde3aa3,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,38.0,3.1666666666666665,4.0,0.5469383622323551,0.5897080924662702,0.5773623977608091,0.6183490283431393,0.3734925306247678,0.3884104702662363,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__003875680115,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,37.0,3.0833333333333335,4.0,0.5286993485775277,0.5470578559229535,0.560449916872713,0.5709994353418711,0.3679487621179227,0.3311261636437952,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__0039cda044ef,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,45.0,3.75,2.0,0.7229098436937461,0.7556292300130878,0.7301093707156583,0.773662254337256,0.5235410771576269,0.5497411663086913,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__003ac6eb8d49,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,38.0,3.1666666666666665,2.5,0.6671244944078804,0.7035577810441725,0.6943334966818772,0.7221334176811659,0.47953446358900426,0.5226669861262956,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__003c5f97f73b,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,45.0,3.75,2.0,0.5837717998352917,0.6930106929166706,0.6147725355322878,0.719678368205448,0.41578878720361284,0.4857308832657131,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__004466377789,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,39.0,3.25,3.75,0.5193620904875348,0.6243262861894229,0.5580985391226088,0.6542714813590755,0.3736101336374227,0.41956188245746706,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__00453a7dea1f,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,41.0,3.4166666666666665,1.5,0.5020723785398663,0.5728997536552116,0.5389933081949086,0.6105329299452641,0.3533394800788505,0.3863375894695954,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__00480e7468c1,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,34.0,2.8333333333333335,4.25,0.5722172309529797,0.7063422936674608,0.5951502795489615,0.7107980122755466,0.4357941576897004,0.5229868905707302,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__00499764e517,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,41.0,3.4166666666666665,2.0,0.6883652991687691,0.6885173676455572,0.7058927269542989,0.7150773880310306,0.47374561832290496,0.48883195011758024,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__004c0bdc4edd,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,44.0,3.6666666666666665,4.0,0.6017274319131571,0.6879965871145204,0.6262363340701901,0.7113294351936843,0.4438571988047066,0.4991685407729325,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__004d08b1526b,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,43.0,3.5833333333333335,1.0,0.736907847059248,0.8346652615610499,0.7584274609497527,0.8475344577405741,0.5290581870006782,0.5834860187460439,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__004d6cd13ab0,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,36.0,3.0,1.25,0.6415855642607122,0.6301034841056546,0.6646278109811871,0.6582534372986437,0.4580948124506726,0.4366755955739115,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__0050adfdd915,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,46.0,3.8333333333333335,1.75,0.5592682449848306,0.5956190675220769,0.5996287737716678,0.6297159152609287,0.4067691823741568,0.42852833183782485,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__005386f57860,1,1,2,3,0.0,0.0,100.0,0.0,0.0,0.0,100.0,11.0,30.0,2.5,2.0,0.5785927884588034,0.5763519193051275,0.6311738308867423,0.6306329773378483,0.44948968457763433,0.4564609761341646,media,45.0
SRC10_CRI_2021_A1__XY__005434b96c1b,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,46.0,3.8333333333333335,4.5,0.4185791731722847,0.33910827032776464,0.44182193164409705,0.3721873795982179,0.2837949031750738,0.24024128674608095,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__0054f1fd8a46,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,38.0,3.1666666666666665,1.0,0.6838626499740122,0.7248677248677249,0.7164484207693014,0.7658925506489587,0.5009391423934973,0.5324302884313434,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__0058a2877865,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,41.0,3.4166666666666665,3.0,0.5731728739103047,0.6654578025090034,0.6015978544159835,0.6835782025975009,0.43488113818742646,0.5013352942187792,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__005a1f657f11,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,40.0,3.3333333333333335,3.75,0.39905640624804106,0.29438434884957454,0.43862410400927826,0.36618962745300787,0.281409927339163,0.23485457174995975,sin_alerta,100.0
