xy_class_group_id,xy_group_id,xy_year_group_id,lon,lat,year_ref,class_code,class_group_code,class_name,class_group_name,records,country,country_code,source,source_id
SRC10_CRI_2021_A1__XYC__0000d30e88bd,SRC10_CRI_2021_A1__XY__f50fa7d21e17,SRC10_CRI_2021_A1__XYY__20570d902872,-85.585559,10.423264,2021,414,41,Bosque seco o deciduo,Bosque latifoliado y mixto,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__00016b4a9fff,SRC10_CRI_2021_A1__XY__b69611d64c82,SRC10_CRI_2021_A1__XYY__dfe10a4f3622,-85.54897,10.426209,2021,315,31,Otros cultivos intensivos no arbóreos,Cultivos intensivos No-Arbóreos,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__000365dde347,SRC10_CRI_2021_A1__XY__4266cbe7d974,SRC10_CRI_2021_A1__XYY__c78241220c6a,-85.409898,10.490808,2021,110,11,Urbano,Urbano,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__000452650d9c,SRC10_CRI_2021_A1__XY__f57eb81ef299,SRC10_CRI_2021_A1__XYY__fdd8e49405be,-85.463411,10.185292,2021,412,41,Latifoliado secundario húmedo,Bosque latifoliado y mixto,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__000880297414,SRC10_CRI_2021_A1__XY__582d5e41c141,SRC10_CRI_2021_A1__XYY__39629e7ab73f,-85.23204,10.364839,2021,315,31,Otros cultivos intensivos no arbóreos,Cultivos intensivos No-Arbóreos,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__000b7213aef7,SRC10_CRI_2021_A1__XY__0b64cf35739c,SRC10_CRI_2021_A1__XYY__15a7a65254eb,-85.443547,10.455661,2021,315,31,Otros cultivos intensivos no arbóreos,Cultivos intensivos No-Arbóreos,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__000b7e743d2b,SRC10_CRI_2021_A1__XY__89f754ff361a,SRC10_CRI_2021_A1__XYY__73b5032a2aa9,-85.399246,10.464305,2021,315,31,Otros cultivos intensivos no arbóreos,Cultivos intensivos No-Arbóreos,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__000e183c539b,SRC10_CRI_2021_A1__XY__ea863d6f7080,SRC10_CRI_2021_A1__XYY__c01869bb3a7c,-85.590729,10.28884,2021,110,11,Urbano,Urbano,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__000e2d23700d,SRC10_CRI_2021_A1__XY__06fcd2205ee7,SRC10_CRI_2021_A1__XYY__9c1f439b5822,-85.528249,10.505941,2021,315,31,Otros cultivos intensivos no arbóreos,Cultivos intensivos No-Arbóreos,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__0010a8d29ede,SRC10_CRI_2021_A1__XY__2f700779eea1,SRC10_CRI_2021_A1__XYY__51d65bae158d,-85.26062,10.118561,2021,430,43,Manglares,Manglares,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__0010c086cd8e,SRC10_CRI_2021_A1__XY__35b1fa89d605,SRC10_CRI_2021_A1__XYY__9184b846f340,-85.589726,10.552694,2021,315,31,Otros cultivos intensivos no arbóreos,Cultivos intensivos No-Arbóreos,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__001158ecb0a0,SRC10_CRI_2021_A1__XY__19968d669f02,SRC10_CRI_2021_A1__XYY__f980aa2013ee,-85.63701,10.49109,2021,110,11,Urbano,Urbano,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__001275cfd7f2,SRC10_CRI_2021_A1__XY__1047c7262146,SRC10_CRI_2021_A1__XYY__183195757ea3,-85.809809,10.275015,2021,414,41,Bosque seco o deciduo,Bosque latifoliado y mixto,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__00128db14089,SRC10_CRI_2021_A1__XY__ac3408eada5f,SRC10_CRI_2021_A1__XYY__5f0f97d2d995,-85.693841,10.542528,2021,110,11,Urbano,Urbano,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__0018ce7ecf74,SRC10_CRI_2021_A1__XY__8bc2fb12748e,SRC10_CRI_2021_A1__XYY__699c5b9054b3,-85.394636,10.377448,2021,220,22,Humedales,Humedales,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__001a9f633d18,SRC10_CRI_2021_A1__XY__d9d95105a058,SRC10_CRI_2021_A1__XYY__04a620b9bf83,-85.245943,10.141545,2021,430,43,Manglares,Manglares,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__001aec4339c1,SRC10_CRI_2021_A1__XY__13f3b50d3a76,SRC10_CRI_2021_A1__XYY__d58832059ff7,-85.812103,10.246779,2021,110,11,Urbano,Urbano,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__002130f2ab87,SRC10_CRI_2021_A1__XY__14e0852f47f3,SRC10_CRI_2021_A1__XYY__8c68312b0c1a,-85.684322,10.509871,2021,110,11,Urbano,Urbano,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__0023a52b8b0c,SRC10_CRI_2021_A1__XY__9bb6ccbf1bc9,SRC10_CRI_2021_A1__XYY__7a3bd6d489f1,-85.701844,10.189823,2021,414,41,Bosque seco o deciduo,Bosque latifoliado y mixto,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__0024bea827b6,SRC10_CRI_2021_A1__XY__031f8ccea3f1,SRC10_CRI_2021_A1__XYY__6bf0650c852c,-85.664045,10.532197,2021,110,11,Urbano,Urbano,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__002c2e8a50c6,SRC10_CRI_2021_A1__XY__89b96fbebfea,SRC10_CRI_2021_A1__XYY__85c356d6b7ea,-85.697654,10.202257,2021,412,41,Latifoliado secundario húmedo,Bosque latifoliado y mixto,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__002d0ee6f765,SRC10_CRI_2021_A1__XY__1691e2012cba,SRC10_CRI_2021_A1__XYY__c92c1f508a3b,-85.214819,10.278021,2021,430,43,Manglares,Manglares,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__002e0909df2e,SRC10_CRI_2021_A1__XY__1fe63d4b3c0f,SRC10_CRI_2021_A1__XYY__c2b73bee0201,-85.367943,10.104781,2021,110,11,Urbano,Urbano,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__00312eb0f855,SRC10_CRI_2021_A1__XY__64b700e13dcc,SRC10_CRI_2021_A1__XYY__9340ea29a83d,-85.513782,10.284956,2021,110,11,Urbano,Urbano,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__00346bf4b852,SRC10_CRI_2021_A1__XY__9b2f711963ff,SRC10_CRI_2021_A1__XYY__9fc35bcba7b2,-85.600055,10.508,2021,315,31,Otros cultivos intensivos no arbóreos,Cultivos intensivos No-Arbóreos,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__003980e92cb4,SRC10_CRI_2021_A1__XY__295a6cdc99af,SRC10_CRI_2021_A1__XYY__8762679b86d3,-85.678272,10.126348,2021,412,41,Latifoliado secundario húmedo,Bosque latifoliado y mixto,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__003ed0ecab37,SRC10_CRI_2021_A1__XY__85d7b0fe3775,SRC10_CRI_2021_A1__XYY__9e7c7f09c93e,-85.483535,10.201534,2021,110,11,Urbano,Urbano,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__00439083ca8f,SRC10_CRI_2021_A1__XY__dc2578a971c3,SRC10_CRI_2021_A1__XYY__40c414cc1273,-85.249052,10.396147,2021,412,41,Latifoliado secundario húmedo,Bosque latifoliado y mixto,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__00486e122ec3,SRC10_CRI_2021_A1__XY__c33a8bc96500,SRC10_CRI_2021_A1__XYY__362909813f5b,-85.453952,10.423035,2021,315,31,Otros cultivos intensivos no arbóreos,Cultivos intensivos No-Arbóreos,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__004b2d99619a,SRC10_CRI_2021_A1__XY__63dac7d4f8d6,SRC10_CRI_2021_A1__XYY__162ea5a7c763,-85.481005,10.339657,2021,315,31,Otros cultivos intensivos no arbóreos,Cultivos intensivos No-Arbóreos,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__004b4b05d3ea,SRC10_CRI_2021_A1__XY__fc26d18a0c90,SRC10_CRI_2021_A1__XYY__9e0a46b25ee8,-85.508993,10.454151,2021,315,31,Otros cultivos intensivos no arbóreos,Cultivos intensivos No-Arbóreos,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__004dafaeae37,SRC10_CRI_2021_A1__XY__e68715cd1d80,SRC10_CRI_2021_A1__XYY__b66a72f15289,-85.697558,10.543307,2021,110,11,Urbano,Urbano,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__0053b1da27cd,SRC10_CRI_2021_A1__XY__169551de280c,SRC10_CRI_2021_A1__XYY__992de71519fe,-85.342876,10.117029,2021,332,33,Pastizales naturales y cultivados,"Cultivos extensivos, Pastizales y matorrales",1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__005b28a7c6b9,SRC10_CRI_2021_A1__XY__bcff2b13dad5,SRC10_CRI_2021_A1__XYY__c79723f31a3d,-85.809759,10.360578,2021,110,11,Urbano,Urbano,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__005ce161e2da,SRC10_CRI_2021_A1__XY__56f3dec5d19a,SRC10_CRI_2021_A1__XYY__23a551f7df9a,-85.308709,10.526229,2021,315,31,Otros cultivos intensivos no arbóreos,Cultivos intensivos No-Arbóreos,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__0065b3a45d90,SRC10_CRI_2021_A1__XY__c4379150432d,SRC10_CRI_2021_A1__XYY__06060447457e,-85.236214,10.352756,2021,315,31,Otros cultivos intensivos no arbóreos,Cultivos intensivos No-Arbóreos,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__00684f45c73f,SRC10_CRI_2021_A1__XY__2f047dc6cd57,SRC10_CRI_2021_A1__XYY__ff614c74dec5,-85.788407,10.140066,2021,110,11,Urbano,Urbano,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__0069e637bf45,SRC10_CRI_2021_A1__XY__8e3aa72e104a,SRC10_CRI_2021_A1__XYY__75bc41361792,-85.225627,10.344349,2021,315,31,Otros cultivos intensivos no arbóreos,Cultivos intensivos No-Arbóreos,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__006b7a14c201,SRC10_CRI_2021_A1__XY__3cd4a58ec43c,SRC10_CRI_2021_A1__XYY__07e48631d88b,-85.489106,10.191204,2021,110,11,Urbano,Urbano,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__006d5a604c8c,SRC10_CRI_2021_A1__XY__7abf05d662f8,SRC10_CRI_2021_A1__XYY__0da14a3683ea,-85.621457,10.15197,2021,412,41,Latifoliado secundario húmedo,Bosque latifoliado y mixto,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__006e52bf6256,SRC10_CRI_2021_A1__XY__485945b9e7e9,SRC10_CRI_2021_A1__XYY__2f57009e8738,-85.400632,10.301404,2021,332,33,Pastizales naturales y cultivados,"Cultivos extensivos, Pastizales y matorrales",1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__0071d29b1c6f,SRC10_CRI_2021_A1__XY__2bbcb2efb3f8,SRC10_CRI_2021_A1__XYY__e84d2104380d,-85.428464,10.109834,2021,110,11,Urbano,Urbano,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__007958194daa,SRC10_CRI_2021_A1__XY__bd0c554a4cbd,SRC10_CRI_2021_A1__XYY__d633aec309da,-85.439714,10.121609,2021,110,11,Urbano,Urbano,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__007a54d3236c,SRC10_CRI_2021_A1__XY__39d8a7dab9da,SRC10_CRI_2021_A1__XYY__5fc1dcab45a5,-85.230961,10.084885,2021,430,43,Manglares,Manglares,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__007b8d2cd28f,SRC10_CRI_2021_A1__XY__d1a2350930c0,SRC10_CRI_2021_A1__XYY__564dd847e276,-85.547032,10.461208,2021,315,31,Otros cultivos intensivos no arbóreos,Cultivos intensivos No-Arbóreos,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__007fd9ff7a85,SRC10_CRI_2021_A1__XY__608e5bb69f89,SRC10_CRI_2021_A1__XYY__c052ca5cd026,-85.477479,10.312223,2021,414,41,Bosque seco o deciduo,Bosque latifoliado y mixto,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__0080a973a3a8,SRC10_CRI_2021_A1__XY__3becaa2237cb,SRC10_CRI_2021_A1__XYY__4a9d3c94bbed,-85.213391,10.455413,2021,315,31,Otros cultivos intensivos no arbóreos,Cultivos intensivos No-Arbóreos,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__0082afc8a7fb,SRC10_CRI_2021_A1__XY__522a28f71377,SRC10_CRI_2021_A1__XYY__5e389fe3a92c,-85.288627,10.264462,2021,220,22,Humedales,Humedales,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__00840ea33c7a,SRC10_CRI_2021_A1__XY__c13a1597219e,SRC10_CRI_2021_A1__XYY__4369ae16130d,-85.248452,10.244105,2021,430,43,Manglares,Manglares,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__00877ac8796f,SRC10_CRI_2021_A1__XY__b8062ddf58b3,SRC10_CRI_2021_A1__XYY__8aa934d66ea8,-85.553647,10.452199,2021,110,11,Urbano,Urbano,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__008adf1102a6,SRC10_CRI_2021_A1__XY__8d87e332b0ad,SRC10_CRI_2021_A1__XYY__171d5ed42acb,-85.221536,10.378153,2021,315,31,Otros cultivos intensivos no arbóreos,Cultivos intensivos No-Arbóreos,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__0090ef1f2145,SRC10_CRI_2021_A1__XY__1724e7362114,SRC10_CRI_2021_A1__XYY__3e262231eb44,-85.196498,10.455477,2021,315,31,Otros cultivos intensivos no arbóreos,Cultivos intensivos No-Arbóreos,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__00930ffb5518,SRC10_CRI_2021_A1__XY__6c632b5df0c4,SRC10_CRI_2021_A1__XYY__dc25348ac995,-85.617807,10.482553,2021,110,11,Urbano,Urbano,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__0096290e200f,SRC10_CRI_2021_A1__XY__58f30c56afa6,SRC10_CRI_2021_A1__XYY__cb3e54c6b22b,-85.538408,10.425053,2021,315,31,Otros cultivos intensivos no arbóreos,Cultivos intensivos No-Arbóreos,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__00967f775800,SRC10_CRI_2021_A1__XY__a001fd9c72a8,SRC10_CRI_2021_A1__XYY__5b43db226779,-85.558017,10.546819,2021,315,31,Otros cultivos intensivos no arbóreos,Cultivos intensivos No-Arbóreos,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__00976085b844,SRC10_CRI_2021_A1__XY__d48803955368,SRC10_CRI_2021_A1__XYY__b1beb9f3c622,-85.260943,10.243929,2021,414,41,Bosque seco o deciduo,Bosque latifoliado y mixto,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__00abddb720e8,SRC10_CRI_2021_A1__XY__f2393c0d7d0d,SRC10_CRI_2021_A1__XYY__d52261a1458e,-85.361773,10.102386,2021,414,41,Bosque seco o deciduo,Bosque latifoliado y mixto,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__00b3e99253eb,SRC10_CRI_2021_A1__XY__560f32fd566f,SRC10_CRI_2021_A1__XYY__51459cc031da,-85.624119,10.418078,2021,110,11,Urbano,Urbano,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__00b48735d08e,SRC10_CRI_2021_A1__XY__0f3744d2567d,SRC10_CRI_2021_A1__XYY__f6ab1dc010c1,-85.375886,10.434241,2021,315,31,Otros cultivos intensivos no arbóreos,Cultivos intensivos No-Arbóreos,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__00b4ff19527c,SRC10_CRI_2021_A1__XY__11f9fb70455e,SRC10_CRI_2021_A1__XYY__6750409a35cc,-85.767765,10.292367,2021,332,33,Pastizales naturales y cultivados,"Cultivos extensivos, Pastizales y matorrales",1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021_A1__XYC__00bae62e47b7,SRC10_CRI_2021_A1__XY__a0c62f967090,SRC10_CRI_2021_A1__XYY__54f4cdfc4964,-85.369117,10.334118,2021,220,22,Humedales,Humedales,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
