xy_group_id,lon,lat,records,n_years,year_min,year_max,n_class_codes,n_class_group_codes,n_sources,country,country_code,has_temporal_repetition,has_thematic_conflict
SRC10_CRI_2021_A1__XY__00018406f5af,-85.594669,10.278788,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__0004139993bb,-85.206764,10.379415,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__000746bfbec2,-85.476908,10.366221,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00098bd3a706,-85.636019,10.272183,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__0009bf416b71,-85.380173,10.448702,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__000c3bd1f211,-85.261651,10.379204,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__000d920872ee,-85.743224,10.52708,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__001095176f31,-85.71275,10.263708,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__0011c53519bb,-85.546984,10.451556,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00120e743cb8,-85.211322,10.471023,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00124cdfeec5,-85.343269,10.211148,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__0015cfe4d540,-85.797124,10.183751,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__0017d4dea2df,-85.320803,10.223717,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00183809bf8e,-85.454199,10.476124,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__001922478ffa,-85.57244,10.475562,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__001d4d0f9aa1,-85.282819,10.523157,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__002a57e8964d,-85.423195,10.155304,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__002cb0ca547e,-85.498827,10.266001,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__003015955f5f,-85.418364,10.489559,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00318c6773bb,-85.603024,10.261855,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__0031fb609e5b,-85.206894,10.413203,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00357dde3aa3,-85.278549,10.381551,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__003875680115,-85.2134,10.457826,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__0039cda044ef,-85.533821,10.350269,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__003ac6eb8d49,-85.486165,10.087455,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__003c5f97f73b,-85.204768,10.409591,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__004466377789,-85.508935,10.442086,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00453a7dea1f,-85.502272,10.373343,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00480e7468c1,-85.245108,10.466151,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00499764e517,-85.521849,10.285165,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__004c0bdc4edd,-85.39081,10.466755,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__004d08b1526b,-85.721517,10.258699,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__004d6cd13ab0,-85.363684,10.540477,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__0050adfdd915,-85.51696,10.355175,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__005386f57860,-85.568348,10.146562,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__005434b96c1b,-85.511297,10.493957,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__0054f1fd8a46,-85.463104,10.117723,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__0058a2877865,-85.464322,10.383171,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__005a1f657f11,-85.373791,10.437869,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__005a97f6cbc3,-85.236499,10.425157,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__005ec63dca73,-85.588502,10.311395,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__0060602a2d36,-85.575327,10.207696,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__0062bc322fe5,-85.530035,10.439572,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__006386528810,-85.227341,10.241772,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
