xy_year_group_id,xy_group_id,lon,lat,year_ref,records,n_class_codes,n_class_group_codes,n_sources,country,country_code,has_thematic_conflict
SRC10_CRI_2021_A1__XYY__00007df1be3b,SRC10_CRI_2021_A1__XY__d3384209a048,-85.368186,10.116925,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00034c8e1089,SRC10_CRI_2021_A1__XY__6576552f0354,-85.48495,10.085468,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__0003c98b8a4d,SRC10_CRI_2021_A1__XY__522f7c8c8634,-85.472157,10.087629,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__0008a3e05fd4,SRC10_CRI_2021_A1__XY__2ec5a95acfe0,-85.457219,10.215485,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__000f01981114,SRC10_CRI_2021_A1__XY__27371a77e1d1,-85.474724,10.350545,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__0012111be8b6,SRC10_CRI_2021_A1__XY__cc8da61269f0,-85.481444,10.324271,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00195c7d577d,SRC10_CRI_2021_A1__XY__34f4f2b9cbd0,-85.574432,10.285148,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__001983c57d4a,SRC10_CRI_2021_A1__XY__1addff39fa2f,-85.389216,10.102357,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__001dbe1c0a5a,SRC10_CRI_2021_A1__XY__57325ab26f8b,-85.643638,10.516648,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__002421938ac8,SRC10_CRI_2021_A1__XY__3fccdaf2b075,-85.687842,10.508556,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00251d87703f,SRC10_CRI_2021_A1__XY__89b362058225,-85.543889,10.44156,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__002777c790f2,SRC10_CRI_2021_A1__XY__8cd1aefe480d,-85.550896,10.388797,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__002a4e819159,SRC10_CRI_2021_A1__XY__c35548741171,-85.562869,10.286064,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00370094f711,SRC10_CRI_2021_A1__XY__337c661798d0,-85.382418,10.478858,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__003c055f19c8,SRC10_CRI_2021_A1__XY__1933d7dd6929,-85.231876,10.519176,2021,1,1,1,1,Costa Rica,CRI,0
