nombre_clase,records,percentage
Pasto,4564,36.3636
Bosque latifoliado mixto secundario,2893,23.05
Rastrojo y vegetación arbustiva,1571,12.5169
Bosque de mangle,1122,8.9395
Bosque latifoliado mixto maduro,787,6.2704
Superficie de agua,366,2.9161
Área poblada,279,2.2229
Bosque plantado de latifoliadas,206,1.6413
Vegetación herbácea,145,1.1553
Palma aceitera,143,1.1394
Arroz,115,0.9163
Infraestructura,102,0.8127
Caña de azúcar,79,0.6294
Otro cultivo anual,52,0.4143
Playa y arenal natural,42,0.3346
Otro cultivo permanente,24,0.1912
Piña,24,0.1912
Afloramiento rocoso y tierra desnuda,20,0.1593
Vegetación baja inundable,6,0.0478
Cítrico,5,0.0398
Bosque plantado de coníferas,4,0.0319
Estanque para acuicultura,1,0.008
Área heterogénea de producción agropecuaria,1,0.008
