logical_field,field,present,nulls,empty_strings,unique_values
id,id_registro,True,0.0,0.0,12551.0
original_id,id_muestra_original,True,0.0,0.0,12551.0
xy_group_id,xy_group_id,True,0.0,0.0,12551.0
xy_year_group_id,xy_year_group_id,True,0.0,0.0,12551.0
xy_class_group_id,xy_class_group_id,True,0.0,0.0,12551.0
extract_id,extract_id,False,,,
source,Fuente,True,0.0,0.0,1.0
source_id,id_fuente,True,0.0,0.0,1.0
year,Año,True,0.0,0.0,1.0
country,Pais_es,True,0.0,0.0,1.0
country_code,Pais_cod3,True,0.0,0.0,1.0
longitude,Longitud,True,0.0,0.0,12551.0
latitude,Latitud,True,0.0,0.0,12551.0
class_code,Clase,True,0.0,0.0,23.0
class_group_code,GranClase,True,0.0,0.0,6.0
class_name,nombre_clase,True,0.0,0.0,23.0
class_group_name,nombre_gran_clase,True,0.0,0.0,6.0
