field_name,dtype,non_null
id_registro,object,12551
id_muestra_original,object,12551
Fuente,object,12551
id_fuente,int64,12551
Pais_es,object,12551
Pais_cod3,object,12551
Año,int64,12551
Longitud,float64,12551
Latitud,float64,12551
Clase,int64,12551
GranClase,int64,12551
nombre_clase,object,12551
nombre_gran_clase,object,12551
revision_nulos_tematicos,int64,12551
motivo_revision,object,12551
candidate_id,int64,12551
raster_value,int64,12551
class_name_en,object,12551
stratum_id,object,12551
distance_scenario_m,int64,12551
selection_status,object,12551
protected,int64,12551
nearest_neighbor_m,float64,12551
xy_group_id,object,12551
xy_year_group_id,object,12551
xy_class_group_id,object,12551
geometry,geometry,12551
