Clase,nombre_clase,n_class_groups,class_groups,hierarchy_consistent
1,Bosque latifoliado mixto maduro,1,1,1
2,Bosque latifoliado mixto secundario,1,1,1
3,Bosque de mangle,1,1,1
7,Bosque plantado de coníferas,1,1,1
8,Bosque plantado de latifoliadas,1,1,1
9,Rastrojo y vegetación arbustiva,1,1,1
10,Vegetación herbácea,1,1,1
11,Vegetación baja inundable,1,1,1
12,Afloramiento rocoso y tierra desnuda,1,5,1
13,Playa y arenal natural,1,5,1
15,Cítrico,1,2,1
16,Palma aceitera,1,2,1
18,Otro cultivo permanente,1,2,1
19,Arroz,1,2,1
20,Caña de azúcar,1,2,1
23,Piña,1,2,1
24,Otro cultivo anual,1,2,1
25,Área heterogénea de producción agropecuaria,1,2,1
26,Pasto,1,3,1
27,Superficie de agua,1,4,1
28,Área poblada,1,6,1
29,Infraestructura,1,6,1
31,Estanque para acuicultura,1,4,1
