audit_country_code,audit_country,audit_year,audit_class_group_code,audit_class_group_name,audit_class_code,audit_class_name,expected_signal_group,n_records,n_extract_id,s2yr_months_obs_median,s2yr_obs_total_median,s2yr_cloudprob_median,s2yr_ndvi_median,s2yr_ndre_median,n_no_spectral_data,n_low_months_obs,n_low_total_obs,n_high_cloudprob,n_class_rule_high,n_class_rule_medium,n_rare_spectral_value,n_context_thematic_conflict,n_spectral_class_review,n_spectral_priority,n_alert_high,n_alert_medium,n_alert_low,n_alert_none,pct_no_spectral_data,pct_low_months_obs,pct_class_rule_high,pct_class_rule_medium,pct_rare_spectral_value,pct_spectral_class_review,pct_spectral_priority,pct_alert_medium_high,class_priority_level
PAN,Panamá,2021,1,Bosque y vegetación natural,11,Vegetación baja inundable,vegetacion_humeda_mixta,6,6,9.0,29.0,6.25,0.6449421601123428,0.45475446702634637,0,0,0,0,0,6,0,0,6,6,0,6,0,0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,alta_alertas
PAN,Panamá,2021,4,Agua y acuicultura,31,Estanque para acuicultura,agua_baja_vegetacion,1,1,10.0,24.0,4.5,0.4758715270613334,0.2818279076280876,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,alta_reglas_clase
PAN,Panamá,2021,6,Urbano e infraestructura,29,Infraestructura,no_vegetacion_urbana,102,102,9.0,24.0,9.125,0.5146652261546735,0.3684477841266117,0,0,0,0,54,44,0,0,98,98,54,44,0,4,0.0,0.0,52.941,43.137,0.0,96.078,96.078,96.078,alta_reglas_clase
PAN,Panamá,2021,6,Urbano e infraestructura,28,Área poblada,no_vegetacion_urbana,279,279,9.0,25.0,11.5,0.4972462073690244,0.3517458771266033,1,0,1,0,138,121,0,0,260,260,139,121,0,19,0.358,0.0,49.462,43.369,0.0,93.19,93.19,93.19,alta_reglas_clase
PAN,Panamá,2021,5,Suelo desnudo y rasgos naturales,13,Playa y arenal natural,no_vegetacion_esperada,42,42,11.0,30.5,7.75,0.492515177953199,0.3564132593400038,0,0,0,0,28,1,0,0,29,29,28,1,0,13,0.0,0.0,66.667,2.381,0.0,69.048,69.048,69.048,alta_reglas_clase
PAN,Panamá,2021,5,Suelo desnudo y rasgos naturales,12,Afloramiento rocoso y tierra desnuda,no_vegetacion_esperada,20,20,9.5,26.5,8.0,0.29225023508754994,0.2137663132048151,0,0,0,0,13,0,0,0,13,13,13,0,0,7,0.0,0.0,65.0,0.0,0.0,65.0,65.0,65.0,alta_reglas_clase
PAN,Panamá,2021,4,Agua y acuicultura,27,Superficie de agua,agua_baja_vegetacion,366,366,10.0,26.0,5.0,-0.06783907362433278,-0.0011184291646191037,0,0,0,0,167,8,0,0,175,175,167,8,0,191,0.0,0.0,45.628,2.186,0.0,47.814,47.814,47.814,alta_reglas_clase
PAN,Panamá,2021,3,Pasto,26,Pasto,vegetacion_herbacea_estacional,4564,4564,10.0,25.0,4.0,0.6858583916723273,0.4701753190375187,0,0,0,0,7,1106,69,0,1169,1169,7,1162,0,3395,0.0,0.0,0.153,24.233,1.512,25.613,25.613,25.613,alta_alertas
PAN,Panamá,2021,1,Bosque y vegetación natural,1,Bosque latifoliado mixto maduro,vegetacion_forestal_esperada,787,787,5.0,10.0,9.0,0.8056326085876067,0.5675691384828809,22,231,186,0,0,1,38,0,259,198,22,176,61,528,2.795,29.352,0.0,0.127,4.828,32.91,25.159,25.159,alta_alertas
PAN,Panamá,2021,1,Bosque y vegetación natural,9,Rastrojo y vegetación arbustiva,vegetacion_natural_baja,1571,1571,9.0,25.0,3.75,0.791037472020182,0.5507995794511422,0,0,0,0,1,165,71,0,235,235,1,234,0,1336,0.0,0.0,0.064,10.503,4.519,14.959,14.959,14.959,baja_sin_prioridad
PAN,Panamá,2021,1,Bosque y vegetación natural,10,Vegetación herbácea,vegetacion_herbacea_estacional,145,145,8.0,21.0,4.0,0.6716484656804695,0.4474108582691274,0,0,0,0,0,7,6,0,13,13,0,13,0,132,0.0,0.0,0.0,4.828,4.138,8.966,8.966,8.966,baja_sin_prioridad
PAN,Panamá,2021,2,Cultivos,20,Caña de azúcar,vegetacion_agricola_estacional,79,79,9.0,24.0,7.0,0.6318266454555497,0.47120981510241844,0,0,0,0,0,0,6,0,6,6,0,6,0,73,0.0,0.0,0.0,0.0,7.595,7.595,7.595,7.595,baja_sin_prioridad
PAN,Panamá,2021,1,Bosque y vegetación natural,2,Bosque latifoliado mixto secundario,vegetacion_forestal_esperada,2893,2893,9.0,25.0,4.0,0.8351501243067507,0.6003040271132376,0,2,1,0,9,1,154,0,156,155,9,146,1,2737,0.0,0.069,0.311,0.035,5.323,5.392,5.358,5.358,baja_sin_prioridad
PAN,Panamá,2021,2,Cultivos,16,Palma aceitera,vegetacion_agricola_variable,143,143,9.0,25.0,4.0,0.8638433515482696,0.6630444693016623,0,0,0,0,0,0,7,0,7,7,0,7,0,136,0.0,0.0,0.0,0.0,4.895,4.895,4.895,4.895,baja_sin_prioridad
PAN,Panamá,2021,1,Bosque y vegetación natural,8,Bosque plantado de latifoliadas,vegetacion_forestal_esperada,206,206,9.0,25.0,3.0,0.7886318295448904,0.5326697736846522,0,0,0,0,0,0,9,0,9,9,0,9,0,197,0.0,0.0,0.0,0.0,4.369,4.369,4.369,4.369,baja_sin_prioridad
PAN,Panamá,2021,1,Bosque y vegetación natural,3,Bosque de mangle,vegetacion_humeda_mixta,1122,1122,9.0,27.0,4.0,0.8524160955405478,0.5736593803584995,0,0,0,0,3,0,47,0,47,47,3,44,0,1075,0.0,0.0,0.267,0.0,4.189,4.189,4.189,4.189,baja_sin_prioridad
PAN,Panamá,2021,2,Cultivos,23,Piña,vegetacion_agricola_variable,24,24,9.5,22.0,5.125,0.6436645631406773,0.43925024505855537,0,0,0,0,0,0,1,0,1,1,0,1,0,23,0.0,0.0,0.0,0.0,4.167,4.167,4.167,4.167,baja_sin_prioridad
PAN,Panamá,2021,2,Cultivos,18,Otro cultivo permanente,vegetacion_agricola_variable,24,24,9.0,25.0,2.75,0.6510260626911661,0.41825437637278884,0,0,0,0,0,1,0,0,1,1,0,1,0,23,0.0,0.0,0.0,4.167,0.0,4.167,4.167,4.167,baja_sin_prioridad
PAN,Panamá,2021,2,Cultivos,19,Arroz,vegetacion_agricola_estacional,115,115,10.0,25.0,6.5,0.5093287583101008,0.3472471273230785,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baja_sin_prioridad
