extract_id,n_records_same_extract_id,n_unique_class_code_extract_unit,n_unique_class_group_code_extract_unit,class_codes_extract_unit,class_names_extract_unit,class_group_codes_extract_unit,class_group_names_extract_unit,flag_context_multiple_records_extract_unit,flag_context_multiple_class_code,flag_context_multiple_class_group_code,flag_context_thematic_conflict
S2SR_SRC15_PAN_2021_000000001,1,1,1,26,Pasto,3,Pasto,0,0,0,0
S2SR_SRC15_PAN_2021_000000002,1,1,1,2,Bosque latifoliado mixto secundario,1,Bosque y vegetación natural,0,0,0,0
S2SR_SRC15_PAN_2021_000000003,1,1,1,26,Pasto,3,Pasto,0,0,0,0
S2SR_SRC15_PAN_2021_000000004,1,1,1,28,Área poblada,6,Urbano e infraestructura,0,0,0,0
S2SR_SRC15_PAN_2021_000000005,1,1,1,28,Área poblada,6,Urbano e infraestructura,0,0,0,0
S2SR_SRC15_PAN_2021_000000006,1,1,1,28,Área poblada,6,Urbano e infraestructura,0,0,0,0
S2SR_SRC15_PAN_2021_000000007,1,1,1,28,Área poblada,6,Urbano e infraestructura,0,0,0,0
S2SR_SRC15_PAN_2021_000000008,1,1,1,28,Área poblada,6,Urbano e infraestructura,0,0,0,0
S2SR_SRC15_PAN_2021_000000009,1,1,1,2,Bosque latifoliado mixto secundario,1,Bosque y vegetación natural,0,0,0,0
S2SR_SRC15_PAN_2021_000000010,1,1,1,2,Bosque latifoliado mixto secundario,1,Bosque y vegetación natural,0,0,0,0
S2SR_SRC15_PAN_2021_000000011,1,1,1,26,Pasto,3,Pasto,0,0,0,0
S2SR_SRC15_PAN_2021_000000012,1,1,1,20,Caña de azúcar,2,Cultivos,0,0,0,0
S2SR_SRC15_PAN_2021_000000013,1,1,1,20,Caña de azúcar,2,Cultivos,0,0,0,0
S2SR_SRC15_PAN_2021_000000014,1,1,1,26,Pasto,3,Pasto,0,0,0,0
S2SR_SRC15_PAN_2021_000000015,1,1,1,20,Caña de azúcar,2,Cultivos,0,0,0,0
S2SR_SRC15_PAN_2021_000000016,1,1,1,26,Pasto,3,Pasto,0,0,0,0
S2SR_SRC15_PAN_2021_000000017,1,1,1,28,Área poblada,6,Urbano e infraestructura,0,0,0,0
S2SR_SRC15_PAN_2021_000000018,1,1,1,20,Caña de azúcar,2,Cultivos,0,0,0,0
S2SR_SRC15_PAN_2021_000000019,1,1,1,20,Caña de azúcar,2,Cultivos,0,0,0,0
S2SR_SRC15_PAN_2021_000000020,1,1,1,20,Caña de azúcar,2,Cultivos,0,0,0,0
S2SR_SRC15_PAN_2021_000000021,1,1,1,29,Infraestructura,6,Urbano e infraestructura,0,0,0,0
S2SR_SRC15_PAN_2021_000000022,1,1,1,20,Caña de azúcar,2,Cultivos,0,0,0,0
S2SR_SRC15_PAN_2021_000000023,1,1,1,20,Caña de azúcar,2,Cultivos,0,0,0,0
S2SR_SRC15_PAN_2021_000000024,1,1,1,20,Caña de azúcar,2,Cultivos,0,0,0,0
S2SR_SRC15_PAN_2021_000000025,1,1,1,2,Bosque latifoliado mixto secundario,1,Bosque y vegetación natural,0,0,0,0
S2SR_SRC15_PAN_2021_000000026,1,1,1,19,Arroz,2,Cultivos,0,0,0,0
S2SR_SRC15_PAN_2021_000000027,1,1,1,19,Arroz,2,Cultivos,0,0,0,0
S2SR_SRC15_PAN_2021_000000028,1,1,1,19,Arroz,2,Cultivos,0,0,0,0
S2SR_SRC15_PAN_2021_000000029,1,1,1,19,Arroz,2,Cultivos,0,0,0,0
S2SR_SRC15_PAN_2021_000000030,1,1,1,19,Arroz,2,Cultivos,0,0,0,0
S2SR_SRC15_PAN_2021_000000031,1,1,1,19,Arroz,2,Cultivos,0,0,0,0
S2SR_SRC15_PAN_2021_000000032,1,1,1,19,Arroz,2,Cultivos,0,0,0,0
S2SR_SRC15_PAN_2021_000000033,1,1,1,19,Arroz,2,Cultivos,0,0,0,0
S2SR_SRC15_PAN_2021_000000034,1,1,1,2,Bosque latifoliado mixto secundario,1,Bosque y vegetación natural,0,0,0,0
S2SR_SRC15_PAN_2021_000000035,1,1,1,27,Superficie de agua,4,Agua y acuicultura,0,0,0,0
S2SR_SRC15_PAN_2021_000000036,1,1,1,3,Bosque de mangle,1,Bosque y vegetación natural,0,0,0,0
S2SR_SRC15_PAN_2021_000000037,1,1,1,3,Bosque de mangle,1,Bosque y vegetación natural,0,0,0,0
S2SR_SRC15_PAN_2021_000000038,1,1,1,3,Bosque de mangle,1,Bosque y vegetación natural,0,0,0,0
S2SR_SRC15_PAN_2021_000000039,1,1,1,27,Superficie de agua,4,Agua y acuicultura,0,0,0,0
S2SR_SRC15_PAN_2021_000000040,1,1,1,3,Bosque de mangle,1,Bosque y vegetación natural,0,0,0,0
S2SR_SRC15_PAN_2021_000000041,1,1,1,13,Playa y arenal natural,5,Suelo desnudo y rasgos naturales,0,0,0,0
S2SR_SRC15_PAN_2021_000000042,1,1,1,3,Bosque de mangle,1,Bosque y vegetación natural,0,0,0,0
S2SR_SRC15_PAN_2021_000000043,1,1,1,2,Bosque latifoliado mixto secundario,1,Bosque y vegetación natural,0,0,0,0
S2SR_SRC15_PAN_2021_000000044,1,1,1,2,Bosque latifoliado mixto secundario,1,Bosque y vegetación natural,0,0,0,0
S2SR_SRC15_PAN_2021_000000045,1,1,1,2,Bosque latifoliado mixto secundario,1,Bosque y vegetación natural,0,0,0,0
S2SR_SRC15_PAN_2021_000000046,1,1,1,15,Cítrico,2,Cultivos,0,0,0,0
S2SR_SRC15_PAN_2021_000000047,1,1,1,28,Área poblada,6,Urbano e infraestructura,0,0,0,0
S2SR_SRC15_PAN_2021_000000048,1,1,1,26,Pasto,3,Pasto,0,0,0,0
S2SR_SRC15_PAN_2021_000000049,1,1,1,2,Bosque latifoliado mixto secundario,1,Bosque y vegetación natural,0,0,0,0
S2SR_SRC15_PAN_2021_000000050,1,1,1,26,Pasto,3,Pasto,0,0,0,0
S2SR_SRC15_PAN_2021_000000051,1,1,1,26,Pasto,3,Pasto,0,0,0,0
S2SR_SRC15_PAN_2021_000000052,1,1,1,26,Pasto,3,Pasto,0,0,0,0
S2SR_SRC15_PAN_2021_000000053,1,1,1,26,Pasto,3,Pasto,0,0,0,0
S2SR_SRC15_PAN_2021_000000054,1,1,1,26,Pasto,3,Pasto,0,0,0,0
S2SR_SRC15_PAN_2021_000000055,1,1,1,26,Pasto,3,Pasto,0,0,0,0
S2SR_SRC15_PAN_2021_000000056,1,1,1,26,Pasto,3,Pasto,0,0,0,0
S2SR_SRC15_PAN_2021_000000057,1,1,1,26,Pasto,3,Pasto,0,0,0,0
S2SR_SRC15_PAN_2021_000000058,1,1,1,26,Pasto,3,Pasto,0,0,0,0
S2SR_SRC15_PAN_2021_000000059,1,1,1,9,Rastrojo y vegetación arbustiva,1,Bosque y vegetación natural,0,0,0,0
S2SR_SRC15_PAN_2021_000000060,1,1,1,10,Vegetación herbácea,1,Bosque y vegetación natural,0,0,0,0
S2SR_SRC15_PAN_2021_000000061,1,1,1,26,Pasto,3,Pasto,0,0,0,0
S2SR_SRC15_PAN_2021_000000062,1,1,1,2,Bosque latifoliado mixto secundario,1,Bosque y vegetación natural,0,0,0,0
S2SR_SRC15_PAN_2021_000000063,1,1,1,26,Pasto,3,Pasto,0,0,0,0
S2SR_SRC15_PAN_2021_000000064,1,1,1,26,Pasto,3,Pasto,0,0,0,0
S2SR_SRC15_PAN_2021_000000065,1,1,1,9,Rastrojo y vegetación arbustiva,1,Bosque y vegetación natural,0,0,0,0
S2SR_SRC15_PAN_2021_000000066,1,1,1,26,Pasto,3,Pasto,0,0,0,0
S2SR_SRC15_PAN_2021_000000067,1,1,1,26,Pasto,3,Pasto,0,0,0,0
S2SR_SRC15_PAN_2021_000000068,1,1,1,2,Bosque latifoliado mixto secundario,1,Bosque y vegetación natural,0,0,0,0
S2SR_SRC15_PAN_2021_000000069,1,1,1,2,Bosque latifoliado mixto secundario,1,Bosque y vegetación natural,0,0,0,0
S2SR_SRC15_PAN_2021_000000070,1,1,1,2,Bosque latifoliado mixto secundario,1,Bosque y vegetación natural,0,0,0,0
S2SR_SRC15_PAN_2021_000000071,1,1,1,26,Pasto,3,Pasto,0,0,0,0
S2SR_SRC15_PAN_2021_000000072,1,1,1,26,Pasto,3,Pasto,0,0,0,0
S2SR_SRC15_PAN_2021_000000073,1,1,1,26,Pasto,3,Pasto,0,0,0,0
S2SR_SRC15_PAN_2021_000000074,1,1,1,26,Pasto,3,Pasto,0,0,0,0
S2SR_SRC15_PAN_2021_000000075,1,1,1,26,Pasto,3,Pasto,0,0,0,0
S2SR_SRC15_PAN_2021_000000076,1,1,1,2,Bosque latifoliado mixto secundario,1,Bosque y vegetación natural,0,0,0,0
S2SR_SRC15_PAN_2021_000000077,1,1,1,26,Pasto,3,Pasto,0,0,0,0
S2SR_SRC15_PAN_2021_000000078,1,1,1,26,Pasto,3,Pasto,0,0,0,0
S2SR_SRC15_PAN_2021_000000079,1,1,1,2,Bosque latifoliado mixto secundario,1,Bosque y vegetación natural,0,0,0,0
S2SR_SRC15_PAN_2021_000000080,1,1,1,2,Bosque latifoliado mixto secundario,1,Bosque y vegetación natural,0,0,0,0
S2SR_SRC15_PAN_2021_000000081,1,1,1,29,Infraestructura,6,Urbano e infraestructura,0,0,0,0
S2SR_SRC15_PAN_2021_000000082,1,1,1,26,Pasto,3,Pasto,0,0,0,0
S2SR_SRC15_PAN_2021_000000083,1,1,1,26,Pasto,3,Pasto,0,0,0,0
S2SR_SRC15_PAN_2021_000000084,1,1,1,26,Pasto,3,Pasto,0,0,0,0
S2SR_SRC15_PAN_2021_000000085,1,1,1,26,Pasto,3,Pasto,0,0,0,0
