original_record_row_id,extract_id,id_registro,id_muestra_original,xy_group_id,xy_year_group_id,xy_class_group_id,Longitud,Latitud,Pais_es,Pais_cod3,Fuente,id_fuente,Año,Clase,GranClase,nombre_clase,nombre_gran_clase,n_records_extract_unit,s2_n_month_rows,s2_year_ref,s2_year_extraction,s2yr_months_obs,s2yr_months_zero_obs,s2yr_obs_total,s2yr_obs_mean,s2yr_obs_median,s2yr_cloudprob_median,s2yr_cloudprob_mean,s2yr_ndvi_mean,s2yr_ndvi_median,s2yr_ndvi_min,s2yr_ndvi_max,s2yr_ndvi8a_mean,s2yr_ndvi8a_median,s2yr_ndvi8a_min,s2yr_ndvi8a_max,s2yr_ndre_mean,s2yr_ndre_median,s2yr_ndre_min,s2yr_ndre_max,n_records_same_extract_id,n_unique_class_code_extract_unit,n_unique_class_group_code_extract_unit,class_codes_extract_unit,class_names_extract_unit,class_group_codes_extract_unit,class_group_names_extract_unit,flag_context_multiple_records_extract_unit,flag_context_multiple_class_code,flag_context_multiple_class_group_code,flag_context_thematic_conflict,audit_country,audit_country_code,audit_source,audit_source_id,audit_year,audit_class_code,audit_class_group_code,audit_class_name,audit_class_group_name,expected_signal_group,flag_no_spectral_data,flag_low_months_obs,flag_low_total_obs,flag_high_cloudprob,class_rule_alert_level,class_rule_reason,flag_class_rule_high,flag_class_rule_medium,flag_class_rule_triggered,flag_ndvi_rare_by_class_year,flag_ndre_rare_by_class_year,ndvi_class_iqr_low,ndvi_class_iqr_high,ndre_class_iqr_low,ndre_class_iqr_high,flag_rare_spectral_value,flag_conflict_and_rare,flag_conflict_and_class_rule,spectral_alert_count,spectral_alert_level,recommended_action,main_alert_reason,flag_spectral_class_review,flag_spectral_priority,audit_scope,audit_interpretation
53,S2SR_SRC15_PAN_2021_000006847,SRC15_0000053,PAN_FCL_0000093,SRC15_PAN_2021__XY__4c275ffec0a6,SRC15_PAN_2021__XYY__f88515d7fadf,SRC15_PAN_2021__XYC__8efddde56473,-82.143719,8.188633,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,2,1,Bosque latifoliado mixto secundario,Bosque y vegetación natural,1,12,2021.0,2021.0,11,1,26,2.1666666666666665,2.0,4.5,5.818181818181818,0.7093966617329147,0.699531136297284,0.6715350223546945,0.7604355716878402,0.7357810288432556,0.72526827326918,0.7059756742464305,0.7788327282881875,0.4674096947699109,0.4686131386861313,0.4350858369098712,0.5055542424958639,1,1,1,2,Bosque latifoliado mixto secundario,1,Bosque y vegetación natural,0,0,0,0,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,2,1,Bosque latifoliado mixto secundario,Bosque y vegetación natural,vegetacion_forestal_esperada,0,0,0,0,none,Senal compatible con bosque o plantacion forestal,0,0,False,True,False,0.7156951618451342,0.9456522260291946,0.46775220877215595,0.7284626845622189,1,0,0,1,media,Revisar en control de calidad temático/espectral,rareza_espectral_por_clase_anio,1,1,Auditoría espectral preliminar SRC15 2021,Alerta exploratoria; no constituye validación temática definitiva
109,S2SR_SRC15_PAN_2021_000010959,SRC15_0000109,PAN_FCL_0000302,SRC15_PAN_2021__XY__6c823ddfa8a1,SRC15_PAN_2021__XYY__9d731595df47,SRC15_PAN_2021__XYC__b24ffaeb0744,-81.948581,8.198183,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,3,1,Bosque de mangle,Bosque y vegetación natural,1,12,2021.0,2021.0,11,1,30,2.5,2.5,4.0,4.2727272727272725,0.7272531011528858,0.7211048538482168,0.6607003891050583,0.7931835786212239,0.746156701557689,0.7438144329896906,0.6829090909090909,0.8189216683621566,0.5212107885423165,0.521817363922627,0.468584726041887,0.6156626506024095,1,1,1,3,Bosque de mangle,1,Bosque y vegetación natural,0,0,0,0,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,3,1,Bosque de mangle,Bosque y vegetación natural,vegetacion_humeda_mixta,0,0,0,0,none,Senal compatible con manglar,0,0,False,True,False,0.7306333285840758,0.9636628309113238,0.37114068966053376,0.7698878166607483,1,0,0,1,media,Revisar en control de calidad temático/espectral,rareza_espectral_por_clase_anio,1,1,Auditoría espectral preliminar SRC15 2021,Alerta exploratoria; no constituye validación temática definitiva
136,S2SR_SRC15_PAN_2021_000006744,SRC15_0000136,PAN_FCL_0000418,SRC15_PAN_2021__XY__04c24ac75aef,SRC15_PAN_2021__XYY__3c7a7edbef58,SRC15_PAN_2021__XYC__c0076e0a504a,-82.148297,8.202185,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,2,1,Bosque latifoliado mixto secundario,Bosque y vegetación natural,1,12,2021.0,2021.0,11,1,27,2.25,2.0,8.5,11.409090909090908,0.6009059050812102,0.6415575870107815,0.4093451825665701,0.7184271103394761,0.6412405272710153,0.6776809501521114,0.4472078346667841,0.7509161561811399,0.3696816641990987,0.3865679534637758,0.2661177925489714,0.4809458667187805,1,1,1,2,Bosque latifoliado mixto secundario,1,Bosque y vegetación natural,0,0,0,0,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,2,1,Bosque latifoliado mixto secundario,Bosque y vegetación natural,vegetacion_forestal_esperada,0,0,0,0,none,Senal compatible con bosque o plantacion forestal,0,0,False,True,True,0.7156951618451342,0.9456522260291946,0.46775220877215595,0.7284626845622189,1,0,0,1,media,Revisar en control de calidad temático/espectral,rareza_espectral_por_clase_anio,1,1,Auditoría espectral preliminar SRC15 2021,Alerta exploratoria; no constituye validación temática definitiva
178,S2SR_SRC15_PAN_2021_000005723,SRC15_0000178,PAN_FCL_0000581,SRC15_PAN_2021__XY__b7ddaf9a7d83,SRC15_PAN_2021__XYY__baa255b4d822,SRC15_PAN_2021__XYC__45582c275087,-82.195965,8.206568,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,3,1,Bosque de mangle,Bosque y vegetación natural,1,12,2021.0,2021.0,10,2,29,2.4166666666666665,2.0,9.0,9.75,0.588804597829212,0.6241207699881126,0.4406842692450725,0.6693177061532022,0.6454351436127141,0.6691506124359059,0.5163987138263666,0.7394459102902374,0.4325357431665444,0.45510725711250244,0.3125475423227302,0.5085812356979404,1,1,1,3,Bosque de mangle,1,Bosque y vegetación natural,0,0,0,0,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,3,1,Bosque de mangle,Bosque y vegetación natural,vegetacion_humeda_mixta,0,0,0,0,none,Senal compatible con manglar,0,0,False,True,False,0.7306333285840758,0.9636628309113238,0.37114068966053376,0.7698878166607483,1,0,0,1,media,Revisar en control de calidad temático/espectral,rareza_espectral_por_clase_anio,1,1,Auditoría espectral preliminar SRC15 2021,Alerta exploratoria; no constituye validación temática definitiva
200,S2SR_SRC15_PAN_2021_000012395,SRC15_0000200,PAN_FCL_0000649,SRC15_PAN_2021__XY__61ce8056a4ff,SRC15_PAN_2021__XYY__7c3cfb3066ac,SRC15_PAN_2021__XYC__65bc2bd5cfff,-81.885057,8.207371,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,2,1,Bosque latifoliado mixto secundario,Bosque y vegetación natural,1,12,2021.0,2021.0,10,2,52,4.333333333333333,4.0,4.0,8.2,0.6904138411381148,0.7030464635215758,0.5455324895890796,0.8257453751455163,0.7164783806953758,0.7219612565068749,0.5740162729009469,0.8436905769304928,0.47446409583320764,0.4888549306963826,0.3591941746330104,0.5726242009590761,1,1,1,2,Bosque latifoliado mixto secundario,1,Bosque y vegetación natural,0,0,0,0,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,2,1,Bosque latifoliado mixto secundario,Bosque y vegetación natural,vegetacion_forestal_esperada,0,0,0,0,none,Senal compatible con bosque o plantacion forestal,0,0,False,True,False,0.7156951618451342,0.9456522260291946,0.46775220877215595,0.7284626845622189,1,0,0,1,media,Revisar en control de calidad temático/espectral,rareza_espectral_por_clase_anio,1,1,Auditoría espectral preliminar SRC15 2021,Alerta exploratoria; no constituye validación temática definitiva
210,S2SR_SRC15_PAN_2021_000005302,SRC15_0000210,PAN_FCL_0000680,SRC15_PAN_2021__XY__aa23dad59345,SRC15_PAN_2021__XYY__47ac42539aba,SRC15_PAN_2021__XYC__569b74626687,-82.216395,8.208768,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,2,1,Bosque latifoliado mixto secundario,Bosque y vegetación natural,1,12,2021.0,2021.0,11,1,27,2.25,2.0,13.0,13.545454545454545,0.6582302437085037,0.6689774696707105,0.4614946499283848,0.8496083550913839,0.6859326650748807,0.7026080186843129,0.4995988870368244,0.8498044328552804,0.45288699343000793,0.4597238204833142,0.3043340063426512,0.6097118221012026,1,1,1,2,Bosque latifoliado mixto secundario,1,Bosque y vegetación natural,0,0,0,0,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,2,1,Bosque latifoliado mixto secundario,Bosque y vegetación natural,vegetacion_forestal_esperada,0,0,0,0,none,Senal compatible con bosque o plantacion forestal,0,0,False,True,True,0.7156951618451342,0.9456522260291946,0.46775220877215595,0.7284626845622189,1,0,0,1,media,Revisar en control de calidad temático/espectral,rareza_espectral_por_clase_anio,1,1,Auditoría espectral preliminar SRC15 2021,Alerta exploratoria; no constituye validación temática definitiva
285,S2SR_SRC15_PAN_2021_000007377,SRC15_0000285,PAN_FCL_0000956,SRC15_PAN_2021__XY__21da2f4d7739,SRC15_PAN_2021__XYY__ff3976cd3cc1,SRC15_PAN_2021__XYC__e9640b0385a9,-82.118827,8.213573,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,26,3,Pasto,Pasto,1,12,2021.0,2021.0,9,3,28,2.3333333333333335,2.0,7.0,11.88888888888889,0.3617716712643254,0.4050228030601995,0.2356084726873981,0.4831603473840288,0.40258074447758574,0.4447094339094721,0.2691545981065307,0.5088566827697263,0.26209632733703175,0.2953952933922846,0.1681625811124885,0.3338645418326694,1,1,1,26,Pasto,3,Pasto,0,0,0,0,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,26,3,Pasto,Pasto,vegetacion_herbacea_estacional,0,0,0,0,none,Senal compatible con pasto,0,0,False,True,False,0.4252056828884969,0.9411504739649379,0.27553044066185495,0.6659670380747192,1,0,0,1,media,Revisar en control de calidad temático/espectral,rareza_espectral_por_clase_anio,1,1,Auditoría espectral preliminar SRC15 2021,Alerta exploratoria; no constituye validación temática definitiva
324,S2SR_SRC15_PAN_2021_000010204,SRC15_0000324,PAN_FCL_0001122,SRC15_PAN_2021__XY__9a94c5ab4ece,SRC15_PAN_2021__XYY__ddc33d2dc54b,SRC15_PAN_2021__XYC__ece176c74bf8,-81.982667,8.216189,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,3,1,Bosque de mangle,Bosque y vegetación natural,1,12,2021.0,2021.0,11,1,31,2.5833333333333335,2.5,4.0,5.954545454545454,0.7083256448017099,0.7176573426573427,0.6380013512683496,0.7729257641921397,0.7326816081898667,0.7432993582483957,0.6651265450787432,0.7913170375775266,0.41135100975424455,0.4190281547343226,0.3601508485229415,0.4608747396608153,1,1,1,3,Bosque de mangle,1,Bosque y vegetación natural,0,0,0,0,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,3,1,Bosque de mangle,Bosque y vegetación natural,vegetacion_humeda_mixta,0,0,0,0,none,Senal compatible con manglar,0,0,False,True,False,0.7306333285840758,0.9636628309113238,0.37114068966053376,0.7698878166607483,1,0,0,1,media,Revisar en control de calidad temático/espectral,rareza_espectral_por_clase_anio,1,1,Auditoría espectral preliminar SRC15 2021,Alerta exploratoria; no constituye validación temática definitiva
360,S2SR_SRC15_PAN_2021_000008400,SRC15_0000360,PAN_FCL_0001248,SRC15_PAN_2021__XY__c1f4f6c23159,SRC15_PAN_2021__XYY__ba8332dbe54a,SRC15_PAN_2021__XYC__ca38ba11b447,-82.068913,8.21823,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,26,3,Pasto,Pasto,1,12,2021.0,2021.0,10,2,31,2.5833333333333335,2.5,5.0,5.95,0.22755880055404734,0.24784551785354775,0.1330760235652181,0.2866010733452594,0.28249213510781546,0.3135635970409292,0.1633036118110744,0.3566683699540112,0.18225879597097377,0.2014473302226953,0.093632518968565,0.2307692307692307,1,1,1,26,Pasto,3,Pasto,0,0,0,0,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,26,3,Pasto,Pasto,vegetacion_herbacea_estacional,0,0,0,0,medium,Pasto con NDVI bajo o muy alto,0,1,True,True,True,0.4252056828884969,0.9411504739649379,0.27553044066185495,0.6659670380747192,1,0,0,2,media,Revisar en control de calidad temático/espectral,regla_clase_media: Pasto con NDVI bajo o muy alto,1,1,Auditoría espectral preliminar SRC15 2021,Alerta exploratoria; no constituye validación temática definitiva
367,S2SR_SRC15_PAN_2021_000011304,SRC15_0000367,PAN_FCL_0001299,SRC15_PAN_2021__XY__5602cd9faf67,SRC15_PAN_2021__XYY__635316b57ef0,SRC15_PAN_2021__XYC__f6bff21e5068,-81.932743,8.218569,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,26,3,Pasto,Pasto,1,12,2021.0,2021.0,11,1,26,2.1666666666666665,2.0,6.0,8.045454545454545,0.29121273728477043,0.2892561983471075,0.0976540007058429,0.519071052067029,0.33300885401251973,0.3488794669897032,0.1195865019159414,0.5585392982213113,0.20052049331766292,0.2266593225006885,0.0506128235164186,0.3376746047651782,1,1,1,26,Pasto,3,Pasto,0,0,0,0,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,26,3,Pasto,Pasto,vegetacion_herbacea_estacional,0,0,0,0,none,Senal compatible con pasto,0,0,False,True,True,0.4252056828884969,0.9411504739649379,0.27553044066185495,0.6659670380747192,1,0,0,1,media,Revisar en control de calidad temático/espectral,rareza_espectral_por_clase_anio,1,1,Auditoría espectral preliminar SRC15 2021,Alerta exploratoria; no constituye validación temática definitiva
