xy_class_group_id,xy_group_id,xy_year_group_id,lon,lat,year_ref,class_code,class_group_code,class_name,class_group_name,records,country,country_code,source,source_id
SRC15_PAN_2021__XYC__0000f456128d,SRC15_PAN_2021__XY__ef39cb684862,SRC15_PAN_2021__XYY__fbab90b1bc04,-82.351401,8.533884,2021,26,3,Pasto,Pasto,1,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15
SRC15_PAN_2021__XYC__0008f234babc,SRC15_PAN_2021__XY__44327ad1f773,SRC15_PAN_2021__XYY__a1d6a645096d,-82.081013,8.491774,2021,2,1,Bosque latifoliado mixto secundario,Bosque y vegetación natural,1,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15
SRC15_PAN_2021__XYC__000c73a079b6,SRC15_PAN_2021__XY__e7dc621b49a7,SRC15_PAN_2021__XYY__130ea08c7f08,-81.969127,8.247877,2021,2,1,Bosque latifoliado mixto secundario,Bosque y vegetación natural,1,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15
SRC15_PAN_2021__XYC__0019b2e01859,SRC15_PAN_2021__XY__55d86a514fe5,SRC15_PAN_2021__XYY__f63c6b7edfba,-81.946301,8.193666,2021,2,1,Bosque latifoliado mixto secundario,Bosque y vegetación natural,1,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15
SRC15_PAN_2021__XYC__001cbc6c86d1,SRC15_PAN_2021__XY__ac043db3ad69,SRC15_PAN_2021__XYY__6171375af2ff,-81.916794,8.191473,2021,2,1,Bosque latifoliado mixto secundario,Bosque y vegetación natural,1,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15
SRC15_PAN_2021__XYC__001ed7f21346,SRC15_PAN_2021__XY__58bf2b77132f,SRC15_PAN_2021__XYY__dfe191315e17,-82.347082,8.5972,2021,2,1,Bosque latifoliado mixto secundario,Bosque y vegetación natural,1,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15
SRC15_PAN_2021__XYC__00210fe41ff3,SRC15_PAN_2021__XY__14809a7e5fbf,SRC15_PAN_2021__XYY__ab9c3c63592b,-82.128278,8.344681,2021,29,6,Infraestructura,Urbano e infraestructura,1,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15
SRC15_PAN_2021__XYC__002e03f8cd9b,SRC15_PAN_2021__XY__9aea095c936a,SRC15_PAN_2021__XYY__7801031ecd6c,-82.016796,8.25002,2021,26,3,Pasto,Pasto,1,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15
SRC15_PAN_2021__XYC__00319c4b0222,SRC15_PAN_2021__XY__1f8f2b104060,SRC15_PAN_2021__XYY__159379bf4343,-82.057995,8.378789,2021,26,3,Pasto,Pasto,1,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15
SRC15_PAN_2021__XYC__0034881d127e,SRC15_PAN_2021__XY__effa642354c5,SRC15_PAN_2021__XYY__4557c3439b71,-82.260834,8.617839,2021,26,3,Pasto,Pasto,1,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15
