id_registro,id_muestra_original,Fuente,id_fuente,Pais_es,Pais_cod3,Año,Longitud,Latitud,Clase,GranClase,nombre_clase,nombre_gran_clase,revision_nulos_tematicos,motivo_revision,candidate_id,raster_value,class_name_en,stratum_id,distance_scenario_m,selection_status,protected,nearest_neighbor_m,xy_group_id,xy_year_group_id,xy_class_group_id
SRC15_0000001,PAN_FCL_0000001,MIAMBIENTE - Cultivos Mapa Panamá,15,Panamá,PAN,2021,-82.25715,8.179252,2,1,Bosque latifoliado mixto secundario,Bosque y vegetación natural,0,,1,2,Secondary Mixed Broadleaf Forest,2 | Bosque latifoliado mixto secundario,500,minimum_class_representation,1,500.0,SRC15_PAN_2021__XY__714ce5476f05,SRC15_PAN_2021__XYY__c0a5c7f5798f,SRC15_PAN_2021__XYC__8fc556e831a6
SRC15_0000002,PAN_FCL_0000005,MIAMBIENTE - Cultivos Mapa Panamá,15,Panamá,PAN,2021,-82.248073,8.17928,13,5,Playa y arenal natural,Suelo desnudo y rasgos naturales,0,,5,13,Sand Beaches,13 | Playa y arenal natural,500,minimum_class_representation,1,500.0,SRC15_PAN_2021__XY__83a36e9a9e88,SRC15_PAN_2021__XYY__6303ad86b33e,SRC15_PAN_2021__XYC__b8ab6fb8c2f1
SRC15_0000003,PAN_FCL_0000006,MIAMBIENTE - Cultivos Mapa Panamá,15,Panamá,PAN,2021,-82.186807,8.179465,27,4,Superficie de agua,Agua y acuicultura,0,,6,27,Water Bodies,27 | Superficie de agua,500,minimum_class_representation,1,500.0,SRC15_PAN_2021__XY__9b934554f2a9,SRC15_PAN_2021__XYY__8b05ad0ab24c,SRC15_PAN_2021__XYC__ef741dbb088a
SRC15_0000004,PAN_FCL_0000008,MIAMBIENTE - Cultivos Mapa Panamá,15,Panamá,PAN,2021,-82.148232,8.179576,26,3,Pasto,Pasto,0,,8,26,Pasture,26 | Pasto,500,minimum_class_representation,1,500.0,SRC15_PAN_2021__XY__fef364bd81e2,SRC15_PAN_2021__XYY__333ea799d0a7,SRC15_PAN_2021__XYC__03cd49fa98a5
SRC15_0000005,PAN_FCL_0000015,MIAMBIENTE - Cultivos Mapa Panamá,15,Panamá,PAN,2021,-81.891805,8.180223,3,1,Bosque de mangle,Bosque y vegetación natural,0,,15,3,Mangrove Forest,3 | Bosque de mangle,500,priority_class_representation,1,250.0,SRC15_PAN_2021__XY__c64a01736225,SRC15_PAN_2021__XYY__92ecb070e78e,SRC15_PAN_2021__XYC__7d4c08e1441e
SRC15_0000006,PAN_FCL_0000017,MIAMBIENTE - Cultivos Mapa Panamá,15,Panamá,PAN,2021,-81.887267,8.180233,3,1,Bosque de mangle,Bosque y vegetación natural,0,,17,3,Mangrove Forest,3 | Bosque de mangle,500,priority_class_representation,1,250.0,SRC15_PAN_2021__XY__1ab3001443fc,SRC15_PAN_2021__XYY__c7e1e72744f5,SRC15_PAN_2021__XYC__3cf835f58056
SRC15_0000007,PAN_FCL_0000018,MIAMBIENTE - Cultivos Mapa Panamá,15,Panamá,PAN,2021,-81.884997,8.180238,3,1,Bosque de mangle,Bosque y vegetación natural,0,,18,3,Mangrove Forest,3 | Bosque de mangle,500,priority_class_representation,1,250.0,SRC15_PAN_2021__XY__7dbd495404a4,SRC15_PAN_2021__XYY__01cec8f74ce3,SRC15_PAN_2021__XYC__1eb34a304b37
SRC15_0000008,PAN_FCL_0000019,MIAMBIENTE - Cultivos Mapa Panamá,15,Panamá,PAN,2021,-81.882728,8.180243,3,1,Bosque de mangle,Bosque y vegetación natural,0,,19,3,Mangrove Forest,3 | Bosque de mangle,500,priority_class_representation,1,250.0,SRC15_PAN_2021__XY__1eda1c8e6a42,SRC15_PAN_2021__XYY__57c71e85981e,SRC15_PAN_2021__XYC__a9efd3928b32
SRC15_0000009,PAN_FCL_0000020,MIAMBIENTE - Cultivos Mapa Panamá,15,Panamá,PAN,2021,-81.880458,8.180248,3,1,Bosque de mangle,Bosque y vegetación natural,0,,20,3,Mangrove Forest,3 | Bosque de mangle,500,priority_class_representation,1,250.0,SRC15_PAN_2021__XY__8904d6fbca94,SRC15_PAN_2021__XYY__6eda9ce64f05,SRC15_PAN_2021__XYC__3853a9149e1c
SRC15_0000010,PAN_FCL_0000035,MIAMBIENTE - Cultivos Mapa Panamá,15,Panamá,PAN,2021,-81.896349,8.182474,3,1,Bosque de mangle,Bosque y vegetación natural,0,,35,3,Mangrove Forest,3 | Bosque de mangle,500,priority_class_representation,1,250.0,SRC15_PAN_2021__XY__8c8e96085b70,SRC15_PAN_2021__XYY__15fd42b35f6a,SRC15_PAN_2021__XYC__3275034a8759
SRC15_0000011,PAN_FCL_0000036,MIAMBIENTE - Cultivos Mapa Panamá,15,Panamá,PAN,2021,-81.89408,8.182479,3,1,Bosque de mangle,Bosque y vegetación natural,0,,36,3,Mangrove Forest,3 | Bosque de mangle,500,priority_class_representation,1,250.0,SRC15_PAN_2021__XY__9fcf48ca2053,SRC15_PAN_2021__XYY__328c8486c613,SRC15_PAN_2021__XYC__91b4f9329ddf
SRC15_0000012,PAN_FCL_0000037,MIAMBIENTE - Cultivos Mapa Panamá,15,Panamá,PAN,2021,-81.89181,8.182484,3,1,Bosque de mangle,Bosque y vegetación natural,0,,37,3,Mangrove Forest,3 | Bosque de mangle,500,priority_class_representation,1,250.0,SRC15_PAN_2021__XY__f4bcb128d49c,SRC15_PAN_2021__XYY__c5b390ebf481,SRC15_PAN_2021__XYC__793568261d98
SRC15_0000013,PAN_FCL_0000038,MIAMBIENTE - Cultivos Mapa Panamá,15,Panamá,PAN,2021,-81.889541,8.182489,3,1,Bosque de mangle,Bosque y vegetación natural,0,,38,3,Mangrove Forest,3 | Bosque de mangle,500,priority_class_representation,1,250.0,SRC15_PAN_2021__XY__500946c7911e,SRC15_PAN_2021__XYY__ce491d352789,SRC15_PAN_2021__XYC__832cffa36afc
SRC15_0000014,PAN_FCL_0000039,MIAMBIENTE - Cultivos Mapa Panamá,15,Panamá,PAN,2021,-81.887272,8.182494,3,1,Bosque de mangle,Bosque y vegetación natural,0,,39,3,Mangrove Forest,3 | Bosque de mangle,500,priority_class_representation,1,250.0,SRC15_PAN_2021__XY__dd5ebcfd4b5e,SRC15_PAN_2021__XYY__bb376ea1e6ee,SRC15_PAN_2021__XYC__2dd646b659dc
SRC15_0000015,PAN_FCL_0000084,MIAMBIENTE - Cultivos Mapa Panamá,15,Panamá,PAN,2021,-81.89182,8.187007,8,1,Bosque plantado de latifoliadas,Bosque y vegetación natural,0,,84,8,Broadleaf Forest,8 | Bosque plantado de latifoliadas,500,minimum_class_representation,1,500.0,SRC15_PAN_2021__XY__c38b291b7338,SRC15_PAN_2021__XYY__65ae9ce1afac,SRC15_PAN_2021__XYC__a7a5039bef67
SRC15_0000016,PAN_FCL_0000095,MIAMBIENTE - Cultivos Mapa Panamá,15,Panamá,PAN,2021,-81.953099,8.189128,9,1,Rastrojo y vegetación arbustiva,Bosque y vegetación natural,0,,95,9,Shrubs and Bushes,9 | Rastrojo y vegetación arbustiva,500,minimum_class_representation,1,500.0,SRC15_PAN_2021__XY__fde2ba773291,SRC15_PAN_2021__XYY__ff1289181a21,SRC15_PAN_2021__XYC__0ce798b03599
