xy_year_group_id,xy_group_id,lon,lat,year_ref,records,n_class_codes,n_class_group_codes,n_sources,country,country_code,has_thematic_conflict
SRC15_PAN_2021__XYY__00030449229a,SRC15_PAN_2021__XY__fd965b68680b,-82.354986,8.258062,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__00062703a566,SRC15_PAN_2021__XY__6a8753384810,-82.219879,8.597624,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__00073d21f550,SRC15_PAN_2021__XY__a19ffe556a29,-82.064855,8.396858,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__0012b8b32cb5,SRC15_PAN_2021__XY__952d953a1dbe,-81.965456,8.598346,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__0012c07f1eb0,SRC15_PAN_2021__XY__df930c5e713b,-81.89413,8.20509,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__0015c40f0ee5,SRC15_PAN_2021__XY__fcc0c6b7e2cd,-82.071231,8.236312,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__001a1bfd8db1,SRC15_PAN_2021__XY__378fe68189ab,-81.996648,8.360861,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__001c6c18e6e1,SRC15_PAN_2021__XY__2c74d8fffd6c,-82.257839,8.39629,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__001d90d47bb8,SRC15_PAN_2021__XY__08efcfe209f9,-81.904038,8.564579,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__0026c3085ea5,SRC15_PAN_2021__XY__a8421c0a49c1,-82.226354,8.491344,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__002a895586c1,SRC15_PAN_2021__XY__53441e6c71a4,-82.207815,8.371577,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__002d69376ecd,SRC15_PAN_2021__XY__7564240ce24f,-82.208329,8.536617,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__002e78069791,SRC15_PAN_2021__XY__8b4bf9d2c87e,-82.119133,8.322097,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__002f28032dba,SRC15_PAN_2021__XY__dd0da9d4ce77,-82.346077,8.307829,2021,1,1,1,1,Panamá,PAN,0
