nombre_clase,records,percentage
Pastizales naturales y cultivados,4709,37.5189
Latifoliado secundario húmedo,2893,23.05
Regeneración forestal,1571,12.5169
Manglares,1122,8.9395
Latifoliado maduro húmedo,787,6.2704
Cuerpos de Agua,366,2.9161
Urbano,279,2.2229
Plantaciones forestales,210,1.6732
Granos básicos y hortalizas y otros,167,1.3306
Palma aceitera,143,1.1394
Otros artificializado,102,0.8127
Caña de azúcar,79,0.6294
"Suelo desnudo, arena, rocoso, lava, otros",62,0.494
Otros sistemas agroforestales o silvopastoriles,25,0.1992
Piña,24,0.1912
Humedales,6,0.0478
Frutales,5,0.0398
Cuerpos de agua artificial,1,0.008
