GranClase,nombre_gran_clase,Clase,nombre_clase,extract_units_or_records
33,"Cultivos extensivos, Pastizales y matorrales",332,Pastizales naturales y cultivados,4709
41,Bosque latifoliado y mixto,412,Latifoliado secundario húmedo,2893
44,Otros arbóreo en tierras no agrícola,444,Regeneración forestal,1571
43,Manglares,430,Manglares,1122
41,Bosque latifoliado y mixto,411,Latifoliado maduro húmedo,787
21,Cuerpos de Agua,210,Cuerpos de Agua,366
11,Urbano,110,Urbano,279
44,Otros arbóreo en tierras no agrícola,442,Plantaciones forestales,210
33,"Cultivos extensivos, Pastizales y matorrales",331,Granos básicos y hortalizas y otros,167
31,Cultivos intensivos No-Arbóreos,311,Palma aceitera,143
12,Otras tierras,121,Otros artificializado,102
31,Cultivos intensivos No-Arbóreos,313,Caña de azúcar,79
12,Otras tierras,122,"Suelo desnudo, arena, rocoso, lava, otros",62
32,Cultivos Arbóreos,325,Otros sistemas agroforestales o silvopastoriles,25
31,Cultivos intensivos No-Arbóreos,314,Piña,24
22,Humedales,220,Humedales,6
32,Cultivos Arbóreos,323,Frutales,5
21,Cuerpos de Agua,212,Cuerpos de agua artificial,1
