source_rowid,xy_group_id,lon,lat,anio,pais,id_fuente,fuente,tipo_fuente,detalle_tipo_fuente,id_origen,score_directitud,score_trazabilidad,score_consistencia_temporal_fuente,score_fuente_base,flag_anio_fuente_informado,flag_anio_fuente_consistente,flag_nombre_fuente_inconsistente,flag_tipo_fuente_inconsistente,flag_pais_fuente_inconsistente,nivel_0,nivel_1,nivel_2,conf_integrada,conf_integrada_score_observado,conf_integrada_observada,score_temporal_registro,estado_registro_scoring,geometry
1,SRC15_PAN_2021__XY__00019da5cde3,-82.062988,8.543826,2021,Panamá,15,MIAMBIENTE - Cultivos Mapa Panamá,nueva_fuente,MIAMBIENTE - Cultivos Mapa Panamá,SRC15_PAN_2021__XY__00019da5cde3,85.0,85.0,100.0,85.0,1,1,0,0,0,Tierras Forestales,Otros arbóreo en tierras no agrícola,Regeneración forestal,84.75,0.0,0,100.0,datos_para_validacion,POINT (-82.06298804847705 8.543825912477153)
2,SRC15_PAN_2021__XY__0001d7cc6556,-82.008446,8.532667,2021,Panamá,15,MIAMBIENTE - Cultivos Mapa Panamá,nueva_fuente,MIAMBIENTE - Cultivos Mapa Panamá,SRC15_PAN_2021__XY__0001d7cc6556,85.0,85.0,100.0,85.0,1,1,0,0,0,Tierras Forestales,Bosque latifoliado y mixto,Latifoliado secundario húmedo,94.75,0.0,0,100.0,datos_para_entrenamiento,POINT (-82.00844577087038 8.53266678291693)
3,SRC15_PAN_2021__XY__00034e4ad497,-81.883673,8.598542,2021,Panamá,15,MIAMBIENTE - Cultivos Mapa Panamá,nueva_fuente,MIAMBIENTE - Cultivos Mapa Panamá,SRC15_PAN_2021__XY__00034e4ad497,85.0,85.0,100.0,85.0,1,1,0,0,0,Tierras Forestales,Bosque latifoliado y mixto,Latifoliado maduro húmedo,94.75,0.0,0,100.0,datos_para_entrenamiento,POINT (-81.88367261396283 8.598542018650104)
4,SRC15_PAN_2021__XY__00038a876682,-82.094639,8.491736,2021,Panamá,15,MIAMBIENTE - Cultivos Mapa Panamá,nueva_fuente,MIAMBIENTE - Cultivos Mapa Panamá,SRC15_PAN_2021__XY__00038a876682,85.0,85.0,100.0,85.0,1,1,0,0,0,Tierras Forestales,Bosque latifoliado y mixto,Latifoliado secundario húmedo,94.75,0.0,0,100.0,datos_para_entrenamiento,POINT (-82.09463876407074 8.491736312918466)
5,SRC15_PAN_2021__XY__00051c2946df,-82.158349,8.532248,2021,Panamá,15,MIAMBIENTE - Cultivos Mapa Panamá,nueva_fuente,MIAMBIENTE - Cultivos Mapa Panamá,SRC15_PAN_2021__XY__00051c2946df,85.0,85.0,100.0,85.0,1,1,0,0,0,Tierras de Cultivo y Pastos,"Cultivos extensivos, Pastizales y matorrales",Pastizales naturales y cultivados,94.75,0.0,0,100.0,datos_para_entrenamiento,POINT (-82.15834859010889 8.532248093006128)
6,SRC15_PAN_2021__XY__000e2383eb76,-82.201558,8.550203,2021,Panamá,15,MIAMBIENTE - Cultivos Mapa Panamá,nueva_fuente,MIAMBIENTE - Cultivos Mapa Panamá,SRC15_PAN_2021__XY__000e2383eb76,85.0,85.0,100.0,85.0,1,1,0,0,0,Tierras Forestales,Otros arbóreo en tierras no agrícola,Regeneración forestal,84.75,0.0,0,100.0,datos_para_validacion,POINT (-82.20155756566426 8.550203443947252)
7,SRC15_PAN_2021__XY__0016234620a5,-82.421313,8.400255,2021,Panamá,15,MIAMBIENTE - Cultivos Mapa Panamá,nueva_fuente,MIAMBIENTE - Cultivos Mapa Panamá,SRC15_PAN_2021__XY__0016234620a5,85.0,85.0,100.0,85.0,1,1,0,0,0,Artificializado y otra tierras,Urbano,Urbano,94.75,0.0,0,100.0,datos_para_entrenamiento,POINT (-82.4213126170927 8.40025504945262)
8,SRC15_PAN_2021__XY__001deb4f302f,-81.878278,8.220953,2021,Panamá,15,MIAMBIENTE - Cultivos Mapa Panamá,nueva_fuente,MIAMBIENTE - Cultivos Mapa Panamá,SRC15_PAN_2021__XY__001deb4f302f,85.0,85.0,100.0,85.0,1,1,0,0,0,Tierras de Cultivo y Pastos,"Cultivos extensivos, Pastizales y matorrales",Pastizales naturales y cultivados,94.75,0.0,0,100.0,datos_para_entrenamiento,POINT (-81.8782784377369 8.220952909600376)
9,SRC15_PAN_2021__XY__002679e06fcc,-81.939792,8.320301,2021,Panamá,15,MIAMBIENTE - Cultivos Mapa Panamá,nueva_fuente,MIAMBIENTE - Cultivos Mapa Panamá,SRC15_PAN_2021__XY__002679e06fcc,85.0,85.0,100.0,85.0,1,1,0,0,0,Tierras Forestales,Otros arbóreo en tierras no agrícola,Regeneración forestal,84.75,0.0,0,100.0,datos_para_validacion,POINT (-81.93979247119913 8.320300723129666)
10,SRC15_PAN_2021__XY__0026e9014fbc,-82.153854,8.548088,2021,Panamá,15,MIAMBIENTE - Cultivos Mapa Panamá,nueva_fuente,MIAMBIENTE - Cultivos Mapa Panamá,SRC15_PAN_2021__XY__0026e9014fbc,85.0,85.0,100.0,85.0,1,1,0,0,0,Tierras de Cultivo y Pastos,"Cultivos extensivos, Pastizales y matorrales",Pastizales naturales y cultivados,94.75,0.0,0,100.0,datos_para_entrenamiento,POINT (-82.15385374773277 8.548087693936008)
