original_record_row_id,extract_id,id_registro,id_muestra_original,xy_group_id,xy_year_group_id,xy_class_group_id,Longitud,Latitud,Pais_es,Pais_cod3,Fuente,id_fuente,Año,Clase,GranClase,nombre_clase,nombre_gran_clase,class_name,n_records_extract_unit,s2_n_month_rows,s2_year_ref,s2_year_extraction,s2yr_months_obs,s2yr_months_zero_obs,s2yr_obs_total,s2yr_obs_mean,s2yr_obs_median,s2yr_cloudprob_median,s2yr_cloudprob_mean,s2yr_ndvi_mean,s2yr_ndvi_median,s2yr_ndvi_min,s2yr_ndvi_max,s2yr_ndvi8a_mean,s2yr_ndvi8a_median,s2yr_ndvi8a_min,s2yr_ndvi8a_max,s2yr_ndre_mean,s2yr_ndre_median,s2yr_ndre_min,s2yr_ndre_max,geometry,audit_country,audit_source,audit_year,level_1_code,level_2_code,n_nivel1,n_nivel2,n_registros,n_paises,n_fuentes,tipo_grupo_xy,level_0_code,level_0_name,level_1_name_ref,level_2_name_ref,expected_signal_group,flag_no_spectral_data,flag_low_months_obs,flag_low_total_obs,flag_high_cloudprob,flag_vegetation_low_ndvi,flag_vegetation_low_ndre,flag_nonvegetation_high_ndvi,flag_prior_xy_conflict,flag_multiple_level1_xy,flag_multiple_level2_xy,flag_ndvi_rare_by_class_country_year,flag_ndre_rare_by_class_country_year,flag_rare_spectral_value,spectral_alert_count,spectral_alert_level,recommended_action,flag_spectral_class_review,audit_scope,audit_interpretation
1,S2SR_SRC15_PAN_2021_000004583,SRC15_0000001,PAN_FCL_0000001,SRC15_PAN_2021__XY__714ce5476f05,SRC15_PAN_2021__XYY__c0a5c7f5798f,SRC15_PAN_2021__XYC__d9024a4dfca6,-82.25715,8.179252,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,412,41,Latifoliado secundario húmedo,Bosque latifoliado y mixto,Bosque latifoliado mixto secundario,1,12,2021.0,2021.0,10,2,31,2.5833333333333335,2.0,3.75,4.8,0.8867295821156571,0.8883396480662344,0.8314393174955104,0.9230598176562154,0.8969392998278958,0.8983431716869352,0.8464439101608932,0.934687774750791,0.6625992509065519,0.6652130919021564,0.6171553373046333,0.7012040750632922,POINT (-82.25714951055434 8.179251931396383),Panamá,MIAMBIENTE - Cultivos Mapa Panamá,2021,41,412,1,1,1,1,1,xy_unico_en_subset,40,Tierras Forestales,Bosque latifoliado y mixto,Latifoliado secundario húmedo,vegetacion_esperada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_alerta,Sin alerta preliminar,0,Módulo 09 - auditoría espectral preliminar por clase,Alerta exploratoria; no constituye validación temática definitiva
2,S2SR_SRC15_PAN_2021_000004757,SRC15_0000002,PAN_FCL_0000005,SRC15_PAN_2021__XY__83a36e9a9e88,SRC15_PAN_2021__XYY__6303ad86b33e,SRC15_PAN_2021__XYC__ce0eb160fc00,-82.248073,8.17928,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,122,12,"Suelo desnudo, arena, rocoso, lava, otros",Otras tierras,Playa y arenal natural,1,12,2021.0,2021.0,10,2,28,2.3333333333333335,2.0,10.25,11.55,0.8080537470527622,0.847695930212011,0.5298932581162545,0.8941396732763639,0.822336684848748,0.8556594978404296,0.5645016165932917,0.9070185215112188,0.5852889026006697,0.6194552543739653,0.3485628207184214,0.6682574333959723,POINT (-82.24807320704014 8.17928006379617),Panamá,MIAMBIENTE - Cultivos Mapa Panamá,2021,12,122,1,1,1,1,1,xy_unico_en_subset,10,Artificializado y otra tierras,Otras tierras,"Suelo desnudo, arena, rocoso, lava, otros",no_vegetacion_esperada,0,0,0,0,0,0,1,0,0,0,0,0,0,1,baja,Revisar si pertenece a clase o fuente prioritaria,1,Módulo 09 - auditoría espectral preliminar por clase,Alerta exploratoria; no constituye validación temática definitiva
3,S2SR_SRC15_PAN_2021_000005920,SRC15_0000003,PAN_FCL_0000006,SRC15_PAN_2021__XY__9b934554f2a9,SRC15_PAN_2021__XYY__8b05ad0ab24c,SRC15_PAN_2021__XYC__c4d57c0409c8,-82.186807,8.179465,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,210,21,Cuerpos de Agua,Cuerpos de Agua,Superficie de agua,1,12,2021.0,2021.0,11,1,29,2.4166666666666665,2.0,25.0,26.272727272727273,0.6004906072339258,0.724228190448782,0.2346152662650796,0.7810218978102191,0.6123897530271575,0.7320202456154118,0.252104303162889,0.7963329045378064,0.3786046460807481,0.4211543772438553,0.1164150769637033,0.533533072136437,POINT (-82.18680732882041 8.179464628808407),Panamá,MIAMBIENTE - Cultivos Mapa Panamá,2021,21,210,1,1,1,1,1,xy_unico_en_subset,20,Tierras húmedas y agua,Cuerpos de Agua,Cuerpos de Agua,agua_humedal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_alerta,Sin alerta preliminar,0,Módulo 09 - auditoría espectral preliminar por clase,Alerta exploratoria; no constituye validación temática definitiva
4,S2SR_SRC15_PAN_2021_000006746,SRC15_0000004,PAN_FCL_0000008,SRC15_PAN_2021__XY__fef364bd81e2,SRC15_PAN_2021__XYY__333ea799d0a7,SRC15_PAN_2021__XYC__83a84a9fb149,-82.148232,8.179576,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,332,33,Pastizales naturales y cultivados,"Cultivos extensivos, Pastizales y matorrales",Pasto,1,12,2021.0,2021.0,11,1,31,2.5833333333333335,2.0,4.5,7.045454545454546,0.6914609341787341,0.7038474887500338,0.4395118872291184,0.8527016721868999,0.7138594192933808,0.7336255038001098,0.4774421341702627,0.8625841153037317,0.45165765617053244,0.4328716855954758,0.3267570900123304,0.5916649453886922,POINT (-82.14823179716676 8.179576074016444),Panamá,MIAMBIENTE - Cultivos Mapa Panamá,2021,33,332,1,1,1,1,1,xy_unico_en_subset,30,Tierras de Cultivo y Pastos,"Cultivos extensivos, Pastizales y matorrales",Pastizales naturales y cultivados,vegetacion_esperada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_alerta,Sin alerta preliminar,0,Módulo 09 - auditoría espectral preliminar por clase,Alerta exploratoria; no constituye validación temática definitiva
5,S2SR_SRC15_PAN_2021_000012234,SRC15_0000005,PAN_FCL_0000015,SRC15_PAN_2021__XY__c64a01736225,SRC15_PAN_2021__XYY__92ecb070e78e,SRC15_PAN_2021__XYC__802849c52422,-81.891805,8.180223,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,430,43,Manglares,Manglares,Bosque de mangle,1,12,2021.0,2021.0,11,1,68,5.666666666666667,5.0,3.0,6.545454545454546,0.8472273535593987,0.8699948539871982,0.6028474694736051,0.8938601343853825,0.8593554032018242,0.8835926649353398,0.626008064516129,0.9022017409114182,0.5857120938270383,0.5949206376904947,0.4177626983334996,0.6437921449065156,POINT (-81.89180524410978 8.180223309268131),Panamá,MIAMBIENTE - Cultivos Mapa Panamá,2021,43,430,1,1,1,1,1,xy_unico_en_subset,40,Tierras Forestales,Manglares,Manglares,vegetacion_esperada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_alerta,Sin alerta preliminar,0,Módulo 09 - auditoría espectral preliminar por clase,Alerta exploratoria; no constituye validación temática definitiva
6,S2SR_SRC15_PAN_2021_000012340,SRC15_0000006,PAN_FCL_0000017,SRC15_PAN_2021__XY__1ab3001443fc,SRC15_PAN_2021__XYY__c7e1e72744f5,SRC15_PAN_2021__XYC__b1f200f710cb,-81.887267,8.180233,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,430,43,Manglares,Manglares,Bosque de mangle,1,12,2021.0,2021.0,10,2,70,5.833333333333333,6.0,3.0,2.8,0.8905568706077786,0.8949388565187814,0.8496554728697778,0.9204963397660376,0.9031555726229616,0.9066691318879407,0.8647455539101391,0.9295331791579928,0.639016935389134,0.6416453449365475,0.6113439001929915,0.6645619310527886,POINT (-81.88726654029904 8.18023329986541),Panamá,MIAMBIENTE - Cultivos Mapa Panamá,2021,43,430,1,1,1,1,1,xy_unico_en_subset,40,Tierras Forestales,Manglares,Manglares,vegetacion_esperada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_alerta,Sin alerta preliminar,0,Módulo 09 - auditoría espectral preliminar por clase,Alerta exploratoria; no constituye validación temática definitiva
7,S2SR_SRC15_PAN_2021_000012398,SRC15_0000007,PAN_FCL_0000018,SRC15_PAN_2021__XY__7dbd495404a4,SRC15_PAN_2021__XYY__01cec8f74ce3,SRC15_PAN_2021__XYC__032a1ae3b598,-81.884997,8.180238,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,430,43,Manglares,Manglares,Bosque de mangle,1,12,2021.0,2021.0,11,1,72,6.0,6.0,4.0,6.045454545454546,0.8667053005710965,0.8771181628919312,0.7456804082068691,0.916242787961908,0.8801128830384016,0.8934452771159858,0.7675582927352391,0.9222387717549736,0.6422834645776648,0.6544203749354864,0.5701930235861745,0.6897116468260291,POINT (-81.88499718624801 8.180238276054318),Panamá,MIAMBIENTE - Cultivos Mapa Panamá,2021,43,430,1,1,1,1,1,xy_unico_en_subset,40,Tierras Forestales,Manglares,Manglares,vegetacion_esperada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_alerta,Sin alerta preliminar,0,Módulo 09 - auditoría espectral preliminar por clase,Alerta exploratoria; no constituye validación temática definitiva
8,S2SR_SRC15_PAN_2021_000012446,SRC15_0000008,PAN_FCL_0000019,SRC15_PAN_2021__XY__1eda1c8e6a42,SRC15_PAN_2021__XYY__57c71e85981e,SRC15_PAN_2021__XYC__b4c3d9fa06fa,-81.882728,8.180243,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,430,43,Manglares,Manglares,Bosque de mangle,1,12,2021.0,2021.0,11,1,72,6.0,6.0,3.0,3.1363636363636362,0.8683164791264637,0.8715944926336117,0.8259253724560778,0.895701785645356,0.8811011689342159,0.8817973023760806,0.8429675530657428,0.907864896297732,0.5714240474083192,0.5753155752830116,0.5406793885953126,0.5936326544683379,POINT (-81.88272783077142 8.180243239503353),Panamá,MIAMBIENTE - Cultivos Mapa Panamá,2021,43,430,1,1,1,1,1,xy_unico_en_subset,40,Tierras Forestales,Manglares,Manglares,vegetacion_esperada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_alerta,Sin alerta preliminar,0,Módulo 09 - auditoría espectral preliminar por clase,Alerta exploratoria; no constituye validación temática definitiva
9,S2SR_SRC15_PAN_2021_000012504,SRC15_0000009,PAN_FCL_0000020,SRC15_PAN_2021__XY__8904d6fbca94,SRC15_PAN_2021__XYY__6eda9ce64f05,SRC15_PAN_2021__XYC__72b3444ddf2a,-81.880458,8.180248,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,430,43,Manglares,Manglares,Bosque de mangle,1,12,2021.0,2021.0,11,1,70,5.833333333333333,6.0,3.0,3.6818181818181817,0.8848792547521428,0.8876033351470418,0.8581486463583947,0.9075663162734332,0.8954252582496142,0.8953590007072725,0.8686242382403123,0.918776732617246,0.6618790936546043,0.6670377295208345,0.5978153370892645,0.7139651966736826,POINT (-81.88045847387292 8.180248190212483),Panamá,MIAMBIENTE - Cultivos Mapa Panamá,2021,43,430,1,1,1,1,1,xy_unico_en_subset,40,Tierras Forestales,Manglares,Manglares,vegetacion_esperada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_alerta,Sin alerta preliminar,0,Módulo 09 - auditoría espectral preliminar por clase,Alerta exploratoria; no constituye validación temática definitiva
10,S2SR_SRC15_PAN_2021_000012128,SRC15_0000010,PAN_FCL_0000035,SRC15_PAN_2021__XY__8c8e96085b70,SRC15_PAN_2021__XYY__15fd42b35f6a,SRC15_PAN_2021__XYC__c86256f270d6,-81.896349,8.182474,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,430,43,Manglares,Manglares,Bosque de mangle,1,12,2021.0,2021.0,11,1,70,5.833333333333333,5.0,4.5,5.2727272727272725,0.7955988493907935,0.7913047963588868,0.7391272040724057,0.8386565806451453,0.8232906678597797,0.8223573017300242,0.7695031082965375,0.8556716494471892,0.5381327350812782,0.5370120815121224,0.5101830117469689,0.5683266689806552,POINT (-81.89634899479655 8.182474357691037),Panamá,MIAMBIENTE - Cultivos Mapa Panamá,2021,43,430,1,1,1,1,1,xy_unico_en_subset,40,Tierras Forestales,Manglares,Manglares,vegetacion_esperada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_alerta,Sin alerta preliminar,0,Módulo 09 - auditoría espectral preliminar por clase,Alerta exploratoria; no constituye validación temática definitiva
