xy_group_id,n_extract_units_spectral,n_spectral_rows,spectral_severity_order_max,spectral_alert_count_sum,pct_extract_units_sin_alerta,pct_extract_units_alerta_baja,pct_extract_units_alerta_media,pct_extract_units_alerta_alta,pct_extract_units_baja_disponibilidad,pct_extract_units_sin_datos,pct_extract_units_revision_espectral,s2yr_months_obs_median,s2yr_obs_total_median,s2yr_obs_mean_median,s2yr_cloudprob_median,s2yr_ndvi_mean,s2yr_ndvi_median,s2yr_ndvi8a_mean,s2yr_ndvi8a_median,s2yr_ndre_mean,s2yr_ndre_median,spectral_alert_level_max,score_espectral
SRC15_PAN_2021__XY__00019da5cde3,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,22.0,1.8333333333333333,4.0,0.8003968961762208,0.813847160276968,0.8160396471543194,0.8299224680020538,0.5677031388003325,0.5756797259687433,sin_alerta,100.0
SRC15_PAN_2021__XY__0001d7cc6556,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,23.0,1.9166666666666667,3.0,0.730464669676698,0.7295816300538378,0.7447491146802536,0.7461370049440772,0.4752007664660848,0.4753944602639313,sin_alerta,100.0
SRC15_PAN_2021__XY__00034e4ad497,1,1,1,1,0.0,100.0,0.0,0.0,100.0,0.0,100.0,1.0,4.0,0.3333333333333333,5.0,0.8366996736031731,0.8366996736031731,0.8427882733535801,0.8427882733535801,0.6020673913450205,0.6020673913450205,baja,50.0
SRC15_PAN_2021__XY__00038a876682,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,24.0,2.0,3.0,0.8471816445345294,0.851071064263856,0.8625457682429182,0.8699910952804988,0.6145867557858842,0.5959419880687433,sin_alerta,100.0
SRC15_PAN_2021__XY__00051c2946df,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,1.6666666666666667,2.5,0.7906514167579127,0.8025343196142776,0.8058426238704749,0.8139076687624471,0.5686652500111036,0.5582553072883127,sin_alerta,100.0
SRC15_PAN_2021__XY__000e2383eb76,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,20.0,1.6666666666666667,6.0,0.6995993155647662,0.7021706208985361,0.7292017967042309,0.7351885098743267,0.49633308661868614,0.5098613552040617,sin_alerta,100.0
SRC15_PAN_2021__XY__0016234620a5,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,26.0,2.1666666666666665,20.0,0.3546194897921938,0.3523395609175093,0.383829770203169,0.3969292725899823,0.24142052457619348,0.2388392857142857,sin_alerta,100.0
SRC15_PAN_2021__XY__001deb4f302f,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,47.0,3.9166666666666665,4.75,0.6120799797580543,0.6573299215835452,0.6418052859110495,0.6864372153326987,0.4127137099104532,0.4546206503076812,sin_alerta,100.0
SRC15_PAN_2021__XY__002679e06fcc,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,25.0,2.0833333333333335,3.0,0.7933724371715586,0.8138847858197932,0.8098871961009761,0.8177168100441757,0.6053646788730692,0.5994061459658009,sin_alerta,100.0
SRC15_PAN_2021__XY__0026e9014fbc,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,23.0,1.9166666666666667,6.5,0.6937931544916165,0.6964090046786927,0.7213845379926361,0.7128853049543795,0.4856925157450648,0.4796770262195747,sin_alerta,100.0
SRC15_PAN_2021__XY__002733c8d152,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,2.0833333333333335,4.5,0.7948466423947335,0.8135346433752937,0.8099274108408503,0.8252257315911278,0.5486498178629213,0.5631899602430692,sin_alerta,100.0
SRC15_PAN_2021__XY__002fdd202980,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,31.0,2.5833333333333335,6.5,0.8153060784007622,0.8485981308411216,0.8312549689233127,0.8604651162790699,0.5798626527433891,0.602909090909091,sin_alerta,100.0
SRC15_PAN_2021__XY__003157b68fa4,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,21.0,1.75,6.0,0.5947585869453226,0.6390764695782352,0.629554667219277,0.6682920550185045,0.41268629439034754,0.4420900629595401,sin_alerta,100.0
SRC15_PAN_2021__XY__003d20fc90ea,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,27.0,2.25,4.0,0.8106565197746691,0.8340875795384723,0.8259607747056655,0.8463538798324217,0.5019482889920385,0.5107797594182006,sin_alerta,100.0
SRC15_PAN_2021__XY__003da952fd4f,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,0.8333333333333334,5.5,0.7588174364500018,0.7924581797561666,0.7746722386645144,0.8141188420518028,0.5074559079095111,0.5148173673328739,sin_alerta,100.0
SRC15_PAN_2021__XY__003ded4b955d,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,24.0,2.0,2.0,0.7580842664057545,0.7581101204275001,0.7733631442456402,0.7787450902251327,0.538661454838323,0.548849329812288,sin_alerta,100.0
SRC15_PAN_2021__XY__003e88b10d18,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,27.0,2.25,8.5,0.7286276859003965,0.7618792072041604,0.7487578226820055,0.7834891715362429,0.5138970158098046,0.54222502407299,sin_alerta,100.0
SRC15_PAN_2021__XY__004651345b45,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,25.0,2.0833333333333335,2.0,0.8487864863844164,0.8777292576419214,0.8618214258766287,0.8896969696969698,0.5926824099696409,0.6159779194915983,sin_alerta,100.0
SRC15_PAN_2021__XY__0049d786241a,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,26.0,2.1666666666666665,4.5,0.6938495184296969,0.7510621348911313,0.7247476954140389,0.7742701802767402,0.47368438105022537,0.4979437971213159,sin_alerta,100.0
SRC15_PAN_2021__XY__0056a882200d,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,27.0,2.25,3.0,0.5281801796816983,0.5592105263157894,0.5712794448730878,0.5967399016554668,0.3583034550597693,0.3728813559322033,sin_alerta,100.0
SRC15_PAN_2021__XY__005d55719b1d,1,1,2,2,0.0,0.0,100.0,0.0,0.0,0.0,100.0,9.0,29.0,2.4166666666666665,2.0,0.5957349636156478,0.6451861360718871,0.630482664260669,0.6655996060083722,0.3891416534355783,0.4041934814199709,media,45.0
