xy_group_id,lon,lat,country,country_code,source,source_id,n_records,n_extract_ids,n_classes,n_class_groups,n_priority_records,n_no_spectral_data,n_rare_spectral_records,n_thematic_conflict_records,max_alert_rank,median_ndvi,median_ndre,median_months_obs,max_spectral_alert_level,pct_priority_records,has_multiple_classes,has_multiple_class_groups
SRC10_CRI_2021__XY__0013a9518287,-85.588188,10.248656,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.6081597806620709,0.41976550180223215,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__001a143254c4,-85.50861,10.374519,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.6846743425266268,0.4921632827988113,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__001a5166b2f9,-85.519998,10.106606,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.6853695631800474,0.46433158683336423,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__001e6133fdb6,-85.524026,10.505962,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.3258351906611495,0.26864740385349034,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__002115745c0b,-85.38012,10.436636,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.7150859989954914,0.5068434622956273,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__002256d98148,-85.587042,10.407078,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,1,0,2,0.0071200996934393,-0.01042077123447565,10.0,media,100.0,0,0
SRC10_CRI_2021__XY__002624cc8750,-85.607733,10.358354,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.8373014947161539,0.5909482968485593,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__002ade59dbdc,-85.271181,10.122141,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.8252545418953126,0.5238044928601149,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__003293369d80,-85.460045,10.371124,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.6926344638574855,0.5040749246318004,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__0033c4ec1ee6,-85.215124,10.357663,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.44006453391041844,0.2787867872433685,12.0,sin_alerta,0.0,0,0
