xy_class_group_id,xy_group_id,xy_year_group_id,lon,lat,year_ref,class_code,class_group_code,class_name,class_group_name,records,country,country_code,source,source_id
SRC10_CRI_2021__XYC__00045aca1d6c,SRC10_CRI_2021__XY__eef212b403e2,SRC10_CRI_2021__XYY__32291168059a,-85.523848,10.469766,2021,9,9,Cultivos,Cultivos,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021__XYC__00054159cb50,SRC10_CRI_2021__XY__3a2755bf3fe4,SRC10_CRI_2021__XYY__130272bc7e16,-85.559917,10.504581,2021,9,9,Cultivos,Cultivos,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021__XYC__000594734544,SRC10_CRI_2021__XY__a5bdbbfaca5d,SRC10_CRI_2021__XYY__bfa5d6e2c586,-85.627766,10.148319,2021,2,1,Bosque secundario,Forestal,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021__XYC__000950a567f3,SRC10_CRI_2021__XY__1509b4ca3b1e,SRC10_CRI_2021__XYY__5fa7356ec61b,-85.384535,10.480055,2021,9,9,Cultivos,Cultivos,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021__XYC__000efb763cd5,SRC10_CRI_2021__XY__ff0524bbbd30,SRC10_CRI_2021__XYY__514641923860,-85.384353,10.43903,2021,9,9,Cultivos,Cultivos,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021__XYC__0013b32c6f4f,SRC10_CRI_2021__XY__e07420a27206,SRC10_CRI_2021__XYY__a46a36c84892,-85.202801,10.447006,2021,9,9,Cultivos,Cultivos,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021__XYC__0015d19d3ad4,SRC10_CRI_2021__XY__fe2d7be812db,SRC10_CRI_2021__XYY__d8256fb03a82,-85.591558,10.227859,2021,16,16,Edificaciones,Edificaciones,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021__XYC__00172ab12948,SRC10_CRI_2021__XY__5f5fb2509bb8,SRC10_CRI_2021__XYY__6227bf2994ff,-85.651,10.519811,2021,16,16,Edificaciones,Edificaciones,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021__XYC__0019b07b6cab,SRC10_CRI_2021__XY__828ef5c604a9,SRC10_CRI_2021__XYY__07671d54716e,-85.459442,10.154465,2021,16,16,Edificaciones,Edificaciones,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021__XYC__00208c5f6247,SRC10_CRI_2021__XY__11d8359b853f,SRC10_CRI_2021__XYY__1c0d78c11329,-85.587737,10.258168,2021,16,16,Edificaciones,Edificaciones,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021__XYC__0021c4f3bb1b,SRC10_CRI_2021__XY__32857f7da865,SRC10_CRI_2021__XYY__931ca2060e5a,-85.203944,10.192384,2021,6,1,Manglar,Forestal,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021__XYC__0022a0260521,SRC10_CRI_2021__XY__527e1522aa7a,SRC10_CRI_2021__XYY__efce8be3cb9b,-85.776147,10.288134,2021,16,16,Edificaciones,Edificaciones,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021__XYC__0025bc591b36,SRC10_CRI_2021__XY__e04a100ce8af,SRC10_CRI_2021__XYY__1bf7f701f921,-85.577874,10.520011,2021,16,16,Edificaciones,Edificaciones,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
SRC10_CRI_2021__XYC__002bc58888ca,SRC10_CRI_2021__XY__63c15d42d2e5,SRC10_CRI_2021__XYY__66cf397f2da5,-85.523508,10.399787,2021,9,9,Cultivos,Cultivos,1,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10
