xy_year_group_id,xy_group_id,lon,lat,year_ref,records,n_class_codes,n_class_group_codes,n_sources,country,country_code,has_thematic_conflict
SRC10_CRI_2021__XYY__0004bb0d956a,SRC10_CRI_2021__XY__d0347a5d9db5,-85.254391,10.143926,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__000b2ccbae9c,SRC10_CRI_2021__XY__6902690d35c0,-85.770966,10.445275,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__000d30177950,SRC10_CRI_2021__XY__8374c120ad7a,-85.57203,10.499356,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__000e6d4137ac,SRC10_CRI_2021__XY__0d46ce7c71d6,-85.466484,10.39402,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__00104fb4a7fd,SRC10_CRI_2021__XY__827f55caf99e,-85.563813,10.439409,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0010ffeb1321,SRC10_CRI_2021__XY__2dd08f44c46f,-85.526319,10.10537,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__00225ab839e5,SRC10_CRI_2021__XY__af994bd38782,-85.609347,10.260617,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0026349d20f2,SRC10_CRI_2021__XY__8b9281892d29,-85.368898,10.28344,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__00264dfe760c,SRC10_CRI_2021__XY__8709228aefd3,-85.688405,10.535958,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__00295012d473,SRC10_CRI_2021__XY__7acf432d29d7,-85.393119,10.238476,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0029718487da,SRC10_CRI_2021__XY__417f490d97d8,-85.563333,10.342888,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__002abe6f7d10,SRC10_CRI_2021__XY__fae7eeae4c9f,-85.473254,10.486896,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__003027fb74cf,SRC10_CRI_2021__XY__3d0a18315e43,-85.794467,10.358622,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__00309c00d081,SRC10_CRI_2021__XY__8f27d6350b4b,-85.419576,10.290462,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__00384d9f6f56,SRC10_CRI_2021__XY__a6cd3787b2f6,-85.229531,10.262278,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__004019e93a7a,SRC10_CRI_2021__XY__6192b356ae88,-85.325389,10.47548,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0041bda9e2f6,SRC10_CRI_2021__XY__04e4ceb02529,-85.411925,10.466662,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0042cccf256c,SRC10_CRI_2021__XY__b842284528b3,-85.559256,10.371864,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__00450cde4893,SRC10_CRI_2021__XY__858bf6d5c28d,-85.530343,10.502312,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0047c07a92ba,SRC10_CRI_2021__XY__7a6184296abb,-85.484184,10.087122,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0049575f1585,SRC10_CRI_2021__XY__bbfc7ebc06ea,-85.711005,10.251453,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__004ac310f4a1,SRC10_CRI_2021__XY__77d603206d16,-85.25969,10.416619,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0051062287fd,SRC10_CRI_2021__XY__d2c894004c05,-85.797827,10.305104,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__00531554008b,SRC10_CRI_2021__XY__b607f2826654,-85.711089,10.346963,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__005c9529a0a2,SRC10_CRI_2021__XY__230c6b28664e,-85.387528,10.200103,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0062970e0233,SRC10_CRI_2021__XY__ac0a2d7f0757,-85.512047,10.267835,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0066de59135f,SRC10_CRI_2021__XY__d9cec81929d6,-85.552373,10.259688,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__00682ab87204,SRC10_CRI_2021__XY__c0fb9be3aac0,-85.248946,10.369601,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__007144b2c17a,SRC10_CRI_2021__XY__d2cf59f226db,-85.313366,10.121975,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__007533992a55,SRC10_CRI_2021__XY__d2c7927d6329,-85.44162,10.495487,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__00779ee3f0ba,SRC10_CRI_2021__XY__5d1905a6db50,-85.752761,10.169819,2021,1,1,1,1,Costa Rica,CRI,0
