raster_value,class_value,class_name,class_name_en,red,green,blue,pixel_count,raster_area_ha,stratum_id
1,1,Bosque latifoliado mixto maduro,Mature Broadleaf Forest,0,88,0,2010295.0,20102.95,1 | Bosque latifoliado mixto maduro
2,2,Bosque latifoliado mixto secundario,Secondary Mixed Broadleaf Forest,0,166,0,7349542.0,73495.42,2 | Bosque latifoliado mixto secundario
3,3,Bosque de mangle,Mangrove Forest,104,0,181,2779284.0,27792.84,3 | Bosque de mangle
4,4,Bosque de orey,Orey Forest,0,117,68,0.0,0.0,4 | Bosque de orey
5,5,Bosque de cativo,Cativo Forest,0,168,132,0.0,0.0,5 | Bosque de cativo
6,6,Bosque de rafia,Rafia Forest,128,128,0,0.0,0.0,6 | Bosque de rafia
7,7,Bosque plantado de coníferas,Coniferous Forest,19,60,42,10285.0,102.85000000000001,7 | Bosque plantado de coníferas
8,8,Bosque plantado de latifoliadas,Broadleaf Forest,84,107,46,557909.0,5579.09,8 | Bosque plantado de latifoliadas
9,9,Rastrojo y vegetación arbustiva,Shrubs and Bushes,148,217,0,3905094.0,39050.94,9 | Rastrojo y vegetación arbustiva
10,10,Vegetación herbácea,Herbaceous Vegetation,218,245,124,384741.0,3847.41,10 | Vegetación herbácea
11,11,Vegetación baja inundable,Flooded Vegetation,0,255,166,11062.0,110.62,11 | Vegetación baja inundable
12,12,Afloramiento rocoso y tierra desnuda,Rocks and Bare Soils,141,141,141,49409.0,494.09000000000003,12 | Afloramiento rocoso y tierra desnuda
13,13,Playa y arenal natural,Sand Beaches,230,230,230,83842.0,838.4200000000001,13 | Playa y arenal natural
14,14,Café,Coffee,66,47,0,522.0,5.22,14 | Café
15,15,Cítrico,Citrus,255,170,0,11956.0,119.56,15 | Cítrico
16,16,Palma aceitera,Oil Palm,255,119,52,372118.0,3721.1800000000003,16 | Palma aceitera
17,17,Plátano/banano,Banana,205,118,77,0.0,0.0,17 | Plátano/banano
18,18,Otro cultivo permanente,Permanent Crops,255,220,184,54157.0,541.57,18 | Otro cultivo permanente
19,19,Arroz,Rice,205,205,0,274492.0,2744.92,19 | Arroz
20,20,Caña de azúcar,Sugar Cane,255,167,126,183957.0,1839.57,20 | Caña de azúcar
21,21,Horticultura mixta,Mixed Horticulture,205,92,92,0.0,0.0,21 | Horticultura mixta
22,22,Maíz,Corn,187,143,143,0.0,0.0,22 | Maíz
23,23,Piña,Pineapple,255,255,168,57560.0,575.6,23 | Piña
24,24,Otro cultivo anual,Other Annual Crops,255,219,0,136885.0,1368.8500000000001,24 | Otro cultivo anual
25,25,Área heterogénea de producción agropecuaria,Heterogeneous Area Agricultural Production,168,121,0,1125.0,11.25,25 | Área heterogénea de producción agropecuaria
26,26,Pasto,Pasture,255,255,0,11629808.0,116298.08,26 | Pasto
27,27,Superficie de agua,Water Bodies,128,241,230,910077.0,9100.77,27 | Superficie de agua
28,28,Área poblada,Urban Areas,255,0,0,658089.0,6580.89,28 | Área poblada
29,29,Infraestructura,Infrastructure,153,0,0,281073.0,2810.73,29 | Infraestructura
30,30,Explotación minera,Mining,166,0,204,0.0,0.0,30 | Explotación minera
31,31,Estanque para acuicultura,Aquaculture Ponds,255,115,255,580.0,5.8,31 | Estanque para acuicultura
32,32,Salinera,Salt Mine,210,210,255,0.0,0.0,32 | Salinera
33,33,Albinas,Albinas,240,240,240,0.0,0.0,33 | Albinas
