distance_m,raster_value,class_value,class_name,class_name_en,stratum_id,n_points,n_protected,class_area_ha
250,1,1,Bosque latifoliado mixto maduro,Mature Broadleaf Forest,1 | Bosque latifoliado mixto maduro,3195,1,20102.95
250,2,2,Bosque latifoliado mixto secundario,Secondary Mixed Broadleaf Forest,2 | Bosque latifoliado mixto secundario,11744,1,73495.42
250,3,3,Bosque de mangle,Mangrove Forest,3 | Bosque de mangle,4467,10,27792.84
250,7,7,Bosque plantado de coníferas,Coniferous Forest,7 | Bosque plantado de coníferas,19,1,102.85000000000001
250,8,8,Bosque plantado de latifoliadas,Broadleaf Forest,8 | Bosque plantado de latifoliadas,886,1,5579.09
250,9,9,Rastrojo y vegetación arbustiva,Shrubs and Bushes,9 | Rastrojo y vegetación arbustiva,6301,1,39050.94
250,10,10,Vegetación herbácea,Herbaceous Vegetation,10 | Vegetación herbácea,597,1,3847.41
250,11,11,Vegetación baja inundable,Flooded Vegetation,11 | Vegetación baja inundable,18,1,110.62
250,12,12,Afloramiento rocoso y tierra desnuda,Rocks and Bare Soils,12 | Afloramiento rocoso y tierra desnuda,82,1,494.09000000000003
250,13,13,Playa y arenal natural,Sand Beaches,13 | Playa y arenal natural,145,1,838.4200000000001
250,15,15,Cítrico,Citrus,15 | Cítrico,19,1,119.56
250,16,16,Palma aceitera,Oil Palm,16 | Palma aceitera,596,1,3721.1800000000003
250,18,18,Otro cultivo permanente,Permanent Crops,18 | Otro cultivo permanente,90,1,541.57
250,19,19,Arroz,Rice,19 | Arroz,451,1,2744.92
250,20,20,Caña de azúcar,Sugar Cane,20 | Caña de azúcar,291,1,1839.57
250,23,23,Piña,Pineapple,23 | Piña,91,1,575.6
250,24,24,Otro cultivo anual,Other Annual Crops,24 | Otro cultivo anual,225,1,1368.8500000000001
250,25,25,Área heterogénea de producción agropecuaria,Heterogeneous Area Agricultural Production,25 | Área heterogénea de producción agropecuaria,4,1,11.25
250,26,26,Pasto,Pasture,26 | Pasto,18545,1,116298.08
250,27,27,Superficie de agua,Water Bodies,27 | Superficie de agua,1413,1,9100.77
250,28,28,Área poblada,Urban Areas,28 | Área poblada,1057,1,6580.89
250,29,29,Infraestructura,Infrastructure,29 | Infraestructura,454,1,2810.73
250,31,31,Estanque para acuicultura,Aquaculture Ponds,31 | Estanque para acuicultura,1,1,5.8
500,1,1,Bosque latifoliado mixto maduro,Mature Broadleaf Forest,1 | Bosque latifoliado mixto maduro,787,1,20102.95
500,2,2,Bosque latifoliado mixto secundario,Secondary Mixed Broadleaf Forest,2 | Bosque latifoliado mixto secundario,2893,1,73495.42
500,3,3,Bosque de mangle,Mangrove Forest,3 | Bosque de mangle,1122,10,27792.84
500,7,7,Bosque plantado de coníferas,Coniferous Forest,7 | Bosque plantado de coníferas,4,1,102.85000000000001
500,8,8,Bosque plantado de latifoliadas,Broadleaf Forest,8 | Bosque plantado de latifoliadas,206,1,5579.09
500,9,9,Rastrojo y vegetación arbustiva,Shrubs and Bushes,9 | Rastrojo y vegetación arbustiva,1571,1,39050.94
500,10,10,Vegetación herbácea,Herbaceous Vegetation,10 | Vegetación herbácea,145,1,3847.41
500,11,11,Vegetación baja inundable,Flooded Vegetation,11 | Vegetación baja inundable,6,1,110.62
500,12,12,Afloramiento rocoso y tierra desnuda,Rocks and Bare Soils,12 | Afloramiento rocoso y tierra desnuda,20,1,494.09000000000003
500,13,13,Playa y arenal natural,Sand Beaches,13 | Playa y arenal natural,42,1,838.4200000000001
500,15,15,Cítrico,Citrus,15 | Cítrico,5,1,119.56
500,16,16,Palma aceitera,Oil Palm,16 | Palma aceitera,143,1,3721.1800000000003
500,18,18,Otro cultivo permanente,Permanent Crops,18 | Otro cultivo permanente,24,1,541.57
500,19,19,Arroz,Rice,19 | Arroz,115,1,2744.92
500,20,20,Caña de azúcar,Sugar Cane,20 | Caña de azúcar,79,1,1839.57
500,23,23,Piña,Pineapple,23 | Piña,24,1,575.6
500,24,24,Otro cultivo anual,Other Annual Crops,24 | Otro cultivo anual,52,1,1368.8500000000001
500,25,25,Área heterogénea de producción agropecuaria,Heterogeneous Area Agricultural Production,25 | Área heterogénea de producción agropecuaria,1,1,11.25
500,26,26,Pasto,Pasture,26 | Pasto,4564,1,116298.08
500,27,27,Superficie de agua,Water Bodies,27 | Superficie de agua,366,1,9100.77
500,28,28,Área poblada,Urban Areas,28 | Área poblada,279,1,6580.89
