Fuente,records,percentage
FCPF - Malla MRV-REDD+ El Salvador,514236,42.9995
MAGA - Cultivos - Mapa Guatemala,206950,17.3048
ICF - Cultivos - Mapa Honduras,106416,8.8983
"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",99803,8.3454
FCPF - Malla MRV-REDD+ Honduras,92640,7.7464
CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,65792,5.5014
MIAMBIENTE - Cultivos Mapa Panamá,24475,2.0466
CENAT/PRIAS - Cultivos - Costa Rica,22224,1.8583
FCPF - Malla MRV-REDD+ Belize ,21738,1.8177
ICAFE - Poligono de zonasdel cultivo de café de Costa Rica,15575,1.3024
FOREST DEPARTMENT - Cultivos - Mapa Belize,11585,0.9687
MIAMBIENTE - Mapa de bosques y otras tierras boscosas de Panamá,4716,0.3943
CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,4655,0.3892
CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,2267,0.1896
"CONAFOR -Inventario Forestal Estado Quintana Roo, México",710,0.0594
"CONAFOR -Inventario Forestal Estado Chiapas, , México",507,0.0424
"CONAFOR -Inventario Forestal Estado Campeche, México",447,0.0374
"CONAFOR -Inventario Forestal Estado Yucatán, México",432,0.0361
MARN-MAG/FCPF - Inventario Forestal El Salvador,318,0.0266
CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,250,0.0209
CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto El Salvador,112,0.0094
"CONAFOR -Inventario Forestal Estado Tabasco, México",63,0.0053
