batch_id,country,year_ref,records,batch_csv
s2sr_units_Belice_2018_batch_001,Belice,2018,33313,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_Belice_2018_batch_001.csv
s2sr_units_Belice_2020_batch_001,Belice,2020,6,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_Belice_2020_batch_001.csv
s2sr_units_Costa_Rica_2018_batch_001,Costa Rica,2018,20222,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_Costa_Rica_2018_batch_001.csv
s2sr_units_Costa_Rica_2019_batch_001,Costa Rica,2019,22219,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_Costa_Rica_2019_batch_001.csv
s2sr_units_Costa_Rica_2021_batch_001,Costa Rica,2021,50000,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_Costa_Rica_2021_batch_001.csv
s2sr_units_Costa_Rica_2021_batch_002,Costa Rica,2021,40625,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_Costa_Rica_2021_batch_002.csv
s2sr_units_El_Salvador_2018_batch_001,El Salvador,2018,50000,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_El_Salvador_2018_batch_001.csv
s2sr_units_El_Salvador_2018_batch_002,El Salvador,2018,50000,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_El_Salvador_2018_batch_002.csv
s2sr_units_El_Salvador_2018_batch_003,El Salvador,2018,50000,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_El_Salvador_2018_batch_003.csv
s2sr_units_El_Salvador_2018_batch_004,El Salvador,2018,50000,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_El_Salvador_2018_batch_004.csv
