source_csv,path,size_mb,selected_for_processing,n_columns_header,has_extract_id,has_month
pgbm_s2sr_monthly_s2cloudless_s2sr_units_Belice_2018_batch_001.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_Belice_2018_batch_001.csv,173.758,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_Belice_2020_batch_001.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_Belice_2020_batch_001.csv,0.039,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_Costa_Rica_2018_batch_001.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_Costa_Rica_2018_batch_001.csv,107.544,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_Costa_Rica_2019_batch_001.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_Costa_Rica_2019_batch_001.csv,129.212,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_Costa_Rica_2021_batch_001.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_Costa_Rica_2021_batch_001.csv,320.159,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_Costa_Rica_2021_batch_002.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_Costa_Rica_2021_batch_002.csv,256.622,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_El_Salvador_2018_batch_001.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_El_Salvador_2018_batch_001.csv,278.61,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_El_Salvador_2018_batch_002.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_El_Salvador_2018_batch_002.csv,279.937,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_El_Salvador_2018_batch_003.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_El_Salvador_2018_batch_003.csv,278.97,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_El_Salvador_2018_batch_004.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_El_Salvador_2018_batch_004.csv,280.908,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_El_Salvador_2018_batch_005.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_El_Salvador_2018_batch_005.csv,279.726,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_El_Salvador_2018_batch_006.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_El_Salvador_2018_batch_006.csv,279.79,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_El_Salvador_2018_batch_007.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_El_Salvador_2018_batch_007.csv,278.364,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_El_Salvador_2018_batch_008.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_El_Salvador_2018_batch_008.csv,276.834,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_El_Salvador_2018_batch_009.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_El_Salvador_2018_batch_009.csv,273.063,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_El_Salvador_2018_batch_010.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_El_Salvador_2018_batch_010.csv,274.795,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_El_Salvador_2018_batch_011.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_El_Salvador_2018_batch_011.csv,277.494,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_El_Salvador_2018_batch_012.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_El_Salvador_2018_batch_012.csv,117.784,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_El_Salvador_2019_batch_001.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_El_Salvador_2019_batch_001.csv,0.706,True,49,True,True
