audit_country,level_0_code,level_0_name,level_1_code,level_1_name_ref,level_2_code,level_2_name_ref,n_records,n_extract_id,n_years,n_no_spectral_data,n_low_months_obs,n_high_cloudprob,n_rare_spectral_value,n_spectral_class_review,s2yr_months_obs_median,s2yr_ndvi_median,s2yr_ndre_median,pct_no_spectral_data,pct_low_months_obs,pct_rare_spectral_value,pct_spectral_class_review,pct_alert_medium_high,class_priority_level
Belice,20,Tierras húmedas y agua,21.0,Cuerpos de Agua,212.0,Cuerpos de agua artificial,41,41,1,0,41,0,6,41,2.0,0.2765022418532169,0.17053587821238336,0.0,100.0,14.634,100.0,70.732,alta_alertas
Honduras,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,312.0,Bananeras,1068,1068,1,0,1068,0,110,1068,2.0,0.8575312365387231,0.653473357996508,0.0,100.0,10.3,100.0,10.3,media_revision
Costa Rica,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,411.0,Latifoliado maduro húmedo,548,548,1,0,548,0,51,548,2.0,0.8165105424972614,0.5777688655030802,0.0,100.0,9.307,100.0,88.139,alta_alertas
Costa Rica,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,412.0,Latifoliado secundario húmedo,856,856,1,0,856,0,79,856,2.0,0.7878148266455296,0.55883244197292,0.0,100.0,9.229,100.0,100.0,alta_alertas
Honduras,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,314.0,Piña,594,594,1,0,594,0,14,594,2.0,0.6557609613178481,0.49750546741147916,0.0,100.0,2.357,100.0,31.313,alta_alertas
Belice,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,312.0,Bananeras,1920,1920,1,1,1919,0,38,1920,2.0,0.7237516686772494,0.5014113870890329,0.052,99.948,1.979,100.0,28.177,alta_alertas
Costa Rica,40,Tierras Forestales,44.0,Otros arbóreo en tierras no agrícola,443.0,Árboles fuera de bosque y otras áreas naturales,1282,1282,1,0,1282,0,15,1282,2.0,0.7187166139703378,0.5094310821857752,0.0,100.0,1.17,100.0,53.042,alta_alertas
Costa Rica,10,Artificializado y otra tierras,11.0,Urbano,110.0,Urbano,438,438,1,32,406,0,0,438,2.0,0.25161288194892134,0.16907790988277127,7.306,92.694,0.0,100.0,74.658,alta_alertas
Costa Rica,30,Tierras de Cultivo y Pastos,32.0,Cultivos Arbóreos,323.0,Frutales,15,15,1,0,15,0,0,15,3.0,0.6426307448494454,0.4829510229386237,0.0,100.0,0.0,100.0,0.0,media_revision
Costa Rica,10,Artificializado y otra tierras,12.0,Otras tierras,122.0,"Suelo desnudo, arena, rocoso, lava, otros",9,9,1,0,9,0,0,9,2.0,0.6435668638171711,0.44141451725718317,0.0,100.0,0.0,100.0,100.0,alta_alertas
