audit_country,audit_year,level_0_code,level_0_name,level_1_code,level_1_name_ref,level_2_code,level_2_name_ref,n_records,n_extract_id,n_sources,s2yr_months_obs_median,s2yr_obs_total_median,s2yr_cloudprob_median,s2yr_ndvi_median,s2yr_ndre_median,n_no_spectral_data,n_low_months_obs,n_high_cloudprob,n_vegetation_low_ndvi,n_vegetation_low_ndre,n_nonvegetation_high_ndvi,n_rare_spectral_value,n_prior_xy_conflict,n_spectral_class_review,n_alert_high,n_alert_medium,n_alert_low,pct_no_spectral_data,pct_low_months_obs,pct_rare_spectral_value,pct_spectral_class_review,pct_alert_medium_high,class_priority_level
Belice,2018,20,Tierras húmedas y agua,21.0,Cuerpos de Agua,212.0,Cuerpos de agua artificial,41,41,1,2.0,5.0,6.5,0.2765022418532169,0.17053587821238336,0,41,0,0,0,0,6,26,41,26,3,12,0.0,100.0,14.634,100.0,70.732,alta_alertas
Costa Rica,2018,40,Tierras Forestales,44.0,Otros arbóreo en tierras no agrícola,442.0,Plantaciones forestales,120,120,1,2.0,3.0,1.125,0.8605617848422619,0.6148014585152284,0,120,0,0,0,0,17,90,120,90,30,0,0.0,100.0,14.167,100.0,100.0,alta_alertas
Honduras,2018,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,312.0,Bananeras,1068,1068,1,2.0,6.0,1.75,0.8575312365387231,0.653473357996508,0,1068,0,0,0,0,110,0,1068,82,28,958,0.0,100.0,10.3,100.0,10.3,media_revision
Costa Rica,2018,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,411.0,Latifoliado maduro húmedo,548,548,1,2.0,3.0,1.5,0.8165105424972614,0.5777688655030802,0,548,0,0,0,0,51,248,548,248,235,65,0.0,100.0,9.307,100.0,88.139,alta_alertas
Costa Rica,2018,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,412.0,Latifoliado secundario húmedo,856,856,1,2.0,6.0,1.5,0.7878148266455296,0.55883244197292,0,856,0,0,0,0,79,856,856,856,0,0,0.0,100.0,9.229,100.0,100.0,alta_alertas
Honduras,2018,30,Tierras de Cultivo y Pastos,32.0,Cultivos Arbóreos,323.0,Frutales,36,36,1,2.0,6.0,2.0,0.7784269543769395,0.5246064458704467,0,36,0,1,0,0,3,9,36,11,4,21,0.0,100.0,8.333,100.0,41.667,alta_alertas
Honduras,2018,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,314.0,Piña,594,594,1,2.0,5.0,5.5,0.6557609613178481,0.49750546741147916,0,594,0,29,1,0,14,0,594,14,172,408,0.0,100.0,2.357,100.0,31.313,alta_alertas
Costa Rica,2018,90,Otras,91.0,Otras,910.0,Otras,394,394,1,2.0,4.0,2.0,0.7477880043731407,0.5295373864134172,2,392,0,0,0,0,8,394,394,394,0,0,0.508,99.492,2.03,100.0,100.0,alta_alertas
Belice,2018,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,312.0,Bananeras,1920,1920,1,2.0,4.0,5.0,0.7237516686772494,0.5014113870890329,1,1919,0,47,8,0,38,0,1920,39,502,1379,0.052,99.948,1.979,100.0,28.177,alta_alertas
Costa Rica,2018,40,Tierras Forestales,44.0,Otros arbóreo en tierras no agrícola,443.0,Árboles fuera de bosque y otras áreas naturales,1282,1282,1,2.0,6.0,1.75,0.7187166139703378,0.5094310821857752,0,1282,0,4,0,0,15,576,1282,583,97,602,0.0,100.0,1.17,100.0,53.042,alta_alertas
Costa Rica,2018,30,Tierras de Cultivo y Pastos,33.0,"Cultivos extensivos, Pastizales y matorrales",331.0,Granos básicos y hortalizas y otros,315,315,1,2.0,6.0,2.0,0.6997479626451026,0.5145522049412763,0,315,0,1,1,0,1,242,315,204,38,73,0.0,100.0,0.317,100.0,76.825,alta_alertas
México,2018,10,Artificializado y otra tierras,11.0,Urbano,110.0,Urbano,2,2,1,0.0,0.0,,,,2,0,0,0,0,0,0,0,2,2,0,0,100.0,0.0,0.0,100.0,100.0,alta_vacios_satelitales
Nicaragua,2018,20,Tierras húmedas y agua,21.0,Cuerpos de Agua,210.0,Cuerpos de Agua,5,5,1,1.0,1.0,8.0,0.0377906976744185,0.0703562629283414,2,3,0,0,0,0,0,0,5,2,2,1,40.0,60.0,0.0,100.0,80.0,alta_vacios_satelitales
Costa Rica,2018,10,Artificializado y otra tierras,11.0,Urbano,110.0,Urbano,438,438,1,2.0,4.0,7.5,0.25161288194892134,0.16907790988277127,32,406,0,0,0,55,0,278,438,308,19,111,7.306,92.694,0.0,100.0,74.658,alta_alertas
Costa Rica,2018,30,Tierras de Cultivo y Pastos,33.0,"Cultivos extensivos, Pastizales y matorrales",332.0,Pastizales naturales y cultivados,540,540,1,2.0,4.0,1.5,0.6404201514407086,0.44333256328438847,15,525,0,2,0,0,0,244,540,244,14,282,2.778,97.222,0.0,100.0,47.778,alta_alertas
